Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,9.16,9.72,9.08,9.36,110700,9.36
2012-05-14,9.95,10.36,9.05,9.16,135000,9.16
2012-05-07,10.47,10.81,9.98,10.07,153300,10.07
2012-04-30,11.11,11.85,10.12,10.46,348500,10.46
2012-04-23,9.12,10.01,9.10,10.01,84700,10.01
2012-04-16,9.29,9.83,9.24,9.28,62700,8.84
2012-04-09,9.76,10.10,8.81,9.33,100600,8.89
2012-04-02,9.81,10.32,9.71,9.86,84400,9.39
2012-03-26,10.50,10.50,9.33,9.92,110500,9.45
2012-03-19,10.52,10.52,9.81,10.40,135600,9.90
2012-03-12,10.74,11.06,10.28,10.55,173400,10.05
2012-03-05,10.24,10.91,9.90,10.66,154900,10.15
2012-02-27,9.39,10.89,9.30,10.24,342600,9.75
2012-02-21,8.40,9.46,8.40,9.03,139200,8.60
2012-02-13,8.73,8.88,7.70,8.40,101100,8.00
2012-02-06,7.70,8.80,7.67,8.73,122800,8.31
2012-01-30,8.22,8.42,7.15,7.70,146200,7.33
2012-01-23,8.36,8.91,8.08,8.42,88700,8.02
2012-01-17,8.33,8.70,8.10,8.21,172000,7.82
2012-01-09,7.21,8.36,7.07,8.19,110300,7.80
2012-01-03,7.30,7.43,6.96,7.23,64300,6.89
2011-12-27,7.40,7.45,6.92,7.14,88000,6.80
2011-12-19,7.02,7.81,6.82,7.46,112300,7.10
2011-12-12,7.67,7.67,6.41,7.02,163200,6.69
2011-12-05,8.50,8.76,7.26,7.75,290800,7.38
2011-11-28,6.96,8.50,6.84,8.37,315000,7.97
2011-11-21,6.45,6.67,5.92,6.60,62200,6.29
2011-11-14,6.84,6.94,6.51,6.60,92900,6.29
2011-11-07,6.35,7.13,6.33,6.87,96700,6.54
2011-10-31,5.15,6.34,5.15,6.27,115300,5.97
2011-10-24,5.17,6.21,4.97,5.70,374200,5.43
2011-10-17,5.13,5.21,4.88,5.13,79100,4.89
2011-10-10,4.93,5.35,4.78,5.11,27400,4.87
2011-10-03,4.31,4.86,3.89,4.82,52700,4.59
2011-09-26,4.35,5.00,4.09,4.40,40800,4.19
2011-09-19,5.52,5.64,4.25,4.35,45900,4.14
2011-09-12,5.56,5.85,5.38,5.69,44000,5.42
2011-09-06,5.73,6.31,5.53,5.64,29800,5.37
2011-08-29,6.00,6.52,5.85,5.96,34900,5.68
2011-08-22,5.96,6.20,5.61,5.94,43200,5.66
2011-08-15,6.20,6.60,5.69,5.81,46400,5.53
2011-08-08,6.03,6.35,5.50,6.23,83100,5.93
2011-08-01,7.65,7.65,6.17,6.46,124300,6.15
2011-07-25,6.68,7.84,6.68,7.36,118900,7.01
2011-07-18,6.45,6.80,6.25,6.76,69900,6.44
2011-07-11,6.38,6.47,6.00,6.45,33900,6.14
2011-07-05,6.52,6.79,6.42,6.57,30500,6.26
2011-06-27,5.80,6.55,5.80,6.48,39000,6.17
2011-06-20,5.60,6.12,5.46,5.83,28100,5.55
2011-06-13,5.67,6.04,5.53,5.64,84600,5.37
2011-06-06,6.17,6.21,5.78,6.07,74000,5.78
2011-05-31,6.38,6.73,6.12,6.23,75800,5.93
2011-05-23,5.77,6.41,5.62,6.28,89600,5.98
2011-05-16,6.21,6.34,5.76,5.91,163800,5.63
2011-05-09,6.50,6.91,6.13,6.22,107400,5.92
2011-05-02,8.41,8.74,6.30,6.50,338400,6.19
2011-04-25,7.46,8.33,7.31,8.23,201300,7.84
2011-04-18,7.20,7.68,6.90,7.46,85700,7.10
2011-04-11,7.71,7.71,6.87,7.29,159500,6.94
2011-04-04,7.96,8.23,7.40,7.65,280000,7.29
2011-03-28,7.76,7.95,7.70,7.87,236400,7.50
2011-03-21,7.79,7.97,7.57,7.78,686500,7.41
2011-03-14,6.98,7.05,5.89,6.83,75000,6.50
2011-03-07,6.97,7.75,6.22,6.88,114800,6.55
2011-02-28,6.78,6.91,6.10,6.84,103400,6.51
2011-02-22,6.16,6.67,5.71,6.56,95800,6.25
2011-02-14,4.92,6.35,4.92,6.07,105200,5.78
2011-02-07,5.14,5.25,4.77,4.99,45600,4.75
2011-01-31,4.59,5.44,4.48,5.14,128400,4.90
2011-01-24,4.57,4.82,4.26,4.57,70800,4.35
2011-01-18,4.87,5.06,4.50,4.58,40000,4.36
2011-01-10,3.87,4.88,3.87,4.80,104000,4.57
2011-01-03,3.80,4.08,3.59,3.92,40400,3.73
2010-12-27,3.63,3.87,3.63,3.80,50400,3.62
2010-12-20,3.30,3.79,3.25,3.69,51900,3.51
2010-12-13,3.55,3.55,3.25,3.32,22500,3.16
2010-12-06,3.57,3.62,3.25,3.50,75100,3.33
2010-11-29,3.09,3.62,3.08,3.41,73400,3.25
2010-11-22,3.30,3.30,3.07,3.15,37300,3.00
2010-11-15,3.32,3.40,3.16,3.34,30100,3.18
2010-11-08,3.65,3.68,3.13,3.38,41300,3.22
