Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,59.63,62.61,59.63,62.21,320800,62.21
2012-05-14,63.04,64.61,59.38,59.61,254900,59.61
2012-05-07,63.42,64.18,62.00,63.68,302900,63.68
2012-04-30,64.27,66.89,62.14,63.89,438000,63.89
2012-04-23,61.39,64.66,60.47,64.53,381100,64.53
2012-04-16,61.00,63.23,60.26,61.98,266500,61.98
2012-04-09,60.37,61.94,58.43,60.49,360900,60.49
2012-04-02,62.38,64.05,61.76,62.03,246900,62.03
2012-03-26,65.15,65.99,62.62,62.66,328200,62.66
2012-03-19,64.41,65.00,61.80,64.43,323300,64.43
2012-03-12,63.87,65.62,62.45,64.37,286000,64.37
2012-03-05,62.14,64.29,60.34,63.62,332500,63.62
2012-02-27,64.68,65.10,62.03,62.32,288300,62.32
2012-02-21,65.17,65.89,64.30,65.18,229700,65.14
2012-02-13,65.97,66.77,64.03,65.21,235400,65.17
2012-02-06,64.97,66.56,64.16,65.26,319500,65.22
2012-01-30,59.53,65.68,58.94,65.45,610000,65.41
2012-01-23,59.65,61.02,59.13,59.85,220600,59.81
2012-01-17,59.57,60.11,58.60,59.80,443500,59.76
2012-01-09,61.59,62.10,58.86,59.12,280800,59.08
2012-01-03,59.83,61.38,58.16,60.99,443200,60.95
2011-12-27,60.15,60.90,58.39,58.45,218400,58.41
2011-12-19,58.15,60.67,56.66,60.57,263700,60.53
2011-12-12,58.02,58.69,54.77,57.69,398100,57.65
2011-12-05,59.17,59.33,55.98,58.73,457800,58.69
2011-11-28,54.56,59.75,54.28,58.13,569500,58.09
2011-11-21,55.71,55.87,52.53,52.65,325300,52.58
2011-11-14,55.11,59.00,55.11,56.96,652200,56.88
2011-11-07,57.20,57.73,54.08,54.97,1514100,54.90
2011-10-31,56.94,58.50,52.02,57.58,786600,57.50
2011-10-24,53.91,59.49,53.89,58.02,658000,57.94
2011-10-17,51.00,53.97,49.52,53.91,403300,53.84
2011-10-10,48.47,51.69,48.22,51.40,425900,51.33
2011-10-03,48.73,49.29,43.92,47.35,646600,47.29
2011-09-26,49.78,53.50,48.53,48.74,455300,48.67
2011-09-19,50.31,51.25,44.80,49.29,501600,49.22
2011-09-12,47.37,51.61,47.08,51.32,331500,51.25
2011-09-06,47.12,51.20,46.82,48.23,411200,48.17
2011-08-29,51.09,53.30,48.82,49.03,539400,48.96
2011-08-22,46.98,50.50,46.17,50.34,420900,50.23
2011-08-15,49.30,50.47,45.02,45.65,494300,45.55
2011-08-08,47.05,48.86,42.78,48.84,745500,48.74
