Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,20.44,21.50,20.25,21.44,598000,21.44
2012-05-14,22.28,22.89,20.00,20.33,415100,20.33
2012-05-07,20.10,22.85,19.83,22.61,375100,22.61
2012-04-30,21.75,22.18,19.98,20.11,481000,20.11
2012-04-23,21.02,22.01,20.22,21.73,415800,21.73
2012-04-16,20.75,21.51,20.02,21.13,387900,21.13
2012-04-09,22.57,22.81,20.49,20.57,443400,20.57
2012-04-02,20.14,24.29,19.93,23.07,1089600,23.07
2012-03-26,19.56,20.62,19.39,19.50,603200,19.50
2012-03-19,18.72,19.56,18.44,19.47,465400,19.47
2012-03-12,18.24,18.84,17.82,18.75,743500,18.75
2012-03-05,17.52,18.15,16.96,18.01,395400,18.01
2012-02-27,18.19,18.98,17.56,17.62,604500,17.62
2012-02-21,18.55,18.55,17.47,18.27,433600,18.27
2012-02-13,16.80,19.84,16.80,18.54,837100,18.54
2012-02-06,18.46,18.72,15.69,16.53,493500,16.53
2012-01-30,18.59,19.42,17.43,18.60,554300,18.60
2012-01-23,18.18,18.94,17.54,18.82,377400,18.82
2012-01-17,18.29,18.86,17.96,18.15,468500,18.15
2012-01-09,13.79,18.22,12.91,18.10,2208300,18.10
2012-01-03,22.50,22.74,19.37,20.20,678500,20.20
2011-12-27,21.85,22.46,21.49,22.10,212500,22.10
2011-12-19,22.24,23.13,21.19,22.00,246500,22.00
2011-12-12,22.93,23.74,21.57,22.09,335800,22.09
2011-12-05,23.94,24.13,21.47,23.34,331600,23.34
2011-11-28,20.91,24.27,20.00,23.43,526800,23.43
2011-11-21,21.82,22.14,20.00,20.02,314900,20.02
2011-11-14,22.67,23.98,22.27,22.34,441400,22.34
2011-11-07,22.16,23.25,21.40,22.78,293600,22.78
2011-10-31,22.36,23.24,20.90,22.29,349300,22.29
2011-10-24,21.81,24.00,21.25,22.81,379800,22.81
2011-10-17,21.39,22.25,19.93,21.66,237900,21.66
2011-10-10,20.52,21.76,20.18,21.69,278900,21.69
2011-10-03,19.94,21.27,18.57,20.04,459200,20.04
2011-09-26,21.08,22.40,20.04,20.14,419700,20.14
2011-09-19,20.27,21.46,19.15,20.80,576100,20.80
2011-09-12,19.07,21.17,18.75,20.79,509000,20.79
2011-09-06,17.00,19.94,16.92,19.49,448400,19.49
2011-08-29,18.58,19.75,17.55,17.68,319600,17.68
2011-08-22,18.10,18.50,16.44,18.33,356900,18.33
2011-08-15,18.71,20.34,16.59,17.50,327500,17.50
2011-08-08,18.36,19.25,16.92,18.51,600200,18.51
2011-08-01,21.66,21.66,17.91,19.17,567900,19.17
2011-07-25,24.42,24.45,20.80,21.38,304000,21.38
2011-07-18,24.12,25.06,23.59,24.80,202100,24.80
2011-07-11,24.00,25.40,23.75,24.18,343300,24.18
2011-07-05,22.73,24.62,22.58,24.23,251400,24.23
2011-06-27,21.19,22.83,20.95,22.63,313800,22.63
2011-06-20,21.16,22.30,20.84,21.24,469200,21.24
2011-06-13,22.63,23.30,21.09,21.18,400400,21.18
2011-06-06,22.94,24.10,22.13,22.48,452600,22.48
2011-05-31,25.73,26.29,22.14,23.08,901600,23.08
2011-05-23,24.91,25.56,23.76,25.42,317400,25.42
2011-05-16,25.95,26.32,24.36,25.48,300900,25.48
2011-05-09,25.48,26.85,25.27,26.31,280900,26.31
2011-05-02,27.85,27.94,24.23,25.63,623100,25.63
2011-04-25,27.50,28.95,27.26,27.75,210200,27.75
2011-04-18,26.00,28.30,26.00,27.63,309200,27.63
2011-04-11,25.98,26.54,25.18,26.40,399700,26.40
2011-04-04,25.37,26.10,24.86,26.03,241300,26.03
2011-03-28,23.67,25.31,23.38,25.31,306900,25.31
2011-03-21,22.34,23.85,22.00,23.50,430300,23.50
2011-03-14,22.31,22.80,21.12,22.03,415500,22.03
2011-03-07,22.85,23.47,20.61,22.60,555200,22.60
2011-02-28,23.08,23.99,22.08,22.80,575400,22.80
2011-02-22,22.20,22.88,20.70,22.84,662500,22.84
2011-02-14,24.66,24.99,22.01,22.50,413200,22.50
2011-02-07,24.58,25.18,23.70,24.73,263300,24.73
2011-01-31,21.09,25.27,20.46,24.57,747300,24.57
2011-01-24,22.20,24.25,20.98,20.98,548700,20.98
2011-01-18,24.83,25.24,22.08,22.15,568500,22.15
2011-01-10,24.31,26.39,24.00,25.00,299700,25.00
2011-01-03,25.27,26.13,23.89,24.43,392900,24.43
2010-12-27,26.92,26.98,25.05,25.07,236100,25.07
2010-12-20,27.29,28.84,27.01,27.14,274700,27.14
2010-12-13,27.20,28.66,26.58,27.11,580700,27.11
2010-12-06,26.50,27.30,26.19,27.10,314000,27.10
2010-11-29,22.77,26.82,22.77,26.50,784000,26.50
2010-11-22,22.52,23.21,21.41,22.85,215000,22.85
2010-11-15,21.09,22.78,20.73,22.52,358200,22.52
2010-11-08,20.51,21.14,19.88,20.97,262600,20.97
2010-11-01,20.41,20.99,20.06,20.66,381200,20.66
2010-10-25,20.66,20.89,19.51,20.38,373100,20.38
2010-10-18,22.95,22.95,20.28,20.54,809100,20.54
2010-10-11,21.82,23.10,21.39,22.85,524700,22.85
2010-10-04,19.96,21.97,19.76,21.86,649800,21.86
2010-09-27,19.00,20.41,18.67,20.09,493800,20.09
2010-09-20,16.13,19.24,15.93,19.06,1015500,19.06
2010-09-13,15.14,16.24,14.93,16.12,583600,16.12
2010-09-07,13.64,15.03,13.30,14.99,362300,14.99
2010-08-30,12.75,13.70,11.98,13.66,536100,13.66
2010-08-23,14.12,14.29,12.49,12.83,517000,12.83
2010-08-16,15.17,15.72,13.74,14.00,326500,14.00
2010-08-09,17.14,17.39,15.17,15.27,272400,15.27
2010-08-02,15.02,17.23,14.70,17.10,489300,17.10
2010-07-26,14.90,15.88,14.31,14.81,250500,14.81
2010-07-19,12.74,14.93,12.55,14.88,321800,14.88
2010-07-12,13.06,13.70,12.67,12.73,355400,12.73
2010-07-06,12.58,13.16,11.74,13.14,480800,13.14
2010-06-28,13.70,13.85,12.01,12.38,286400,12.38
2010-06-21,15.25,15.37,13.10,13.68,566000,13.68
2010-06-14,15.45,16.02,14.94,15.04,927600,15.04
2010-06-07,14.53,15.54,14.14,15.35,621000,15.35
2010-06-01,12.81,14.94,12.81,14.51,919700,14.51
2010-05-24,13.08,13.16,12.13,12.71,661500,12.71
2010-05-17,14.49,14.70,12.60,13.14,476900,13.14
2010-05-10,14.80,15.36,14.05,14.49,420000,14.49
2010-05-03,16.81,17.16,13.90,14.40,560700,14.40
2010-04-26,15.89,17.23,14.89,16.77,444000,16.77
2010-04-19,15.53,16.94,15.53,15.95,515500,15.95
2010-04-12,13.99,16.00,13.87,15.68,632600,15.68
2010-04-05,13.50,14.35,13.34,14.06,508200,14.06
2010-03-29,13.16,13.93,12.90,13.46,1133100,13.46
2010-03-22,12.16,13.10,12.06,12.97,384700,12.97
2010-03-15,12.61,12.74,11.64,12.27,801500,12.27
2010-03-08,12.60,12.99,12.12,12.63,196800,12.63
2010-03-01,10.92,12.66,10.92,12.55,342500,12.55
2010-02-22,10.22,11.01,10.02,10.89,308700,10.89
2010-02-16,9.86,10.58,9.67,10.22,355700,10.22
2010-02-08,9.95,10.31,9.62,9.70,336200,9.70
2010-02-01,11.00,11.23,9.66,9.93,460200,9.93
2010-01-25,13.57,13.89,10.95,10.97,692700,10.97
2010-01-19,13.50,13.94,13.35,13.49,340300,13.49
2010-01-11,13.49,13.95,13.20,13.54,153100,13.54
2010-01-04,13.26,13.60,13.12,13.40,180400,13.40
2009-12-28,13.25,13.47,12.86,13.07,141200,13.07
2009-12-21,13.34,13.75,12.91,13.25,187400,13.25
2009-12-14,13.15,13.45,12.57,13.28,774700,13.28
2009-12-07,14.16,14.50,13.00,13.09,215300,13.09
2009-11-30,12.79,14.50,12.50,14.12,366400,14.12
2009-11-23,14.25,14.39,12.75,13.13,262600,13.13
2009-11-16,14.48,15.39,13.57,14.04,213000,14.04
2009-11-09,14.90,15.61,14.31,14.50,190600,14.50
2009-11-02,14.01,14.95,13.52,14.81,259200,14.81
2009-10-26,15.02,15.21,13.70,13.97,399400,13.97
2009-10-19,14.77,15.37,14.53,15.01,411800,15.01
2009-10-12,15.08,15.43,14.24,14.68,194700,14.68
2009-10-05,14.25,15.17,14.14,15.14,454400,15.14
2009-09-28,15.17,15.67,13.78,14.23,333600,14.23
2009-09-21,16.70,17.22,15.01,15.05,377100,15.05
2009-09-14,18.25,18.25,16.39,16.80,638800,16.80
2009-09-08,15.99,18.49,15.55,18.20,494800,18.20
2009-08-31,15.65,16.16,15.16,15.82,145200,15.82
2009-08-24,15.60,16.25,14.97,15.74,203100,15.74
2009-08-17,14.38,16.00,14.14,15.63,198300,15.63
2009-08-10,14.58,14.87,13.99,14.66,199400,14.66
