Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,56.56,57.05,55.81,56.24,161000,56.24
2012-05-14,57.72,59.30,56.33,56.58,224500,56.58
2012-05-07,55.04,58.98,54.49,58.09,510800,58.09
2012-04-30,57.10,58.62,55.07,55.09,275600,55.09
2012-04-23,56.25,58.71,55.72,58.34,221100,58.34
2012-04-16,58.03,59.05,56.50,56.94,169700,56.94
2012-04-09,58.23,58.67,57.49,57.90,190400,57.90
2012-04-02,59.19,60.37,58.45,58.99,246600,58.99
2012-03-26,58.17,59.93,58.10,59.50,159000,59.50
2012-03-19,57.92,58.23,57.16,57.89,149200,57.89
2012-03-12,57.16,59.64,57.12,58.07,223400,58.07
2012-03-05,56.83,57.42,55.80,57.31,210500,57.31
2012-02-27,57.80,58.72,56.70,56.93,185200,56.93
2012-02-21,56.87,58.79,56.42,58.12,207500,58.12
2012-02-13,57.95,59.70,56.39,56.91,285300,56.91
2012-02-06,54.74,59.85,53.80,57.46,622500,57.46
2012-01-30,56.27,57.26,54.63,54.80,405000,54.80
2012-01-23,57.61,57.61,56.01,56.65,325300,56.65
2012-01-17,64.66,64.69,53.00,56.76,793700,56.76
2012-01-09,63.66,65.90,63.10,64.61,212700,64.61
2012-01-03,66.36,66.61,63.23,63.36,173900,63.36
2011-12-27,65.30,66.31,65.03,65.38,87400,65.38
2011-12-19,63.72,65.72,62.21,65.56,143100,65.56
2011-12-12,65.61,65.61,62.96,63.27,197500,63.27
2011-12-05,66.10,66.75,63.20,66.46,189900,66.46
2011-11-28,61.73,67.25,61.35,65.41,287100,65.41
2011-11-21,62.16,62.90,60.32,60.66,124400,60.66
2011-11-14,61.61,63.29,60.65,62.90,196000,62.90
2011-11-07,60.38,61.80,59.23,61.71,275800,61.71
2011-10-31,61.25,62.23,58.96,60.25,321100,60.25
2011-10-24,61.76,64.45,60.91,61.93,253500,61.93
2011-10-17,59.12,61.85,58.12,61.77,249400,61.77
2011-10-10,61.43,61.43,58.91,59.26,280800,59.26
2011-10-03,61.48,63.15,59.68,61.45,352700,61.45
2011-09-26,60.10,63.04,59.82,61.84,297400,61.84
2011-09-19,56.80,60.79,56.38,59.74,421500,59.74
2011-09-12,53.43,57.74,53.24,57.52,268800,57.52
2011-09-06,51.49,55.20,50.70,54.16,304400,54.16
2011-08-29,53.11,55.55,52.36,52.37,245300,52.37
2011-08-22,52.05,53.71,50.89,52.73,195300,52.73
2011-08-15,54.19,55.64,50.96,51.10,330100,51.10
2011-08-08,55.52,58.08,51.33,53.42,722400,53.42
2011-08-01,52.08,57.05,51.00,56.64,514400,56.64
2011-07-25,54.19,54.47,51.30,51.64,174400,51.64
2011-07-18,52.25,54.96,51.62,54.62,231200,54.62
2011-07-11,53.06,53.92,52.09,52.42,326600,52.42
2011-07-05,53.80,54.33,50.66,53.64,453400,53.64
2011-06-27,54.11,55.29,54.05,55.02,329100,55.02
2011-06-20,58.44,60.02,50.02,54.18,795000,54.18
2011-06-13,56.04,59.01,55.74,58.54,189700,58.54
2011-06-06,57.34,58.09,55.78,55.84,186700,55.84
2011-05-31,60.35,61.06,56.64,57.54,210700,57.54
2011-05-23,58.35,59.99,57.85,59.86,161000,59.86
2011-05-16,57.25,59.44,57.03,58.02,264200,58.02
2011-05-09,56.64,58.42,56.32,57.56,244800,57.56
2011-05-02,60.68,60.79,54.00,56.81,461400,56.81
2011-04-25,58.71,61.61,57.91,60.67,191500,60.67
2011-04-18,58.62,59.30,57.85,58.87,171200,58.87
2011-04-11,58.53,59.60,57.88,59.20,197300,59.20
2011-04-04,57.25,58.78,57.03,58.68,164600,58.68
2011-03-28,54.79,57.72,54.71,57.29,189400,57.29
2011-03-21,53.45,56.55,53.45,54.46,256800,54.46
2011-03-14,50.69,53.22,49.79,53.14,314400,53.14
2011-03-07,51.73,52.50,50.55,51.16,145400,51.16
2011-02-28,52.14,52.49,50.94,51.59,162400,51.59
2011-02-22,51.35,52.02,50.57,52.02,156000,52.02
2011-02-14,51.70,52.18,51.29,51.82,248200,51.82
2011-02-07,48.36,52.89,46.73,52.00,398100,52.00
2011-01-31,48.30,48.77,47.69,48.43,213000,48.43
2011-01-24,48.75,49.32,48.09,48.17,200500,48.17
2011-01-18,49.10,50.09,48.59,48.84,175300,48.84
2011-01-10,49.50,50.04,49.22,49.76,139700,49.76
2011-01-03,51.16,51.36,49.37,49.76,353400,49.76
2010-12-27,52.47,52.66,51.09,51.09,140700,51.09
2010-12-20,52.19,53.30,52.19,52.65,188800,52.65
2010-12-13,52.06,52.86,51.43,52.15,211100,52.15
2010-12-06,50.57,52.20,50.57,51.99,182300,51.99
2010-11-29,50.52,50.79,49.40,50.64,149200,50.64
2010-11-22,49.01,50.97,49.01,50.77,116600,50.77
2010-11-15,49.69,49.97,48.39,49.26,223500,49.26
2010-11-08,48.35,49.99,48.35,49.64,246600,49.64
2010-11-01,46.79,48.79,46.19,48.41,234800,48.41
2010-10-25,46.29,47.22,45.35,46.70,197600,46.70
2010-10-18,47.13,47.45,45.50,46.14,223800,46.14
2010-10-11,47.77,48.81,47.02,47.12,245200,47.12
2010-10-04,46.60,47.90,45.48,47.81,205900,47.81
2010-09-27,45.87,46.81,45.38,46.61,222400,46.61
2010-09-20,43.89,45.83,43.70,45.83,274800,45.83
2010-09-13,42.44,44.14,42.11,43.89,260900,43.89
2010-09-07,41.72,42.58,41.23,42.20,230700,42.20
2010-08-30,41.05,42.37,40.56,41.94,278400,41.94
2010-08-23,42.28,42.28,39.63,41.23,404300,41.23
2010-08-16,42.25,43.90,41.78,42.01,345500,42.01
2010-08-09,43.75,44.41,42.36,42.49,341800,42.49
2010-08-02,48.22,48.36,41.86,43.68,651200,43.68
2010-07-26,48.05,50.06,47.16,47.69,269100,47.69
2010-07-19,47.44,48.33,46.30,48.05,195300,48.05
2010-07-12,46.97,48.45,46.69,47.24,247600,47.24
2010-07-06,46.32,48.30,46.15,47.24,391300,47.24
2010-06-28,46.59,47.47,44.84,45.68,404500,45.68
2010-06-21,48.99,49.08,45.73,46.41,478500,46.41
2010-06-14,49.98,51.05,49.65,49.99,463700,49.99
2010-06-07,46.77,49.73,46.24,49.70,401300,49.70
2010-06-01,45.96,48.08,45.80,46.75,296700,46.75
2010-05-24,46.05,46.41,43.34,46.10,385400,46.10
2010-05-17,46.08,47.00,44.40,46.03,366200,46.03
2010-05-10,45.55,46.40,42.05,45.83,325200,45.83
2010-05-03,42.51,45.28,41.72,44.42,455300,44.42
2010-04-26,44.69,44.99,42.27,42.29,226700,42.29
2010-04-19,43.37,44.77,42.98,44.76,205100,44.76
2010-04-12,43.54,43.71,42.96,43.38,230600,43.38
2010-04-05,44.31,44.80,42.93,43.40,146400,43.40
2010-03-29,44.66,45.30,43.43,44.28,224200,44.28
2010-03-22,44.04,45.31,43.64,44.50,154500,44.50
2010-03-15,44.50,44.97,43.61,44.19,195100,44.19
2010-03-08,44.62,45.99,44.28,44.45,260900,44.45
2010-03-01,43.27,45.02,43.12,44.52,306100,44.52
2010-02-22,42.60,44.29,41.28,43.03,826600,43.03
2010-02-16,41.48,43.28,41.23,43.18,280100,43.18
2010-02-08,38.62,41.39,38.26,41.33,293000,41.33
2010-02-01,38.73,39.44,38.02,38.60,180000,38.60
2010-01-25,39.29,39.48,37.98,38.74,144600,38.74
2010-01-19,40.34,41.25,38.78,39.00,222100,39.00
2010-01-11,37.75,40.87,37.57,40.25,275800,40.25
2010-01-04,39.21,40.46,36.84,37.76,366000,37.76
2009-12-28,39.52,40.38,38.86,38.86,167200,38.86
2009-12-21,37.39,39.95,36.90,39.26,699800,39.26
2009-12-14,34.24,34.35,33.00,33.56,283500,33.56
2009-12-07,35.08,35.08,33.56,34.09,301600,34.09
2009-11-30,34.61,35.67,34.26,35.16,247900,35.16
2009-11-23,35.76,36.50,34.53,34.75,138200,34.75
2009-11-16,35.95,36.88,35.30,35.43,175800,35.43
2009-11-09,36.11,36.65,35.40,35.70,274500,35.70
2009-11-02,37.44,38.22,35.51,36.20,571500,36.20
2009-10-26,35.59,38.08,35.46,37.40,324700,37.40
2009-10-19,35.51,36.01,34.74,35.68,252700,35.68
2009-10-12,35.66,36.00,35.04,35.35,194800,35.35
2009-10-05,35.12,35.67,34.45,35.44,270900,35.44
2009-09-28,35.43,36.04,34.53,34.83,228500,34.83
2009-09-21,35.38,35.80,34.74,35.23,283400,35.23
2009-09-14,36.98,37.53,35.25,35.61,311800,35.61
2009-09-08,36.50,37.72,35.95,37.01,177200,37.01
2009-08-31,37.26,37.53,35.90,36.24,345000,36.24
2009-08-24,37.95,38.11,36.88,37.53,219400,37.53
2009-08-17,36.13,38.19,35.69,37.96,413600,37.96
2009-08-10,36.45,38.01,35.89,36.40,482200,36.40
2009-08-03,32.45,36.89,31.35,36.25,771800,36.25
2009-07-27,31.41,32.53,31.11,32.45,239900,32.45
2009-07-20,29.93,31.63,29.28,31.30,280100,31.30
2009-07-13,28.42,29.84,28.00,29.76,241200,29.76
2009-07-06,28.83,29.55,28.09,28.44,217100,28.44
2009-06-29,28.85,29.85,28.39,28.85,223200,28.85
2009-06-22,28.61,29.33,27.88,29.09,303300,29.09
2009-06-15,27.16,28.87,26.54,28.61,242000,28.61
2009-06-08,27.35,27.60,26.61,27.45,237000,27.45
2009-06-01,26.90,27.89,26.20,27.35,330500,27.35
2009-05-26,26.85,27.55,26.00,26.73,399700,26.73
2009-05-18,27.74,28.19,26.75,26.82,351400,26.82
2009-05-11,28.04,28.62,27.24,27.73,484200,27.73
2009-05-04,26.82,29.48,26.10,28.00,491000,28.00
2009-04-27,26.05,27.16,25.25,26.82,478400,26.82
2009-04-20,26.67,27.45,26.02,26.10,420000,26.10
2009-04-13,27.03,27.39,26.40,27.10,409400,27.10
2009-04-06,28.48,28.54,26.89,27.15,352200,27.15
2009-03-30,28.47,29.41,28.36,28.56,435300,28.56
2009-03-23,27.77,29.19,27.50,28.90,371400,28.90
2009-03-16,28.71,29.04,27.37,27.66,293200,27.66
2009-03-09,26.47,28.56,26.27,28.46,424400,28.46
2009-03-02,26.60,27.14,25.75,26.56,339200,26.56
2009-02-23,28.35,28.35,26.50,26.69,359100,26.69
2009-02-17,27.74,28.50,27.33,28.18,383200,28.18
2009-02-09,26.57,28.14,24.28,27.97,910100,27.97
2009-02-02,26.10,27.48,25.49,26.68,398100,26.68
2009-01-26,27.02,27.84,26.29,26.39,265300,26.39
2009-01-20,26.93,27.49,26.04,26.96,467400,26.96
2009-01-12,26.43,27.26,25.86,27.11,430600,27.11
2009-01-05,27.37,28.09,25.79,26.34,422100,26.34
2008-12-29,25.80,28.08,25.50,27.26,556600,27.26
2008-12-22,25.52,25.99,24.05,25.93,405500,25.93
2008-12-15,24.17,25.86,23.28,25.57,385800,25.57
2008-12-08,22.44,24.34,20.95,24.09,600000,24.09
2008-12-01,23.52,23.52,20.43,21.95,583500,21.95
2008-11-24,28.93,29.09,22.35,23.79,911900,23.79
2008-11-17,27.18,28.77,25.66,28.73,836100,28.73
2008-11-10,26.81,27.92,25.49,27.33,481600,27.33
2008-11-03,30.09,31.22,26.21,26.63,726500,26.63
2008-10-27,28.21,30.51,27.59,30.26,469800,30.26
2008-10-20,29.75,30.23,27.00,28.57,512100,28.57
2008-10-13,28.69,30.87,26.97,29.02,417000,29.02
2008-10-06,30.09,30.69,25.36,27.78,810800,27.78
2008-09-29,28.96,31.61,28.37,30.49,578900,30.49
