Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,48.48,52.19,48.35,51.26,1312900,51.26
2012-05-14,52.90,54.05,47.91,48.35,1406800,48.35
2012-05-07,53.13,54.59,50.99,53.90,1290000,53.67
2012-04-30,57.60,57.60,51.96,53.45,1516600,53.22
2012-04-23,49.44,57.94,48.62,57.72,2113200,57.47
2012-04-16,49.94,51.41,49.66,50.51,664200,50.29
2012-04-09,49.80,50.81,47.64,49.60,918500,49.38
2012-04-02,50.78,52.09,50.21,50.83,985700,50.61
2012-03-26,52.02,53.16,50.20,50.74,734600,50.52
2012-03-19,53.81,54.47,50.20,51.19,810200,50.97
2012-03-12,52.33,54.87,51.30,54.13,881700,53.89
2012-03-05,52.50,52.86,49.31,52.30,856800,52.07
2012-02-27,52.46,54.48,51.53,52.50,823700,52.27
2012-02-21,52.55,54.19,52.39,53.03,655900,52.80
2012-02-13,52.55,53.85,51.59,53.40,1002900,53.17
2012-02-06,51.86,52.08,50.10,51.89,884900,51.44
2012-01-30,48.64,52.44,47.44,52.03,964800,51.57
2012-01-23,46.76,50.42,46.50,49.04,1374200,48.61
2012-01-17,45.56,47.31,45.05,46.42,780600,46.01
2012-01-09,41.08,45.34,40.93,44.86,1094100,44.47
2012-01-03,40.10,40.86,38.92,40.58,744400,40.22
2011-12-27,38.58,39.29,37.94,38.71,559300,38.37
2011-12-19,37.67,38.82,36.54,38.76,731400,38.42
2011-12-12,39.56,41.99,36.25,37.59,1383200,37.26
2011-12-05,42.91,43.39,40.09,40.83,962600,40.47
2011-11-28,38.97,42.75,38.77,41.83,807200,41.46
2011-11-21,40.03,40.36,37.02,37.29,927300,36.96
2011-11-14,43.50,44.28,40.72,40.98,614000,40.62
2011-11-07,43.84,45.00,41.75,43.92,933900,43.33
2011-10-31,43.25,44.69,39.84,44.18,988500,43.59
2011-10-24,41.08,45.45,40.08,43.96,1480200,43.37
2011-10-17,40.17,41.10,37.89,40.80,1508200,40.25
2011-10-10,36.42,40.00,35.92,39.84,1393100,39.31
2011-10-03,32.39,36.37,30.17,35.36,1720300,34.89
2011-09-26,32.46,35.09,31.16,32.82,1345500,32.38
2011-09-19,36.49,37.92,31.28,31.93,1255200,31.50
