Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,75.77,77.93,75.74,77.22,424400,77.22
2012-05-14,79.99,80.20,75.87,76.06,525200,76.06
2012-05-07,78.24,81.60,77.40,80.71,481400,80.71
2012-04-30,82.05,82.05,78.39,78.63,440900,78.63
2012-04-23,79.42,82.49,78.91,82.29,358100,82.29
2012-04-16,81.80,82.74,80.50,80.54,407400,80.54
2012-04-09,81.61,83.11,80.69,81.42,488900,81.42
2012-04-02,85.66,86.98,82.97,83.86,487200,83.86
2012-03-26,84.19,87.15,83.80,86.82,484900,86.82
2012-03-19,85.20,85.29,82.97,83.76,371500,83.76
2012-03-12,83.18,85.85,82.61,85.40,376700,85.40
2012-03-05,81.38,83.94,79.70,83.81,486000,83.81
2012-02-27,82.99,84.81,80.83,81.57,528800,81.57
2012-02-21,83.17,84.90,82.86,84.54,452700,84.54
2012-02-13,78.80,83.80,78.78,83.36,762200,83.36
2012-02-06,77.58,81.50,77.40,78.39,832500,78.39
2012-01-30,72.93,76.77,72.47,76.47,418800,76.47
2012-01-23,71.23,74.88,71.00,73.57,739100,73.57
2012-01-17,67.93,71.42,67.27,71.40,750400,71.40
2012-01-09,68.50,68.91,67.86,68.26,329700,68.26
2012-01-03,67.39,68.83,67.31,68.51,358600,68.51
2011-12-27,64.70,66.42,64.05,66.13,338800,66.13
2011-12-19,63.95,65.00,63.27,64.95,344400,64.95
2011-12-12,67.14,67.14,63.50,63.70,499100,63.70
2011-12-05,68.03,68.66,66.47,68.20,664000,68.20
2011-11-28,64.12,66.86,63.90,66.22,574000,66.22
2011-11-21,61.76,62.92,60.37,62.11,574300,62.11
2011-11-14,64.23,64.78,63.43,63.56,538400,63.56
2011-11-07,65.31,65.49,63.53,64.12,581800,64.12
2011-10-31,67.20,67.36,64.51,65.18,687400,65.18
2011-10-24,67.37,69.81,66.15,69.66,573100,69.66
2011-10-17,67.52,68.72,66.16,67.61,429000,67.61
2011-10-10,67.20,68.32,67.02,67.46,427000,67.46
2011-10-03,68.22,69.09,65.30,66.13,586300,66.13
2011-09-26,68.37,70.91,67.57,68.26,524500,68.26
2011-09-19,69.86,71.36,66.34,67.85,486800,67.85
2011-09-12,67.23,71.55,67.05,70.81,411700,70.81
2011-09-06,67.84,70.14,67.56,67.80,666900,67.80
2011-08-29,71.35,72.36,69.03,69.34,694600,69.34
2011-08-22,71.56,72.88,70.05,71.65,589400,71.65
2011-08-15,75.56,76.20,70.33,70.70,644500,70.70
2011-08-08,76.24,77.30,73.01,74.40,888300,74.40
2011-08-01,82.09,82.57,75.51,77.43,834000,77.43
2011-07-25,84.00,84.56,81.03,81.92,369800,81.92
2011-07-18,83.49,85.49,82.95,85.01,468300,85.01
2011-07-11,83.68,85.24,83.35,83.85,466300,83.85
2011-07-05,83.49,84.90,83.23,84.40,379700,84.40
2011-06-27,79.67,83.50,79.47,83.45,490600,83.45
2011-06-20,79.35,81.67,79.26,81.29,434100,81.29
2011-06-13,79.72,80.66,79.03,79.51,561200,79.51
2011-06-06,80.15,82.43,79.73,80.67,651400,80.67
2011-05-31,83.39,83.47,80.14,80.51,606000,80.51
2011-05-23,79.29,82.38,79.17,82.26,592000,82.26
2011-05-16,82.89,82.99,79.70,79.96,564500,79.96
2011-05-09,79.06,84.00,78.62,83.38,979000,83.38
2011-05-02,80.77,80.77,78.68,79.10,614900,79.10
2011-04-25,79.29,80.19,77.65,79.68,697800,79.68
2011-04-18,76.98,78.31,75.85,77.80,691600,77.80
2011-04-11,77.01,78.39,76.26,77.64,809500,77.64
2011-04-04,80.21,80.21,75.95,77.88,1564600,77.88
2011-03-28,80.85,81.52,79.42,80.51,794300,80.51
2011-03-21,83.50,84.28,80.20,80.76,1275900,80.76
2011-03-14,80.58,82.78,77.36,81.56,2943600,81.56
