Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,9.70,9.75,9.70,9.75,200,9.75
2012-05-14,9.70,9.70,9.67,9.70,46400,9.70
2012-05-07,9.70,9.70,9.70,9.70,000,9.70
2012-04-30,9.66,9.72,9.66,9.70,700,9.70
2012-04-23,9.66,9.70,9.66,9.66,4600,9.66
2012-04-16,9.65,9.65,9.65,9.65,100,9.65
2012-04-09,9.70,9.70,9.60,9.65,2800,9.65
2012-04-02,9.63,9.70,7.70,9.70,900,9.70
2012-03-26,9.70,9.70,9.00,9.70,100,9.70
2012-03-19,9.70,9.70,9.70,9.70,000,9.70
2012-03-12,9.70,9.70,9.61,9.70,300,9.70
2012-03-05,9.70,9.70,9.60,9.70,100,9.70
2012-02-27,9.60,9.70,9.60,9.70,1000,9.70
2012-02-21,9.60,9.60,9.60,9.60,000,9.60
2012-02-13,9.60,9.60,9.60,9.60,000,9.60
2012-02-06,9.70,9.70,9.60,9.60,1500,9.60
2012-01-30,9.70,9.70,9.70,9.70,2300,9.70
2012-01-23,9.70,11.00,9.70,9.70,13800,9.70
2012-01-17,9.74,9.74,9.65,9.70,9500,9.70
2012-01-09,9.60,9.73,9.60,9.73,2300,9.73
2012-01-03,9.70,15.00,9.60,9.60,1200,9.60
2011-12-27,9.60,9.70,9.60,9.70,000,9.70
2011-12-19,9.70,9.70,9.70,9.70,000,9.70
2011-12-12,9.70,9.70,9.65,9.70,2700,9.70
2011-12-05,9.60,9.70,9.60,9.70,300,9.70
2011-11-28,9.60,9.60,9.60,9.60,000,9.60
2011-11-21,9.60,9.60,9.60,9.60,1200,9.60
2011-11-14,9.60,9.60,9.60,9.60,1400,9.60
2011-11-07,9.60,9.60,9.60,9.60,000,9.60
2011-10-31,9.60,9.60,9.60,9.60,000,9.60
2011-10-24,9.60,9.60,9.60,9.60,000,9.60
2011-10-17,9.60,9.60,9.60,9.60,2500,9.60
2011-10-10,9.60,9.60,9.60,9.60,000,9.60
2011-10-03,9.60,9.60,9.58,9.60,8600,9.60
2011-09-26,9.60,9.60,9.60,9.60,2200,9.60
2011-09-19,9.60,9.60,9.60,9.60,200,9.60
2011-09-12,9.60,9.60,9.60,9.60,000,9.60
2011-09-06,9.60,9.60,9.60,9.60,000,9.60
2011-08-29,9.60,9.60,9.60,9.60,600,9.60
2011-08-22,9.60,9.60,9.60,9.60,38600,9.60
2011-08-15,9.50,9.58,9.50,9.58,8200,9.58
2011-08-08,9.50,9.51,9.50,9.50,2800,9.50
