Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.06,5.13,5.05,5.11,60200,5.11
2012-05-14,5.19,5.19,5.03,5.03,90700,5.03
2012-05-07,5.17,5.36,5.13,5.13,97800,5.13
2012-04-30,5.19,5.23,5.15,5.21,49100,5.21
2012-04-23,5.20,5.27,5.10,5.18,108500,5.18
2012-04-16,5.24,5.33,5.19,5.27,90500,5.27
2012-04-09,5.10,5.23,5.10,5.22,123700,5.22
2012-04-02,5.17,5.21,5.10,5.13,94300,5.13
2012-03-26,5.20,5.23,5.08,5.15,88400,5.15
2012-03-19,5.11,5.20,5.11,5.18,120800,5.09
2012-03-12,5.15,5.21,5.10,5.10,72700,5.01
2012-03-05,5.17,5.17,5.03,5.15,137600,5.06
2012-02-27,5.17,5.20,5.09,5.15,113500,5.06
2012-02-21,5.10,5.18,5.06,5.17,101700,5.08
2012-02-13,4.96,5.12,4.95,5.10,165500,5.01
2012-02-06,4.97,5.03,4.91,4.96,141100,4.88
2012-01-30,4.87,5.00,4.85,4.94,218500,4.86
2012-01-23,4.85,4.92,4.81,4.89,173800,4.81
2012-01-17,4.90,4.96,4.80,4.82,315300,4.74
2012-01-09,4.75,4.91,4.75,4.89,299800,4.81
2012-01-03,4.90,4.92,4.73,4.74,157600,4.66
2011-12-27,5.25,5.26,4.70,4.85,316600,4.77
2011-12-19,5.18,5.29,5.15,5.25,200500,4.57
2011-12-12,5.10,5.21,5.05,5.19,116100,4.51
2011-12-05,5.11,5.15,5.06,5.10,92400,4.44
2011-11-28,5.12,5.19,5.04,5.12,66100,4.45
2011-11-21,5.05,5.10,5.02,5.09,60600,4.43
2011-11-14,5.11,5.12,5.05,5.05,65200,4.39
2011-11-07,5.07,5.12,5.03,5.12,70400,4.45
2011-10-31,5.12,5.14,5.06,5.08,66400,4.42
2011-10-24,5.03,5.13,5.02,5.10,115500,4.44
2011-10-17,5.05,5.08,5.00,5.03,74500,4.37
2011-10-10,4.93,5.08,4.93,5.03,90700,4.37
2011-10-03,4.95,5.00,4.81,4.92,113800,4.28
2011-09-26,5.13,5.17,4.98,4.98,65500,4.33
2011-09-19,5.17,5.17,5.04,5.13,62900,4.38
2011-09-12,5.12,5.20,5.10,5.19,55300,4.43
2011-09-06,5.05,5.18,5.05,5.16,84400,4.40
2011-08-29,5.10,5.20,5.06,5.15,91200,4.39
2011-08-22,5.00,5.20,4.90,5.04,123500,4.30
2011-08-15,5.05,5.15,4.99,5.02,75300,4.28
2011-08-08,5.05,5.06,4.70,5.05,297700,4.31
2011-08-01,5.27,5.29,5.08,5.14,187900,4.38
2011-07-25,5.28,5.30,5.17,5.19,134300,4.43
2011-07-18,5.40,5.40,5.26,5.31,105300,4.53
2011-07-11,5.31,5.43,5.30,5.38,74700,4.59
2011-07-05,5.29,5.36,5.29,5.31,73100,4.53
2011-06-27,5.36,5.36,5.19,5.30,116100,4.52
2011-06-20,5.32,5.40,5.32,5.34,62400,4.47
2011-06-13,5.24,5.41,4.95,5.32,261200,4.46
2011-06-06,5.44,5.50,5.30,5.31,122400,4.45
2011-05-31,5.49,5.50,5.43,5.45,131600,4.56
2011-05-23,5.43,5.50,5.43,5.48,91000,4.59
2011-05-16,5.42,5.50,5.41,5.44,104500,4.56
2011-05-09,5.47,5.50,5.41,5.43,107800,4.55
2011-05-02,5.45,5.49,5.43,5.47,114000,4.58
2011-04-25,5.50,5.50,5.41,5.44,96100,4.56
2011-04-18,5.45,5.49,5.38,5.48,135500,4.59
2011-04-11,5.38,5.46,5.28,5.45,99300,4.56
2011-04-04,5.44,5.45,5.36,5.40,70400,4.52
2011-03-28,5.46,5.50,5.40,5.46,93800,4.57
2011-03-21,5.43,5.50,5.42,5.49,85800,4.52
2011-03-14,5.40,5.48,5.35,5.41,86500,4.45
2011-03-07,5.37,5.50,5.36,5.41,87100,4.45
2011-02-28,5.35,5.40,5.32,5.36,68200,4.41
2011-02-22,5.30,5.38,5.26,5.33,99800,4.38
2011-02-14,5.31,5.34,5.23,5.30,74300,4.36
2011-02-07,5.22,5.33,5.17,5.33,93900,4.38
2011-01-31,5.23,5.28,5.15,5.21,96400,4.29
2011-01-24,5.12,5.28,5.12,5.20,134400,4.28
2011-01-18,5.22,5.27,5.10,5.12,149100,4.21
2011-01-10,5.23,5.37,5.22,5.24,141400,4.31
2011-01-03,5.22,5.26,5.02,5.22,205200,4.29
2010-12-27,5.47,5.53,5.03,5.22,160300,4.29
2010-12-20,5.43,5.53,5.36,5.50,109200,4.22
