Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.97,3.04,2.72,2.97,35200,2.97
2012-05-14,3.51,3.59,2.94,2.94,35500,2.94
2012-05-07,3.49,3.79,3.40,3.53,37200,3.53
2012-04-30,3.60,3.72,3.48,3.50,37600,3.50
2012-04-23,3.47,3.82,3.43,3.69,82900,3.69
2012-04-16,3.74,3.87,3.34,3.44,53600,3.44
2012-04-09,3.30,3.75,3.26,3.74,63300,3.74
2012-04-02,3.57,3.73,3.12,3.15,47300,3.15
2012-03-26,2.94,3.73,2.91,3.67,73700,3.67
2012-03-19,3.18,3.20,2.88,2.94,45700,2.94
2012-03-12,3.45,3.55,3.10,3.22,114500,3.22
2012-03-05,4.50,4.67,3.26,3.45,688900,3.45
2012-02-27,2.75,3.35,2.57,3.28,206000,3.28
2012-02-21,2.29,2.60,2.20,2.47,35200,2.47
2012-02-13,2.37,2.45,2.19,2.29,48400,2.29
2012-02-06,2.71,2.75,2.15,2.27,209400,2.27
2012-01-30,3.06,3.06,2.46,2.71,102300,2.71
2012-01-23,1.94,3.06,1.92,3.05,202200,3.05
2012-01-17,1.82,2.10,1.73,1.91,78900,1.91
2012-01-09,1.87,1.95,1.75,1.80,70100,1.80
2012-01-03,1.91,1.91,1.79,1.87,93300,1.87
2011-12-27,1.99,2.12,1.85,1.86,52100,1.86
2011-12-19,1.98,2.24,1.91,1.99,119500,1.99
2011-12-12,1.62,2.39,1.58,1.98,370900,1.98
2011-12-05,1.73,1.74,1.56,1.62,87700,1.62
2011-11-28,1.53,1.80,1.46,1.72,174800,1.72
2011-11-21,1.59,1.61,1.46,1.50,57700,1.50
2011-11-14,1.63,1.70,1.43,1.63,59900,1.63
2011-11-07,1.66,1.84,1.46,1.63,118100,1.63
2011-10-31,1.85,1.91,1.39,1.66,215500,1.66
2011-10-24,1.85,1.90,1.66,1.85,144900,1.85
2011-10-17,3.20,3.25,1.76,1.85,659900,1.85
2011-10-10,3.19,3.33,3.07,3.22,124900,3.22
2011-10-03,2.97,3.24,2.58,3.07,94900,3.07
2011-09-26,3.09,3.40,2.96,3.00,49200,3.00
2011-09-19,3.58,3.91,2.58,3.05,235700,3.05
2011-09-12,3.97,4.00,3.66,3.70,17900,3.70
2011-09-06,3.92,4.42,3.63,3.99,13100,3.99
2011-08-29,4.39,4.59,4.05,4.05,23900,4.05
2011-08-22,4.61,4.69,3.75,4.38,61000,4.38
2011-08-15,4.77,5.02,4.48,4.55,69700,4.55
2011-08-08,4.38,5.18,4.00,4.73,54900,4.73
2011-08-01,4.62,5.00,4.37,4.47,58200,4.47
2011-07-25,5.10,5.10,4.45,4.62,112400,4.62
2011-07-18,4.74,5.21,4.65,5.11,68600,5.11
2011-07-11,4.76,5.22,4.57,4.77,31700,4.77
2011-07-05,4.56,4.87,4.55,4.83,26900,4.83
2011-06-27,4.55,4.61,4.31,4.59,59300,4.59
2011-06-20,4.40,4.54,4.37,4.53,28400,4.53
2011-06-13,4.48,4.53,4.31,4.39,36300,4.39
2011-06-06,4.47,4.53,4.25,4.52,25400,4.52
2011-05-31,4.86,4.90,4.37,4.46,24600,4.46
2011-05-23,4.15,4.86,4.15,4.83,32800,4.83
2011-05-16,4.85,4.88,4.08,4.25,95900,4.25
2011-05-09,4.62,4.96,4.42,4.86,73800,4.86
2011-05-02,4.97,5.04,4.55,4.63,52300,4.63
2011-04-25,5.20,5.20,4.70,4.97,106900,4.97
2011-04-18,5.10,5.42,5.05,5.18,227400,5.18
2011-04-11,4.45,5.23,4.37,5.16,184200,5.16
2011-04-04,4.46,4.63,4.12,4.45,118600,4.45
2011-03-28,3.97,4.55,3.80,4.47,379600,4.47
2011-03-21,3.25,5.20,3.05,3.99,1906000,3.99
2011-03-14,3.49,3.49,3.03,3.20,42700,3.20
2011-03-07,3.36,3.75,3.34,3.49,54900,3.49
2011-02-28,3.40,3.46,3.21,3.40,37200,3.40
2011-02-22,3.96,3.96,3.01,3.38,125800,3.38
2011-02-14,3.42,4.02,3.38,3.85,68800,3.85
2011-02-07,3.38,3.55,3.38,3.46,53700,3.46
2011-01-31,3.54,3.57,3.34,3.38,81200,3.38
2011-01-24,3.85,3.92,3.51,3.57,97200,3.57
2011-01-18,3.60,4.35,3.47,3.85,413700,3.85
2011-01-10,2.86,3.47,2.50,3.46,446700,3.46
2011-01-03,2.08,3.74,2.00,2.92,730800,2.92
2010-12-27,1.90,2.14,1.90,2.08,35600,2.08
2010-12-20,1.98,2.00,1.85,1.95,39200,1.95
2010-12-13,1.78,1.98,1.76,1.98,34100,1.98
2010-12-06,1.88,1.91,1.78,1.79,21400,1.79
2010-11-29,1.87,1.94,1.84,1.88,20700,1.88
2010-11-22,1.91,1.98,1.84,1.89,23700,1.89
2010-11-15,1.90,2.06,1.84,1.93,41300,1.93
2010-11-08,2.35,2.42,1.88,1.90,70700,1.90
2010-11-01,2.25,2.40,2.20,2.37,57100,2.37
2010-10-25,2.38,2.40,2.19,2.25,37800,2.25
2010-10-18,2.47,2.48,2.35,2.40,7500,2.40
2010-10-11,2.52,2.54,2.35,2.47,11200,2.47
2010-10-04,2.42,2.63,2.42,2.56,20600,2.56
2010-09-27,2.44,2.48,2.24,2.45,109000,2.45
2010-09-20,2.43,2.51,2.36,2.45,65900,2.45
2010-09-13,2.48,2.54,2.34,2.34,34700,2.34
2010-09-07,2.81,2.98,2.35,2.49,121000,2.49
2010-08-30,2.51,2.98,2.42,2.57,26700,2.57
2010-08-23,2.64,2.65,2.41,2.49,15800,2.49
2010-08-16,2.50,2.67,2.45,2.59,16800,2.59
2010-08-09,2.39,2.56,2.35,2.52,19500,2.52
2010-08-02,2.51,2.51,2.31,2.39,19100,2.39
2010-07-26,2.33,2.51,2.30,2.49,21400,2.49
2010-07-19,2.38,2.49,2.21,2.36,46300,2.36
2010-07-12,2.61,2.68,2.37,2.41,70600,2.41
2010-07-06,2.53,2.81,2.51,2.58,60500,2.58
2010-06-28,2.81,2.83,2.50,2.52,26800,2.52
2010-06-21,2.79,3.05,2.72,2.76,338400,2.76
2010-06-14,2.96,3.11,2.75,2.75,28600,2.75
2010-06-07,2.97,3.27,2.91,2.93,37200,2.93
2010-06-01,3.08,3.27,2.94,2.97,29400,2.97
2010-05-24,3.05,3.25,2.68,3.21,75100,3.21
2010-05-17,3.21,3.21,3.00,3.03,35900,3.03
2010-05-10,3.43,3.69,3.12,3.18,78200,3.18
2010-05-03,3.30,3.57,3.20,3.35,69300,3.35
2010-04-26,3.44,3.60,3.20,3.23,44900,3.23
2010-04-19,3.67,3.93,3.24,3.45,32200,3.45
2010-04-12,3.16,3.82,3.07,3.75,79100,3.75
2010-04-05,3.21,3.40,3.09,3.17,19700,3.17
2010-03-29,3.26,3.47,3.17,3.21,26800,3.21
2010-03-22,3.36,3.53,3.27,3.27,15100,3.27
2010-03-15,3.61,3.85,3.35,3.37,23300,3.37
2010-03-08,3.95,4.11,3.61,3.63,36500,3.63
2010-03-01,3.15,3.93,3.11,3.93,47000,3.93
2010-02-22,3.41,3.51,3.03,3.13,35000,3.13
2010-02-16,3.19,3.43,3.17,3.39,18300,3.39
2010-02-08,3.13,3.30,3.01,3.17,22500,3.17
2010-02-01,3.26,3.32,3.05,3.18,30600,3.18
2010-01-25,3.20,3.33,3.10,3.24,45400,3.24
2010-01-19,3.55,3.65,3.16,3.17,31400,3.17
2010-01-11,3.81,3.85,3.30,3.55,23300,3.55
2010-01-04,4.00,4.04,3.64,3.79,28500,3.79
2009-12-28,3.86,4.06,3.78,3.95,33300,3.95
2009-12-21,3.61,3.85,3.50,3.84,45200,3.84
2009-12-14,3.68,3.84,3.51,3.60,42300,3.60
2009-12-07,3.36,3.72,3.36,3.58,44600,3.58
2009-11-30,3.44,3.49,3.26,3.35,50400,3.35
2009-11-23,3.60,3.86,3.44,3.44,24500,3.44
2009-11-16,3.84,4.02,3.47,3.54,51500,3.54
2009-11-09,4.00,4.00,3.74,3.80,51300,3.80
2009-11-02,4.01,4.17,3.62,4.00,46800,4.00
2009-10-26,4.46,4.54,3.91,3.97,42700,3.97
2009-10-19,4.68,4.89,4.43,4.44,74500,4.44
2009-10-12,4.45,4.99,4.33,4.65,59800,4.65
2009-10-05,4.78,5.00,4.28,4.38,57400,4.38
2009-09-28,5.02,5.20,4.43,4.60,33000,4.60
2009-09-21,4.99,5.21,4.91,4.98,40800,4.98
2009-09-14,4.67,5.10,4.55,5.00,118300,5.00
2009-09-08,4.27,4.88,4.15,4.69,127500,4.69
2009-08-31,4.75,4.97,4.08,4.20,81900,4.20
2009-08-24,5.72,5.72,4.74,4.80,63300,4.80
2009-08-17,5.53,5.95,5.53,5.73,48100,5.73
2009-08-10,5.92,6.07,5.50,5.62,67900,5.62
2009-08-03,6.27,6.44,5.95,6.00,56300,6.00
2009-07-27,6.56,6.68,6.09,6.20,49500,6.20
2009-07-20,6.43,6.83,6.15,6.59,28600,6.59
2009-07-13,6.07,6.41,5.82,6.38,63400,6.38
2009-07-06,6.42,6.82,5.08,6.06,123100,6.06
2009-06-29,5.99,6.77,5.66,6.42,111300,6.42
2009-06-22,6.84,6.95,5.84,6.00,177300,6.00
