Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.84,7.03,6.72,6.81,612400,6.81
2012-05-14,7.07,7.07,6.27,6.81,899900,6.81
2012-05-07,8.04,8.24,6.80,7.20,889400,7.20
2012-04-30,8.64,9.06,7.94,8.09,509800,8.09
2012-04-23,7.70,8.87,7.57,8.69,587000,8.69
2012-04-16,8.77,8.83,7.81,7.87,1737500,7.87
2012-04-09,8.89,9.43,8.73,9.03,488900,9.03
2012-04-02,9.39,9.80,9.15,9.20,548300,9.20
2012-03-26,9.59,9.63,9.22,9.42,569400,9.42
2012-03-19,9.41,9.80,8.82,9.42,667700,9.42
2012-03-12,9.59,9.81,9.26,9.38,725200,9.38
2012-03-05,9.01,9.61,8.69,9.61,569400,9.61
2012-02-27,10.36,10.36,8.97,9.07,693200,9.07
2012-02-21,10.41,10.59,10.15,10.49,317800,10.49
2012-02-13,10.18,10.49,9.84,10.42,335600,10.42
2012-02-06,10.25,10.66,9.99,10.00,313200,10.00
2012-01-30,9.32,10.39,9.14,10.31,429900,10.31
2012-01-23,9.45,9.87,9.00,9.46,380400,9.46
2012-01-17,8.97,9.62,8.83,9.46,401300,9.46
2012-01-09,9.40,9.71,8.75,8.87,515300,8.87
2012-01-03,9.66,9.97,8.98,9.38,754100,9.38
2011-12-27,9.29,9.53,8.99,9.34,469900,9.34
2011-12-19,8.59,9.37,8.24,9.35,650500,9.35
2011-12-12,9.08,9.16,7.92,8.51,1008300,8.51
2011-12-05,9.58,9.58,8.85,9.28,807200,9.28
2011-11-28,7.82,9.69,7.82,9.36,819100,9.36
2011-11-21,8.63,8.63,7.38,7.39,642800,7.39
2011-11-14,9.25,9.52,8.78,8.85,805200,8.85
2011-11-07,9.83,9.83,8.85,9.32,741800,9.32
2011-10-31,9.99,10.09,8.73,9.85,625600,9.85
2011-10-24,9.02,10.53,8.90,10.21,773200,10.21
2011-10-17,8.73,9.52,8.49,9.00,896400,9.00
2011-10-10,7.90,8.84,7.83,8.81,895600,8.81
2011-10-03,7.56,8.01,6.77,7.62,1045100,7.62
2011-09-26,8.52,9.15,7.71,7.72,730500,7.72
2011-09-19,9.81,10.17,8.07,8.42,942600,8.42
2011-09-12,9.35,10.97,9.19,10.14,934200,10.14
2011-09-06,9.01,10.28,8.83,9.51,740800,9.51
2011-08-29,9.85,10.49,9.19,9.32,551500,9.32
2011-08-22,9.31,10.07,8.87,9.67,687500,9.67
2011-08-15,10.36,10.70,8.95,9.00,771900,9.00
2011-08-08,9.45,10.44,8.10,10.18,1597000,10.18
2011-08-01,13.13,13.18,9.60,9.82,965400,9.82
2011-07-25,12.99,13.18,12.21,12.87,538800,12.87
2011-07-18,12.42,13.45,12.21,13.19,536300,13.19
