Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.91,3.11,2.81,3.05,11600,3.05
2012-05-14,2.52,3.16,2.51,2.76,20100,2.76
2012-05-07,2.28,2.58,2.22,2.52,41200,2.52
2012-04-30,2.30,2.30,2.19,2.25,9500,2.25
2012-04-23,2.17,2.33,2.14,2.22,3300,2.22
2012-04-16,2.15,2.35,2.15,2.17,2400,2.17
2012-04-09,2.17,2.35,2.12,2.17,7600,2.17
2012-04-02,2.12,2.36,2.12,2.22,1500,2.22
2012-03-26,2.25,2.37,2.11,2.12,44700,2.12
2012-03-19,2.18,2.26,2.17,2.18,1500,2.18
2012-03-12,2.34,2.45,2.17,2.23,4300,2.23
2012-03-05,2.56,2.58,2.32,2.35,2300,2.35
2012-02-27,2.30,2.56,2.28,2.45,11200,2.45
2012-02-21,2.31,2.48,2.15,2.28,12100,2.28
2012-02-13,2.34,2.48,2.28,2.34,5800,2.34
2012-02-06,2.32,2.48,2.32,2.40,1200,2.40
2012-01-30,2.41,2.50,2.31,2.46,2800,2.46
2012-01-23,2.50,2.54,2.28,2.44,2900,2.44
2012-01-17,2.51,2.55,2.31,2.53,5600,2.53
2012-01-09,2.29,2.52,2.26,2.51,2700,2.51
2012-01-03,2.49,2.49,2.21,2.28,2900,2.28
2011-12-27,2.29,2.53,2.10,2.53,16200,2.53
2011-12-19,2.26,2.53,2.25,2.27,18600,2.27
2011-12-12,2.33,2.37,2.12,2.25,3900,2.25
2011-12-05,2.26,2.33,2.12,2.33,6600,2.33
2011-11-28,2.30,2.33,2.20,2.30,5500,2.30
2011-11-21,2.31,2.31,2.04,2.31,4600,2.31
2011-11-14,2.19,2.31,2.11,2.31,6300,2.31
2011-11-07,2.13,2.24,1.98,2.23,5200,2.23
2011-10-31,2.02,2.17,1.92,2.16,500,2.16
2011-10-24,2.24,2.24,1.98,2.03,3400,2.03
2011-10-17,2.09,2.24,2.09,2.14,13900,2.14
2011-10-10,1.93,2.11,1.83,2.05,18800,2.05
2011-10-03,1.90,1.95,1.75,1.90,17200,1.90
2011-09-26,1.87,1.94,1.77,1.90,11900,1.90
2011-09-19,1.95,1.95,1.85,1.87,1400,1.87
2011-09-12,1.90,1.95,1.80,1.94,3300,1.94
2011-09-06,1.94,2.00,1.81,1.85,1000,1.85
2011-08-29,1.89,2.02,1.87,1.95,5600,1.95
2011-08-22,1.90,1.91,1.82,1.86,1400,1.86
2011-08-15,1.95,1.97,1.85,1.89,1400,1.89
2011-08-08,1.85,2.09,1.85,1.90,5800,1.90
2011-08-01,2.05,2.08,1.90,1.93,28000,1.93
2011-07-25,2.06,2.07,2.02,2.04,8200,2.04
2011-07-18,2.10,2.14,2.04,2.08,2100,2.08
2011-07-11,2.06,2.11,2.02,2.04,6700,2.04
2011-07-05,2.06,2.06,2.01,2.06,12700,2.06
2011-06-27,2.00,2.05,1.99,2.05,17100,2.05
2011-06-20,2.04,2.04,1.94,2.04,13800,2.04
2011-06-13,1.95,2.04,1.89,2.03,38200,2.03
2011-06-06,1.98,2.01,1.90,1.98,9500,1.98
2011-05-31,1.99,2.06,1.91,2.02,50400,2.02
2011-05-23,1.88,2.08,1.88,1.99,31600,1.99
2011-05-16,1.66,1.96,1.64,1.95,25500,1.95
2011-05-09,1.68,1.72,1.58,1.66,10000,1.66
2011-05-02,1.65,1.72,1.62,1.69,5200,1.69
2011-04-25,1.65,1.67,1.61,1.67,3900,1.67
2011-04-18,1.64,1.67,1.63,1.65,5400,1.65
2011-04-11,1.61,1.68,1.51,1.66,38000,1.66
2011-04-04,1.68,1.71,1.64,1.66,7200,1.66
2011-03-28,1.65,1.70,1.62,1.65,33000,1.65
2011-03-21,1.65,1.71,1.56,1.65,18500,1.65
2011-03-14,1.75,1.75,1.64,1.65,47500,1.65
2011-03-07,1.91,1.91,1.72,1.75,70400,1.75
2011-02-28,1.71,2.18,1.68,1.88,191300,1.88
2011-02-22,1.80,1.80,1.61,1.69,42100,1.69
2011-02-14,1.79,1.81,1.76,1.79,14400,1.79
2011-02-07,1.79,1.81,1.76,1.80,20200,1.80
2011-01-31,1.75,1.84,1.75,1.79,4400,1.79
2011-01-24,1.75,1.84,1.75,1.83,3000,1.83
2011-01-18,1.73,1.84,1.71,1.74,16300,1.74
2011-01-10,1.68,1.77,1.59,1.74,13400,1.74
2011-01-03,1.75,1.77,1.62,1.69,20800,1.69
2010-12-27,1.70,1.79,1.60,1.71,22600,1.71
2010-12-20,1.65,1.72,1.65,1.68,5300,1.68
2010-12-13,1.66,1.70,1.57,1.70,23600,1.70
2010-12-06,1.73,1.74,1.65,1.70,7700,1.70
2010-11-29,1.80,1.80,1.64,1.77,6200,1.77
2010-11-22,1.68,1.77,1.63,1.72,22500,1.72
2010-11-15,1.78,1.80,1.60,1.75,16600,1.75
2010-11-08,1.76,1.82,1.70,1.78,8300,1.78
2010-11-01,1.80,1.84,1.64,1.77,8900,1.77
2010-10-25,1.78,1.84,1.73,1.82,14500,1.82
2010-10-18,1.86,1.88,1.77,1.81,5900,1.81
2010-10-11,1.82,1.87,1.73,1.84,10000,1.84
2010-10-04,1.57,1.86,1.48,1.83,37200,1.83
2010-09-27,1.75,1.82,1.54,1.57,13100,1.57
2010-09-20,1.77,1.83,1.76,1.79,2100,1.79
2010-09-13,1.72,1.82,1.71,1.82,14000,1.82
2010-09-07,1.71,1.78,1.64,1.75,21100,1.75
2010-08-30,1.65,1.84,1.63,1.74,6700,1.74
2010-08-23,1.68,1.72,1.50,1.62,34200,1.62
2010-08-16,1.74,1.76,1.57,1.66,76600,1.66
2010-08-09,1.83,1.83,1.74,1.77,45500,1.77
2010-08-02,1.84,1.84,1.73,1.81,22900,1.81
2010-07-26,1.78,1.94,1.78,1.85,23500,1.85
2010-07-19,1.85,1.98,1.75,1.83,10800,1.83
2010-07-12,1.68,1.87,1.65,1.87,32900,1.87
2010-07-06,1.72,1.74,1.61,1.68,14200,1.68
2010-06-28,1.85,1.86,1.62,1.71,77100,1.71
2010-06-21,2.00,2.04,1.82,1.82,22000,1.82
2010-06-14,1.85,2.03,1.74,2.03,34400,2.03
2010-06-07,1.85,1.90,1.74,1.90,56000,1.90
2010-06-01,1.87,1.92,1.83,1.85,19200,1.85
2010-05-24,1.85,2.17,1.82,1.87,113100,1.87
2010-05-17,2.14,2.19,1.80,1.82,33600,1.82
2010-05-10,1.95,2.25,1.85,2.14,32000,2.14
2010-05-03,2.31,2.33,1.80,1.95,41900,1.95
2010-04-26,2.17,2.70,2.16,2.33,119800,2.33
2010-04-19,1.83,2.23,1.69,2.12,258500,2.12
2010-04-12,1.83,1.90,1.74,1.80,49600,1.80
2010-04-05,1.75,1.89,1.71,1.83,56600,1.83
2010-03-29,1.68,1.83,1.64,1.73,65800,1.73
2010-03-22,1.26,2.00,1.24,1.68,98500,1.68
2010-03-15,1.65,1.69,1.15,1.17,177200,1.17
2010-03-08,1.29,1.69,1.28,1.63,60900,1.63
2010-03-01,1.26,1.32,1.24,1.28,10400,1.28
2010-02-22,1.34,1.34,1.21,1.26,20200,1.26
2010-02-16,1.31,1.37,1.31,1.33,12800,1.33
2010-02-08,1.38,1.40,1.34,1.34,4400,1.34
2010-02-01,1.31,1.45,1.31,1.36,9200,1.36
2010-01-25,1.38,1.40,1.30,1.30,4500,1.30
2010-01-19,1.48,1.53,1.35,1.40,44800,1.40
2010-01-11,1.52,1.54,1.37,1.46,46800,1.46
2010-01-04,1.55,1.63,1.46,1.52,44200,1.52
2009-12-28,1.57,1.57,1.45,1.51,95800,1.51
2009-12-21,1.54,1.63,1.47,1.55,31200,1.55
2009-12-14,1.55,1.62,1.40,1.56,21600,1.56
2009-12-07,1.60,1.66,1.52,1.55,11200,1.55
2009-11-30,1.54,1.62,1.38,1.59,14300,1.59
2009-11-23,1.45,1.60,1.35,1.57,33100,1.57
2009-11-16,1.31,1.42,1.21,1.42,16900,1.42
