Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,87.88,87.88,85.63,85.92,19400,85.92
2012-05-14,90.58,90.85,84.80,87.19,26800,87.19
2012-05-07,92.47,98.08,90.78,91.68,45400,91.68
2012-04-30,102.25,103.16,92.20,92.92,37600,92.92
2012-04-23,99.53,105.00,98.03,103.06,26700,103.06
2012-04-16,103.86,105.66,100.04,101.67,24500,101.67
2012-04-09,99.97,105.89,99.12,102.73,32300,102.73
2012-04-02,105.10,106.71,100.47,102.11,26300,102.11
2012-03-26,109.03,112.35,104.13,105.51,25800,105.51
2012-03-19,107.96,112.80,103.59,108.14,37900,108.14
2012-03-12,110.75,114.54,108.84,110.85,53500,110.85
2012-03-05,98.81,111.55,98.81,111.34,43100,111.34
2012-02-27,106.03,107.79,98.70,99.46,34600,99.46
2012-02-21,109.99,109.99,104.94,106.48,17400,106.48
2012-02-13,116.32,116.32,104.45,108.48,35700,108.48
2012-02-06,101.69,126.14,100.23,114.38,38300,114.38
2012-01-30,99.39,101.99,96.16,101.59,26800,101.59
2012-01-23,95.69,101.01,94.41,100.45,16100,100.45
2012-01-17,95.18,96.38,93.52,95.48,17800,95.48
2012-01-09,93.57,95.90,90.93,94.09,20900,94.09
2012-01-03,91.09,94.99,89.34,92.66,32600,92.66
2011-12-27,88.92,90.45,87.04,88.40,24700,88.40
2011-12-19,84.05,90.00,82.08,89.29,34300,89.29
2011-12-12,82.36,85.22,81.08,83.18,50800,82.21
2011-12-05,80.40,83.50,78.51,83.24,41000,82.27
2011-11-28,69.40,79.49,69.13,78.94,45300,78.02
2011-11-21,75.53,75.92,68.03,68.70,18800,67.90
2011-11-14,79.80,80.87,75.52,76.91,36800,76.01
2011-11-07,81.40,82.66,77.94,80.21,40600,79.27
2011-10-31,77.28,83.31,69.71,81.22,50400,80.27
2011-10-24,71.81,81.57,70.41,79.10,37200,78.18
2011-10-17,71.69,72.67,67.14,71.36,31800,70.53
2011-10-10,65.10,72.34,64.08,72.27,40300,71.43
2011-10-03,61.78,66.25,60.44,63.70,64900,62.96
2011-09-26,62.00,67.00,60.25,62.45,36300,61.72
2011-09-19,66.50,67.80,60.18,61.36,47800,60.64
2011-09-12,65.29,69.85,64.46,67.51,43500,66.72
2011-09-06,65.00,68.57,64.24,66.39,43800,65.62
2011-08-29,72.45,76.14,66.43,67.07,44200,66.29
2011-08-22,69.82,72.48,65.51,71.70,31100,70.86
2011-08-15,75.90,76.84,66.87,67.30,37500,66.52
2011-08-08,74.40,78.34,68.00,75.15,69200,74.27
2011-08-01,93.04,93.25,76.47,77.75,48600,76.84
2011-07-25,92.80,93.89,88.26,90.14,30900,89.09
2011-07-18,93.54,95.60,91.73,94.29,28100,93.19
2011-07-11,94.82,95.39,90.77,93.39,35100,92.30
2011-07-05,96.79,97.01,93.80,95.96,31200,94.84
2011-06-27,95.48,97.25,91.79,96.79,29300,95.66
2011-06-20,92.18,96.80,91.50,95.73,35600,94.61
2011-06-13,89.36,96.99,87.38,92.81,61000,91.73
2011-06-06,84.05,95.79,83.90,91.15,79300,90.09
2011-05-31,88.97,91.92,84.01,84.25,60100,83.27
2011-05-23,87.79,89.83,84.31,87.79,36200,86.77
2011-05-16,93.52,94.45,86.53,89.90,48900,88.85
2011-05-09,97.29,98.80,93.49,93.71,32100,92.62
2011-05-02,102.53,102.53,96.18,96.99,45700,95.86
2011-04-25,98.02,103.36,94.78,101.72,52100,100.53
2011-04-18,95.23,100.27,93.37,98.02,74300,96.88
2011-04-11,101.37,101.64,92.37,96.35,88900,95.23
2011-04-04,97.22,102.53,96.21,101.37,64700,100.19
2011-03-28,94.75,98.34,93.15,96.78,36100,95.65
2011-03-21,90.36,96.88,89.51,94.77,57700,93.66
2011-03-14,90.67,93.97,88.24,88.44,56600,87.41
2011-03-07,97.52,100.25,89.32,91.89,78000,90.82
2011-02-28,97.07,98.58,90.46,97.21,64200,96.08
2011-02-22,99.09,99.82,91.60,96.31,77700,95.19
2011-02-14,96.66,103.00,93.40,100.42,44200,99.25
2011-02-07,96.26,98.95,95.49,96.73,35800,95.60
2011-01-31,90.09,104.00,88.05,95.88,66500,94.76
2011-01-24,88.22,94.97,86.29,88.98,64700,87.94
2011-01-18,91.33,92.27,87.77,87.77,71800,86.75
2011-01-10,90.77,92.35,86.65,91.90,67200,90.83
2011-01-03,97.40,98.68,89.53,91.64,80800,90.57
2010-12-27,97.05,98.14,93.75,96.04,37600,94.92
2010-12-20,95.41,98.88,95.41,97.03,36500,95.90
2010-12-13,104.95,105.04,94.21,94.63,55200,93.53
2010-12-06,108.05,108.48,102.61,104.62,52000,103.40
2010-11-29,95.55,109.11,94.00,108.62,66500,107.35
2010-11-22,94.99,98.94,92.93,96.03,29100,94.91
