Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.71,10.75,10.05,10.15,38100,10.15
2012-05-14,10.88,11.00,10.70,10.71,30200,10.71
2012-05-07,11.17,11.73,10.95,11.09,35100,11.09
2012-04-30,11.66,11.80,11.19,11.23,39500,11.05
2012-04-23,11.50,11.82,11.47,11.69,26900,11.50
2012-04-16,11.24,11.82,11.07,11.58,45000,11.40
2012-04-09,11.50,11.64,11.07,11.24,39300,11.06
2012-04-02,10.98,11.81,10.98,11.50,45200,11.32
2012-03-26,10.26,11.33,10.24,10.96,53700,10.79
2012-03-19,9.96,10.24,9.90,10.24,32000,10.08
2012-03-12,10.17,10.35,9.89,9.89,35500,9.73
2012-03-05,9.89,10.35,9.85,10.24,22100,10.08
2012-02-27,11.35,11.35,9.85,9.86,22400,9.70
2012-02-21,10.56,10.60,10.23,10.35,15300,10.19
2012-02-13,10.51,10.71,10.08,10.57,25300,10.40
2012-02-06,10.70,11.06,10.60,10.76,32400,10.41
2012-01-30,10.05,10.75,10.01,10.75,33500,10.40
2012-01-23,9.73,10.11,9.58,10.10,21200,9.77
2012-01-17,9.31,9.70,9.15,9.70,25800,9.39
2012-01-09,9.50,9.59,9.23,9.25,16300,8.95
2012-01-03,9.38,9.70,9.30,9.44,23900,9.13
2011-12-27,9.29,9.38,9.03,9.31,29100,9.01
2011-12-19,8.93,9.29,8.85,9.25,35900,8.95
2011-12-12,9.12,9.20,8.76,8.94,67300,8.65
2011-12-05,9.29,9.40,9.11,9.28,23400,8.98
2011-11-28,9.26,9.29,8.88,9.21,33600,8.91
2011-11-21,9.58,9.69,9.01,9.01,27200,8.72
2011-11-14,9.49,9.61,9.26,9.50,26800,9.19
2011-11-07,10.03,10.38,9.40,9.65,32300,9.34
2011-10-31,10.28,10.28,9.15,9.99,32300,9.49
2011-10-24,9.90,10.50,9.55,10.30,33400,9.79
2011-10-17,9.57,9.80,9.20,9.78,21400,9.29
2011-10-10,9.02,9.73,8.95,9.67,24700,9.19
2011-10-03,9.00,9.35,8.60,8.91,41800,8.47
2011-09-26,9.25,9.35,8.96,9.09,26300,8.64
2011-09-19,9.85,9.90,8.84,9.08,28300,8.63
2011-09-12,9.21,9.98,9.17,9.98,40800,9.48
2011-09-06,8.71,9.32,8.71,9.18,47000,8.72
2011-08-29,9.41,9.57,8.86,8.93,29600,8.49
2011-08-22,9.15,9.57,8.92,9.36,23900,8.89
2011-08-15,9.58,9.73,9.07,9.07,43400,8.62
2011-08-08,10.17,10.51,9.20,9.56,72700,9.08
2011-08-01,10.67,10.86,10.11,10.32,28300,9.62
2011-07-25,11.14,11.49,10.66,10.68,20800,9.95
2011-07-18,10.83,11.33,10.54,11.20,20800,10.44
2011-07-11,11.25,11.25,10.75,10.85,21800,10.11
2011-07-05,10.81,11.40,10.77,11.25,43400,10.48
2011-06-27,10.36,10.81,10.32,10.81,27000,10.07
2011-06-20,10.28,10.50,10.21,10.41,39700,9.70
2011-06-13,9.95,10.30,9.88,10.27,42500,9.57
2011-06-06,9.90,10.09,9.88,10.04,29000,9.36
2011-05-31,9.97,10.09,9.70,9.93,35500,9.25
2011-05-23,10.01,10.14,9.85,9.92,23300,9.24
2011-05-16,10.06,10.25,9.89,10.07,22400,9.38
2011-05-09,10.10,10.45,10.01,10.11,25700,9.42
2011-05-02,10.35,10.35,10.06,10.10,26400,9.25
2011-04-25,10.20,10.35,10.12,10.34,19900,9.47
