Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.53,2.92,2.49,2.78,19700,2.78
2012-05-14,2.92,2.98,2.51,2.52,25700,2.52
2012-05-07,2.95,3.04,2.81,2.95,39400,2.95
2012-04-30,3.25,3.50,2.93,2.96,41100,2.96
2012-04-23,2.92,3.29,2.92,3.28,23000,3.28
2012-04-16,3.01,3.04,2.80,2.98,35000,2.98
2012-04-09,3.01,3.16,2.97,3.00,45900,3.00
2012-04-02,3.50,3.69,2.98,3.06,57800,3.06
2012-03-26,3.66,3.69,3.36,3.37,39900,3.37
2012-03-19,3.58,3.78,3.47,3.51,50100,3.51
2012-03-12,3.84,3.88,3.41,3.57,73600,3.57
2012-03-05,3.94,4.16,3.82,3.85,52900,3.85
2012-02-27,4.08,4.32,3.92,3.94,36500,3.94
2012-02-21,4.33,4.35,4.07,4.11,36600,4.11
2012-02-13,4.11,4.35,4.03,4.32,31300,4.32
2012-02-06,3.70,4.23,3.46,4.04,71600,4.04
2012-01-30,3.41,3.73,3.36,3.69,71900,3.69
2012-01-23,3.42,3.45,3.20,3.43,49200,3.43
2012-01-17,3.31,3.44,3.17,3.41,73100,3.41
2012-01-09,4.52,4.73,3.05,3.27,465900,3.27
2012-01-03,4.66,4.90,4.42,4.52,71600,4.52
2011-12-27,4.38,4.60,4.05,4.53,52200,4.53
2011-12-19,4.71,4.71,4.19,4.38,37700,4.38
2011-12-12,5.18,5.25,4.60,4.65,46600,4.65
2011-12-05,4.94,5.29,4.80,5.26,39400,5.26
2011-11-28,4.95,5.07,4.63,4.78,45600,4.78
2011-11-21,4.80,5.00,4.58,4.74,28400,4.74
2011-11-14,5.07,5.20,4.70,4.90,42600,4.90
2011-11-07,4.58,5.49,4.40,5.09,41400,5.09
2011-10-31,4.71,4.91,4.35,4.59,47100,4.59
2011-10-24,4.41,5.21,4.41,4.80,61400,4.80
2011-10-17,4.32,4.74,4.16,4.35,49800,4.35
2011-10-10,4.42,4.51,4.08,4.35,48500,4.35
2011-10-03,4.94,5.00,3.84,4.33,52200,4.33
2011-09-26,4.45,5.61,4.38,4.96,50300,4.96
2011-09-19,4.61,5.32,4.17,4.76,94500,4.76
2011-09-12,4.15,4.79,4.10,4.68,45900,4.68
2011-09-06,4.66,5.05,4.03,4.20,43800,4.20
2011-08-29,5.68,5.71,4.58,4.79,44800,4.79
2011-08-22,4.81,5.70,4.20,5.57,53700,5.57
2011-08-15,5.63,5.84,4.58,4.68,283100,4.68
2011-08-08,6.50,6.66,5.05,5.57,75500,5.57
2011-08-01,7.79,8.09,6.55,6.66,41400,6.66
2011-07-25,7.89,8.06,7.51,7.77,25500,7.77
2011-07-18,7.66,8.21,7.40,7.99,71100,7.99
2011-07-11,8.06,8.51,7.65,7.72,41700,7.72
2011-07-05,8.23,8.95,8.18,8.88,52700,8.88
2011-06-27,7.85,8.22,7.75,8.22,73400,8.22
2011-06-20,7.46,8.10,7.36,7.78,354300,7.78
2011-06-13,8.45,8.79,7.25,7.51,54700,7.51
2011-06-06,8.89,9.00,8.00,8.46,60200,8.46
2011-05-31,9.29,9.29,8.63,8.89,23600,8.89
2011-05-23,8.59,9.14,8.06,8.95,20800,8.95
2011-05-16,9.45,9.46,8.60,8.74,52900,8.74
2011-05-09,9.67,9.70,9.16,9.46,31600,9.46
2011-05-02,9.51,9.99,9.51,9.72,24900,9.72
2011-04-25,10.01,10.01,9.17,9.49,30700,9.49
2011-04-18,9.68,10.03,9.68,9.99,27100,9.99
2011-04-11,10.12,10.16,9.71,9.84,78900,9.84
2011-04-04,9.95,10.52,9.54,10.14,76800,10.14
2011-03-28,8.53,9.20,8.38,9.14,187200,9.14
2011-03-21,8.75,9.14,8.02,8.40,95900,8.40
2011-03-14,9.10,9.45,8.43,8.88,50700,8.88
2011-03-07,9.79,10.11,9.11,9.11,12800,9.11
2011-02-28,9.75,9.97,9.54,9.72,25400,9.72
2011-02-22,10.38,10.41,9.53,9.67,83600,9.67
2011-02-14,9.85,10.39,9.82,10.07,17100,10.07
2011-02-07,9.90,10.65,9.82,9.97,31100,9.97
2011-01-31,9.30,9.95,9.30,9.69,93400,9.69
2011-01-24,9.70,9.89,9.15,9.44,74000,9.44
2011-01-18,9.79,9.83,9.04,9.62,67200,9.62
2011-01-10,9.15,9.83,9.12,9.44,26200,9.44
2011-01-03,10.00,10.00,9.04,9.70,57700,9.70
2010-12-27,10.00,10.52,8.79,9.82,7200,9.82
2010-12-20,4.45,10.49,4.30,10.25,108200,10.25
2010-12-13,4.78,4.79,4.30,4.45,46700,8.90
2010-12-06,4.46,4.82,4.40,4.65,32700,9.30
2010-11-29,4.38,4.85,4.24,4.50,67400,9.00
2010-11-22,4.55,4.55,4.25,4.27,42600,8.54
2010-11-15,4.71,4.71,4.25,4.30,93200,8.60
2010-11-11,4.80,4.80,4.25,4.44,1570300,8.88
