Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.13,16.24,15.13,16.24,100,16.24
2012-05-14,17.00,17.00,17.00,17.00,000,17.00
2012-05-07,17.00,17.00,17.00,17.00,000,17.00
2012-04-30,17.00,17.00,17.00,17.00,000,17.00
2012-04-23,16.50,17.00,16.25,17.00,100,17.00
2012-04-16,16.25,16.50,16.00,16.50,100,16.50
2012-04-09,15.80,15.89,15.80,15.89,000,15.89
2012-04-02,15.01,15.85,15.01,15.80,300,15.80
2012-03-26,15.20,16.00,14.75,15.70,300,15.70
2012-03-19,15.85,15.85,14.59,15.20,200,15.20
2012-03-12,16.00,16.00,14.51,15.85,400,15.85
2012-03-05,16.00,16.00,16.00,16.00,100,16.00
2012-02-27,16.00,16.00,16.00,16.00,400,16.00
2012-02-21,16.00,16.00,16.00,16.00,000,16.00
2012-02-13,15.79,16.65,15.79,16.00,900,16.00
2012-02-06,15.10,16.15,14.15,15.79,700,15.79
2012-01-30,16.72,16.72,16.72,16.72,000,16.72
2012-01-23,16.65,16.72,16.00,16.72,000,16.72
2012-01-17,16.80,16.80,16.15,16.65,000,16.65
2012-01-09,16.80,16.80,15.11,16.80,200,16.80
2012-01-03,17.40,17.40,15.08,16.80,100,16.80
2011-12-27,16.77,17.40,16.00,17.40,400,17.40
2011-12-19,16.44,16.77,15.02,16.77,100,16.77
2011-12-12,16.76,16.76,15.08,16.44,000,16.44
2011-12-05,16.80,16.80,15.00,16.76,200,16.76
2011-11-28,17.40,17.40,14.16,16.80,000,16.80
2011-11-21,17.49,17.49,16.77,17.40,200,17.40
2011-11-14,17.10,17.10,17.10,17.10,000,17.10
2011-11-07,17.50,17.50,15.13,17.10,100,17.10
2011-10-31,17.50,17.50,17.50,17.50,000,17.50
2011-10-24,17.25,17.50,17.25,17.50,400,17.50
2011-10-17,16.23,17.26,16.23,17.25,1100,17.25
2011-10-10,13.90,16.00,13.90,16.00,100,16.00
2011-10-03,15.92,15.92,13.90,13.90,600,13.90
2011-09-26,15.60,17.42,15.00,16.74,700,16.74
2011-09-19,17.72,17.72,17.37,17.43,200,17.43
2011-09-12,17.72,17.72,17.72,17.72,000,17.72
2011-09-06,17.99,17.99,15.05,17.72,200,17.72
2011-08-29,17.99,17.99,17.99,17.99,000,17.99
2011-08-22,17.99,17.99,17.99,17.99,000,17.99
2011-08-15,18.75,18.75,15.33,17.99,000,17.99
2011-08-08,17.50,18.75,15.02,18.75,1200,18.75
2011-08-01,19.25,19.25,19.25,19.25,500,19.25
2011-07-25,18.52,19.25,18.52,19.25,500,19.25
2011-07-18,18.53,18.54,18.52,18.52,100,18.52
2011-07-11,18.93,18.93,18.93,18.93,000,18.93
2011-07-05,18.93,18.93,18.93,18.93,000,18.93
2011-06-27,18.93,18.93,18.93,18.93,000,18.93
2011-06-20,18.93,18.93,18.93,18.93,000,18.93
2011-06-13,18.91,18.95,18.28,18.95,100,18.95
2011-06-06,18.97,19.00,18.25,18.91,700,18.91
2011-05-31,19.95,19.95,18.51,18.97,000,18.97
2011-05-23,18.51,19.60,18.51,19.60,400,19.60
2011-05-16,18.50,19.28,18.04,18.83,700,18.83
2011-05-09,18.50,18.50,18.00,18.06,600,18.06
2011-05-02,18.62,18.88,17.50,18.50,600,18.50
2011-04-25,18.11,20.29,18.00,18.60,400,18.60
2011-04-18,19.00,19.99,19.00,19.89,000,19.89
2011-04-11,19.00,19.00,19.00,19.00,000,19.00
2011-04-04,20.00,20.00,18.01,19.00,200,19.00
2011-03-28,18.50,20.14,18.50,20.00,300,20.00
2011-03-21,18.37,18.50,17.51,18.50,200,18.50
2011-03-14,17.63,19.96,17.54,18.37,500,18.37
2011-03-07,20.09,20.09,17.25,18.50,600,18.50
2011-02-28,18.18,20.98,18.01,19.00,1200,19.00
2011-02-22,17.50,18.10,17.00,17.50,400,17.50
2011-02-14,18.00,18.00,17.00,17.03,300,17.03
2011-02-07,17.10,18.25,17.10,18.00,1700,18.00
2011-01-31,16.53,17.25,16.51,17.25,500,17.25
2011-01-24,16.54,18.00,16.53,16.53,1300,16.53
2011-01-18,15.70,17.00,15.66,17.00,1600,17.00
2011-01-10,16.00,16.50,14.93,15.60,700,15.60
2011-01-03,15.00,16.00,15.00,16.00,2500,16.00
2010-12-27,15.90,15.90,15.44,15.49,400,15.49
2010-12-20,13.25,15.90,13.25,15.90,200,15.90
2010-12-13,13.03,14.25,12.50,13.25,1200,13.25
2010-12-06,15.90,15.90,15.00,15.90,100,15.90
2010-11-29,15.90,15.90,15.90,15.90,000,15.90
2010-11-22,16.00,16.00,15.50,15.85,600,15.85
2010-11-15,16.60,16.60,16.60,16.60,000,16.60
2010-11-08,16.60,16.60,16.60,16.60,000,16.60
2010-11-01,16.50,16.60,16.50,16.60,400,16.60
2010-10-25,15.00,17.99,12.53,17.00,1700,17.00
2010-10-18,13.00,15.00,13.00,15.00,600,15.00
2010-10-11,13.27,15.74,13.27,14.70,2300,14.70
2010-10-04,9.70,14.42,9.00,13.27,4500,13.27
2010-09-27,6.00,10.50,6.00,9.45,3500,9.45
2010-09-20,8.03,8.03,6.00,6.00,300,6.00
2010-09-13,8.20,8.20,7.27,7.27,000,7.27
2010-09-07,6.30,6.31,6.30,6.31,000,6.31
2010-08-30,6.30,6.30,6.30,6.30,000,6.30
2010-08-23,6.22,7.85,6.00,6.30,300,6.30
2010-08-16,6.03,6.60,6.03,6.60,400,6.60
2010-08-09,6.61,7.00,5.40,6.03,3600,6.03
2010-08-02,7.98,8.00,7.53,7.53,300,7.53
2010-07-26,9.99,9.99,5.00,8.00,1900,8.00
2010-07-19,10.00,10.00,8.00,9.99,000,9.99
2010-07-12,10.00,10.00,10.00,10.00,000,10.00
2010-07-06,8.65,10.00,8.65,10.00,500,10.00
2010-06-28,8.75,8.90,8.65,8.65,500,8.65
2010-06-21,9.00,9.50,8.70,8.70,600,8.70
2010-06-14,8.75,9.50,8.25,8.60,1100,8.60
2010-06-07,8.50,9.00,8.25,9.00,1900,9.00
2010-06-01,8.50,8.50,8.50,8.50,200,8.50
