Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.93,13.00,12.49,12.57,97800,12.57
2012-05-14,13.09,13.26,12.75,12.89,99300,12.89
2012-05-07,12.80,13.24,12.75,13.14,102800,12.89
2012-04-30,12.78,13.22,12.70,12.80,114100,12.56
2012-04-23,12.78,13.17,12.60,12.81,84800,12.57
2012-04-16,13.24,13.30,12.76,12.89,107200,12.65
2012-04-09,13.59,13.74,13.05,13.14,127100,12.89
2012-04-02,13.88,14.32,13.63,13.73,161500,13.47
2012-03-26,13.61,14.01,13.10,13.93,158900,13.67
2012-03-19,13.50,13.66,13.28,13.48,105700,13.23
2012-03-12,13.45,13.75,13.31,13.53,188400,13.27
2012-03-05,13.53,13.74,13.23,13.45,138900,12.96
2012-02-27,14.10,14.10,13.50,13.53,161000,13.03
2012-02-21,14.86,14.95,13.90,14.10,198000,13.58
2012-02-13,14.85,14.99,14.57,14.79,124600,14.25
2012-02-06,14.95,14.97,14.50,14.73,116300,14.19
2012-01-30,14.24,15.20,13.90,14.95,154100,14.40
2012-01-23,14.32,14.37,14.01,14.27,102500,13.75
2012-01-17,14.13,14.50,14.04,14.29,157700,13.76
2012-01-09,13.98,14.15,13.78,14.02,146200,13.50
2012-01-03,14.12,14.34,13.56,13.88,164100,13.37
2011-12-27,14.14,14.29,13.86,13.87,124500,13.36
2011-12-19,14.28,14.46,13.92,14.15,110000,13.63
2011-12-12,13.59,14.27,13.52,14.26,224400,13.74
2011-12-05,14.15,14.15,13.45,13.76,136300,13.25
2011-11-28,13.44,14.43,13.31,13.98,173700,13.47
2011-11-21,13.67,13.77,13.05,13.07,84900,12.59
2011-11-14,14.47,14.66,13.78,13.87,167500,13.36
2011-11-07,14.00,14.55,13.54,14.49,181100,13.72
2011-10-31,13.10,14.13,12.76,14.00,257100,13.25
2011-10-24,15.03,16.04,13.20,13.23,324300,12.52
2011-10-17,14.51,15.04,14.27,15.00,153600,14.20
2011-10-10,13.38,14.78,13.33,14.68,122700,13.90
2011-10-03,13.12,13.89,12.51,13.17,223000,12.47
2011-09-26,13.64,14.25,13.20,13.20,134100,12.50
2011-09-19,14.56,14.74,13.00,13.49,160800,12.77
2011-09-12,14.60,15.26,14.55,14.79,167200,14.00
2011-09-06,14.38,15.50,14.31,14.85,170100,14.06
2011-08-29,15.30,15.60,14.70,14.73,172100,13.94
2011-08-22,15.11,15.88,14.57,15.02,134100,14.22
2011-08-15,15.27,15.70,14.60,14.72,196300,13.93
2011-08-08,15.06,16.08,13.81,15.20,312000,14.15
2011-08-01,16.72,17.04,15.15,15.40,331200,14.34
2011-07-25,15.54,17.73,15.25,16.51,248900,15.37
2011-07-18,15.56,15.85,15.30,15.71,124900,14.63
2011-07-11,15.48,15.87,15.40,15.55,130500,14.48
2011-07-05,15.43,15.90,15.25,15.62,154900,14.54
2011-06-27,15.40,15.84,15.09,15.44,179200,14.38
2011-06-20,15.34,16.19,15.27,15.35,278700,14.29
2011-06-13,15.27,15.71,15.12,15.35,230400,14.29
2011-06-06,15.29,15.68,15.12,15.13,263600,14.09
2011-05-31,15.81,16.43,14.70,15.10,421300,14.06
2011-05-23,15.24,15.81,15.22,15.62,191200,14.54
2011-05-16,15.65,15.72,15.02,15.42,175800,14.36
2011-05-09,15.38,15.87,15.00,15.69,245800,14.37
2011-05-02,15.49,15.96,15.00,15.47,134800,14.17
2011-04-25,14.81,15.55,14.66,15.45,110600,14.15
2011-04-18,15.17,15.17,14.37,14.80,146900,13.56
2011-04-11,15.19,15.41,14.40,15.40,153800,14.11
2011-04-04,14.82,15.86,14.58,15.19,171400,13.91
2011-03-28,14.94,14.94,14.31,14.76,201200,13.52
2011-03-21,13.63,15.05,13.56,14.80,233700,13.56
2011-03-14,13.56,13.78,12.78,13.39,289300,12.27
2011-03-07,13.60,13.79,12.91,13.59,282200,12.22
2011-02-28,15.17,15.17,12.29,13.43,326200,12.08
