Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,16.18,16.46,16.02,16.27,136700,16.27
2012-05-14,16.99,16.99,16.10,16.15,143400,16.15
2012-05-07,17.15,17.25,16.92,17.09,156400,17.09
2012-04-30,17.33,17.60,17.19,17.27,149000,17.27
2012-04-23,17.02,17.50,16.85,17.47,148300,17.47
2012-04-16,17.36,17.39,16.88,17.18,221600,17.18
2012-04-09,17.25,17.50,17.01,17.27,194500,17.27
2012-04-02,17.51,17.85,17.20,17.36,188000,17.36
2012-03-26,17.27,17.95,17.10,17.60,196300,17.60
2012-03-19,17.53,17.53,17.10,17.24,147100,17.24
2012-03-12,17.67,17.93,17.45,17.53,188100,17.53
2012-03-05,17.76,17.84,17.46,17.76,170700,17.40
2012-02-27,17.52,18.05,17.50,17.82,199600,17.46
2012-02-21,17.53,17.68,17.34,17.68,154000,17.32
2012-02-13,17.64,17.67,17.07,17.53,185500,17.18
2012-02-06,17.18,17.60,17.18,17.50,151600,17.15
2012-01-30,17.05,17.44,16.89,17.32,207700,16.97
2012-01-23,16.64,17.16,16.50,17.11,248400,16.77
2012-01-17,16.71,16.86,16.50,16.54,247700,16.21
2012-01-09,16.25,16.65,16.15,16.55,293800,16.22
2012-01-03,15.93,16.50,15.93,16.29,231900,15.96
2011-12-27,15.61,15.99,15.55,15.80,221700,15.48
2011-12-19,15.72,15.80,15.24,15.56,213400,15.25
2011-12-12,15.83,16.03,15.32,15.66,149000,15.00
2011-12-05,16.14,16.28,15.76,16.00,139600,15.32
2011-11-28,15.54,16.17,15.24,15.98,162300,15.30
2011-11-21,15.60,15.71,15.28,15.32,97600,14.67
2011-11-14,16.14,16.17,15.64,15.81,141900,15.14
2011-11-07,16.22,16.32,15.81,16.12,167900,15.44
2011-10-31,16.49,16.49,15.76,16.27,138100,15.58
2011-10-24,16.26,16.92,16.25,16.63,184100,15.92
2011-10-17,16.25,16.45,16.05,16.29,171700,15.60
2011-10-10,16.17,16.34,15.88,16.25,155800,15.56
2011-10-03,15.42,15.99,14.75,15.98,253200,15.30
2011-09-26,15.21,16.00,14.93,15.57,317200,14.91
2011-09-19,16.23,16.36,14.94,15.19,197400,14.55
2011-09-12,15.93,16.41,15.59,16.33,144300,15.29
2011-09-06,16.08,16.60,15.92,16.11,173300,15.09
2011-08-29,16.42,16.61,16.08,16.37,170800,15.33
2011-08-22,15.98,16.49,15.20,16.19,159700,15.16
2011-08-15,15.78,16.46,15.34,15.54,192200,14.55
2011-08-08,14.81,15.75,14.05,15.63,332900,14.64
2011-08-01,17.45,17.58,15.05,15.55,330500,14.56
