Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,44.35,44.64,44.11,44.59,238700,44.59
2012-05-14,44.80,45.18,44.06,44.29,131000,44.29
2012-05-07,44.71,45.96,44.45,44.98,204300,44.98
2012-04-30,46.33,46.34,44.36,44.76,174200,44.76
2012-04-23,45.48,46.38,44.91,46.31,195500,46.31
2012-04-16,45.04,46.38,44.57,45.90,172600,45.90
2012-04-09,44.99,45.64,44.43,44.76,182300,44.76
2012-04-02,46.78,47.83,45.30,45.55,236600,45.55
2012-03-26,46.74,47.40,46.16,46.60,169500,46.11
2012-03-19,46.46,47.00,45.53,46.49,154400,46.00
2012-03-12,46.61,47.22,45.59,46.43,193600,45.94
2012-03-05,45.20,47.11,44.92,46.60,181300,46.11
2012-02-27,47.46,47.57,45.01,45.31,240200,44.84
2012-02-21,47.41,48.19,46.75,47.69,157200,47.19
2012-02-13,47.88,48.06,46.46,47.17,170300,46.68
2012-02-06,46.87,48.94,45.88,47.48,253800,46.98
2012-01-30,45.92,47.50,44.34,47.14,197900,46.65
2012-01-23,45.87,47.34,44.92,46.30,120000,45.82
2012-01-17,46.27,46.42,45.20,45.82,128400,45.34
2012-01-09,46.55,47.02,45.11,46.09,222600,45.61
2012-01-03,46.68,47.48,44.75,46.29,278500,45.81
2011-12-27,46.41,47.03,45.69,45.96,220900,45.00
2011-12-19,44.34,46.70,43.99,46.41,240700,45.44
2011-12-12,43.51,44.35,42.08,44.24,504800,43.32
2011-12-05,42.68,44.14,42.64,43.94,1003200,43.02
2011-11-28,45.17,47.70,41.53,42.19,626000,41.31
2011-11-21,45.00,46.05,43.70,44.08,254800,43.16
2011-11-14,44.43,46.63,43.69,45.45,251500,44.50
2011-11-07,42.95,45.00,41.75,44.65,243400,43.72
2011-10-31,43.18,43.79,41.00,42.79,227600,41.90
2011-10-24,40.58,44.20,40.55,43.60,240000,42.69
2011-10-17,39.33,41.06,38.67,40.62,255000,39.77
2011-10-10,38.60,39.74,38.43,39.61,176400,38.78
2011-10-03,35.64,39.15,35.38,38.01,308600,37.22
2011-09-26,37.91,38.92,35.72,35.86,276900,34.67
2011-09-19,39.50,40.27,36.28,37.62,272200,36.37
2011-09-12,38.40,40.81,37.70,40.04,269800,38.71
2011-09-06,38.63,40.57,38.39,38.85,362500,37.56
2011-08-29,38.79,41.91,38.55,39.67,332300,38.35
2011-08-22,38.30,40.20,37.25,38.29,283000,37.02
2011-08-15,37.34,38.49,36.72,37.61,259300,36.36
2011-08-08,35.84,37.75,35.16,37.03,482800,35.80
2011-08-01,37.00,37.25,35.02,36.33,245400,35.12
2011-07-25,36.96,37.18,36.01,36.72,146900,35.50
2011-07-18,36.10,37.69,35.64,37.14,181500,35.91
2011-07-11,37.75,37.94,36.05,36.26,178400,35.06
2011-07-05,38.13,38.41,37.68,38.11,195800,36.84
2011-06-27,37.45,38.41,36.94,38.12,227600,36.39
2011-06-20,37.12,38.15,36.71,37.37,274200,35.68
2011-06-13,36.94,38.04,36.62,37.26,287800,35.57
2011-06-06,38.71,39.09,36.97,37.00,487100,35.32
2011-05-31,43.10,43.15,38.57,38.66,427700,36.91
2011-05-23,43.45,44.57,42.45,42.65,219600,40.72
2011-05-16,42.90,44.36,42.63,43.87,110500,41.88
2011-05-09,42.36,43.98,42.13,43.16,101800,41.20
2011-05-02,43.61,43.69,41.70,42.32,111200,40.40
2011-04-25,42.28,43.86,42.04,43.38,121900,41.41
2011-04-18,42.84,42.95,41.23,42.48,160600,40.55
2011-04-11,44.23,44.70,42.10,43.15,207900,41.19
2011-04-04,44.35,45.96,44.02,44.14,187700,42.14
2011-03-28,43.21,44.68,43.18,44.36,158700,41.90
2011-03-21,42.30,43.39,42.08,43.06,190700,40.68
2011-03-14,41.41,42.43,40.86,42.09,215500,39.76
2011-03-07,41.92,42.66,40.92,41.71,476000,39.40
2011-02-28,41.75,42.65,40.93,41.95,291900,39.63
2011-02-22,41.44,41.92,40.61,41.69,190500,39.38
2011-02-14,41.16,41.94,40.86,41.71,172500,39.40
2011-02-07,37.74,41.13,37.43,41.06,439200,38.79
2011-01-31,38.11,39.00,37.68,37.74,288800,35.65
2011-01-24,38.28,39.73,37.95,37.99,182400,35.89
2011-01-18,38.92,39.23,38.03,38.12,261400,36.01
2011-01-10,39.03,39.75,38.70,39.00,208500,36.84
2011-01-03,40.97,41.32,38.85,39.11,389000,36.94
2010-12-27,41.40,42.13,40.70,40.70,139700,37.98
2010-12-20,41.85,41.99,41.33,41.44,144500,38.67
2010-12-13,41.09,42.00,40.28,41.66,395800,38.88
2010-12-06,38.13,40.97,36.59,40.90,700700,38.17
2010-11-29,43.02,43.02,37.76,38.13,457400,35.59
2010-11-22,41.56,43.18,40.66,43.17,143700,40.29
2010-11-15,41.91,42.19,40.69,41.72,157200,38.94
2010-11-08,43.23,43.64,41.57,41.80,136300,39.01
2010-11-01,41.61,43.84,40.78,43.25,206500,40.36
2010-10-25,41.25,41.82,40.55,41.44,140300,38.67
2010-10-18,40.87,41.98,40.43,41.00,177800,38.26
2010-10-11,39.87,41.62,39.79,40.85,251300,38.12
2010-10-04,40.39,41.12,39.39,39.90,243700,37.24
2010-09-27,39.65,40.77,38.92,40.39,187900,37.26
2010-09-20,38.82,39.99,38.57,39.55,226100,36.49
2010-09-13,37.98,38.91,37.52,38.62,220600,35.63
2010-09-07,37.70,38.10,35.36,37.57,417100,34.66
2010-08-30,36.43,38.33,35.61,37.75,267300,34.82
2010-08-23,37.18,37.37,35.66,36.47,169400,33.64
2010-08-16,36.25,38.07,36.08,36.90,226700,34.04
2010-08-09,37.98,38.61,35.51,36.36,235800,33.54
2010-08-02,44.94,45.76,36.50,37.78,465700,34.85
2010-07-26,43.27,44.99,42.98,44.35,177100,40.91
2010-07-19,40.93,43.66,40.93,43.29,164800,39.94
2010-07-12,40.44,42.42,40.04,40.94,203400,37.77
2010-07-06,40.24,40.58,39.03,40.51,209900,37.37
2010-06-28,39.45,40.54,38.72,39.68,266900,36.17
2010-06-21,40.76,40.76,38.64,39.41,206300,35.93
