Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.40,1.47,1.17,1.47,8100,1.47
2012-05-14,1.32,1.40,1.15,1.40,3200,1.40
2012-05-07,1.39,1.45,1.23,1.25,3600,1.25
2012-04-30,1.55,1.55,1.35,1.40,2500,1.40
2012-04-23,1.48,1.55,1.48,1.55,3500,1.55
2012-04-16,1.55,1.56,1.42,1.48,6800,1.48
2012-04-09,1.44,1.59,1.43,1.56,4600,1.56
2012-04-02,2.14,2.14,1.46,1.67,15200,1.67
2012-03-26,1.59,2.75,1.42,1.98,48300,1.98
2012-03-19,1.43,1.81,1.43,1.59,2900,1.59
2012-03-12,1.40,1.65,1.40,1.65,3000,1.65
2012-03-05,1.48,1.60,1.28,1.52,2800,1.52
2012-02-27,1.61,1.61,1.41,1.43,2500,1.43
2012-02-21,1.62,1.76,1.60,1.61,2000,1.61
2012-02-13,1.59,1.75,1.54,1.62,5000,1.62
2012-02-06,1.83,1.83,1.59,1.60,5700,1.60
2012-01-30,1.80,1.95,1.53,1.75,4100,1.75
2012-01-23,1.76,2.60,1.65,1.85,40400,1.85
2012-01-17,1.17,1.42,1.17,1.35,1600,1.35
2012-01-09,1.20,1.29,1.17,1.17,2500,1.17
2012-01-03,1.31,1.40,1.20,1.21,2600,1.21
2011-12-27,1.35,1.39,1.13,1.25,10700,1.25
2011-12-19,1.27,1.55,1.27,1.36,3300,1.36
2011-12-12,1.45,1.82,1.35,1.35,3800,1.35
2011-12-05,1.50,1.70,1.40,1.45,3100,1.45
2011-11-28,1.80,1.81,1.50,1.52,2100,1.52
2011-11-21,1.83,1.83,1.83,1.83,000,1.83
2011-11-14,1.95,2.06,1.70,1.83,3000,1.83
2011-11-07,2.00,2.00,1.81,1.92,500,1.92
2011-10-31,1.84,2.13,1.77,1.83,1500,1.83
2011-10-24,2.00,2.40,1.75,2.07,1800,2.07
2011-10-17,1.96,2.20,1.64,1.95,3300,1.95
2011-10-10,1.88,1.88,1.65,1.65,200,1.65
2011-10-03,1.87,1.90,1.62,1.88,1100,1.88
2011-09-26,1.78,1.88,1.75,1.88,300,1.88
2011-09-19,1.66,2.01,1.63,1.98,1500,1.98
2011-09-12,2.10,2.12,1.82,1.90,2000,1.90
2011-09-06,2.10,2.29,2.10,2.29,300,2.29
2011-08-29,2.30,2.30,2.30,2.30,400,2.30
2011-08-22,2.30,2.30,2.05,2.30,800,2.30
2011-08-15,2.28,2.52,2.10,2.30,600,2.30
2011-08-08,2.18,2.60,2.15,2.21,800,2.21
2011-08-01,2.62,2.81,2.50,2.50,5000,2.50
2011-07-25,2.90,2.90,2.39,2.64,6200,2.64
2011-07-18,2.59,2.98,2.55,2.90,2200,2.90
2011-07-11,2.60,2.61,2.53,2.60,700,2.60
2011-07-05,2.44,2.85,2.44,2.48,3800,2.48
2011-06-27,2.58,2.58,2.00,2.40,3400,2.40
2011-06-20,2.76,2.85,2.45,2.45,5400,2.45
2011-06-13,2.87,3.00,2.75,3.00,2100,3.00
2011-06-06,2.75,2.88,2.75,2.87,3200,2.87
2011-05-31,2.75,2.91,2.75,2.91,600,2.91
2011-05-23,2.85,2.85,2.70,2.75,500,2.75
2011-05-16,2.90,2.97,2.75,2.85,2900,2.85
2011-05-09,2.97,2.97,2.73,2.90,1400,2.90
2011-05-02,2.84,2.94,2.65,2.93,1300,2.93
2011-04-25,2.78,2.95,2.60,2.85,2100,2.85
2011-04-18,2.77,3.00,2.70,2.79,1800,2.79
2011-04-11,2.80,2.95,2.70,2.78,1800,2.78
2011-04-04,3.01,3.19,2.90,2.99,6200,2.99
2011-03-28,3.15,3.19,2.95,2.95,900,2.95
2011-03-21,3.06,3.39,2.95,3.15,2300,3.15
2011-03-14,3.48,3.48,2.75,3.06,3300,3.06
2011-03-07,3.09,3.47,2.85,3.00,6500,3.00
2011-02-28,3.00,3.60,2.77,3.15,2800,3.15
2011-02-22,3.46,3.54,2.75,3.12,7400,3.12
2011-02-14,2.95,3.65,2.91,3.50,3900,3.50
2011-02-07,2.77,4.00,2.75,2.96,14200,2.96
2011-01-31,2.86,2.93,2.65,2.92,6600,2.92
2011-01-24,3.09,3.56,2.45,2.86,13600,2.86
2011-01-18,2.26,2.68,2.26,2.66,3200,2.66
2011-01-10,2.50,2.50,2.20,2.20,5700,2.20
2011-01-03,1.55,2.56,1.54,2.50,11300,2.50
2010-12-27,1.37,1.68,1.36,1.49,8000,1.49
2010-12-20,1.55,1.75,1.35,1.41,15300,1.41
2010-12-13,1.56,1.75,1.48,1.59,25100,1.59
2010-12-06,1.70,1.70,1.62,1.65,1700,1.65
2010-11-29,1.77,1.80,1.61,1.70,5400,1.70
2010-11-22,1.78,1.98,1.70,1.98,900,1.98
2010-11-15,1.97,2.00,1.69,1.79,3100,1.79
2010-11-08,1.83,1.98,1.68,1.98,2100,1.98
2010-11-01,1.60,1.86,1.56,1.82,2100,1.82
2010-10-25,1.60,1.83,1.46,1.57,3800,1.57
2010-10-18,1.65,1.87,1.45,1.56,2600,1.56
2010-10-11,1.60,1.75,1.60,1.65,1600,1.65
2010-10-04,1.45,2.02,1.45,1.60,8800,1.60
2010-09-27,1.55,1.60,1.35,1.45,8200,1.45
2010-09-20,1.62,1.75,1.49,1.55,21200,1.55
2010-09-13,1.82,1.82,1.57,1.73,3500,1.73
2010-09-07,2.14,2.14,1.64,1.72,15100,1.72
2010-08-30,2.30,2.40,2.08,2.15,1800,2.15
2010-08-23,2.60,2.60,2.25,2.30,600,2.30
2010-08-16,2.65,2.70,2.40,2.60,700,2.60
2010-08-09,2.65,2.90,2.65,2.90,200,2.90
2010-08-02,2.90,2.95,2.56,2.65,2000,2.65
2010-07-26,2.70,3.00,2.55,2.71,3200,2.71
2010-07-19,2.86,2.90,2.28,2.77,600,2.77
2010-07-12,2.29,2.88,2.29,2.65,1900,2.65
2010-07-06,2.90,2.90,2.46,2.51,3700,2.51
2010-06-28,3.04,3.04,2.90,2.90,3000,2.90
2010-06-21,3.01,3.11,2.90,3.11,900,3.11
2010-06-14,3.15,3.25,3.01,3.14,1500,3.14
2010-06-07,3.75,4.23,3.01,3.15,1700,3.15
2010-06-01,4.49,4.49,3.75,3.75,900,3.75
2010-05-24,3.92,4.11,3.79,4.04,1500,4.04
2010-05-17,3.93,4.00,3.43,3.92,2600,3.92
2010-05-10,4.05,4.11,3.92,3.92,700,3.92
2010-05-03,3.81,4.09,3.80,4.05,800,4.05
2010-04-26,3.50,3.89,3.50,3.85,2300,3.85
2010-04-19,3.45,3.85,3.26,3.75,1600,3.75
2010-04-12,3.19,3.82,3.16,3.53,4200,3.53
2010-04-05,2.99,3.20,2.73,3.14,2800,3.14
2010-03-29,3.04,4.10,2.65,2.99,11200,2.99
2010-03-22,3.13,3.39,3.01,3.04,700,3.04
2010-03-15,4.07,4.38,3.12,3.49,2500,3.49
2010-03-08,4.94,5.05,4.04,4.07,3800,4.07
