Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.70,1.78,1.70,1.70,931000,1.70
2012-05-14,1.74,1.77,1.68,1.70,1206500,1.70
2012-05-07,1.85,1.85,1.75,1.76,1499700,1.76
2012-04-30,2.04,2.10,1.76,1.85,3085700,1.85
2012-04-23,2.02,2.08,2.00,2.04,1202400,2.04
2012-04-16,2.05,2.20,1.98,2.06,2696700,2.06
2012-04-09,2.10,2.15,1.96,2.04,2363000,2.04
2012-04-02,2.21,2.27,2.10,2.15,1598900,2.15
2012-03-26,2.24,2.27,2.15,2.21,1505800,2.21
2012-03-19,2.31,2.33,2.19,2.22,1536200,2.22
2012-03-12,2.19,2.36,2.14,2.30,2806800,2.30
2012-03-05,2.31,2.32,2.15,2.19,2578700,2.19
2012-02-27,2.47,2.52,2.31,2.32,2156400,2.32
2012-02-21,2.47,2.55,2.45,2.48,2645900,2.48
2012-02-13,3.14,3.16,2.26,2.45,5677600,2.45
2012-02-06,2.61,3.13,2.46,3.07,3280200,3.07
2012-01-30,2.38,2.61,2.32,2.61,2541300,2.61
2012-01-23,2.34,2.40,2.27,2.39,1165300,2.39
2012-01-17,2.42,2.43,2.25,2.34,1533700,2.34
2012-01-09,2.40,2.52,2.17,2.38,2163800,2.38
2012-01-03,2.51,2.60,2.35,2.39,1402700,2.39
2011-12-27,2.48,2.54,2.41,2.45,1373100,2.45
2011-12-19,2.35,2.50,2.21,2.48,1572800,2.48
2011-12-12,2.41,2.44,2.04,2.36,2362500,2.36
2011-12-05,2.61,2.69,2.32,2.45,1493700,2.45
2011-11-28,2.36,2.59,2.27,2.58,1920400,2.58
2011-11-21,2.60,2.62,2.15,2.20,1580500,2.20
2011-11-14,2.87,2.87,2.61,2.64,1084000,2.64
2011-11-07,2.75,2.84,2.67,2.80,1591300,2.80
2011-10-31,3.42,3.42,2.62,2.78,3389400,2.78
2011-10-24,3.03,3.52,3.02,3.41,1868400,3.41
2011-10-17,2.92,3.04,2.70,3.04,1488600,3.04
2011-10-10,2.67,2.95,2.62,2.90,1228700,2.90
2011-10-03,2.53,2.89,2.43,2.59,2320400,2.59
2011-09-26,2.82,2.93,2.53,2.60,1754600,2.60
2011-09-19,2.94,3.10,2.51,2.79,2128900,2.79
2011-09-12,2.94,3.25,2.88,3.01,1765600,3.01
2011-09-06,3.05,3.32,2.98,3.02,1586900,3.02
2011-08-29,3.33,3.67,3.12,3.15,2388000,3.15
2011-08-22,2.92,3.31,2.60,3.28,2432500,3.28
2011-08-15,3.27,3.33,2.75,2.84,1751600,2.84
2011-08-08,2.86,3.31,2.52,3.21,3290900,3.21
2011-08-01,4.07,4.12,2.77,3.09,4194300,3.09
2011-07-25,4.15,4.21,3.92,4.01,1760300,4.01
2011-07-18,4.44,4.44,3.93,4.19,2543400,4.19
2011-07-11,4.69,4.78,4.37,4.41,1596500,4.41
2011-07-05,4.57,4.82,4.51,4.78,1756400,4.78
2011-06-27,4.39,4.79,4.33,4.54,2199500,4.54
2011-06-20,4.07,4.50,4.02,4.42,3038600,4.42
2011-06-13,4.29,4.38,3.99,4.08,2738900,4.08
2011-06-06,4.79,4.79,4.14,4.27,2345500,4.27
2011-05-31,4.76,4.83,4.65,4.80,2570800,4.80
2011-05-23,4.59,4.79,4.47,4.67,2103300,4.67
2011-05-16,4.60,4.88,4.35,4.69,2870000,4.69
2011-05-09,4.78,4.87,4.39,4.66,4689500,4.66
2011-05-02,5.20,5.39,4.60,4.78,4083300,4.78
2011-04-25,5.15,5.30,4.99,5.16,1818500,5.16
2011-04-18,4.95,5.19,4.68,5.15,2664100,5.15
2011-04-11,4.62,5.05,4.49,5.00,2645400,5.00
2011-04-04,4.65,4.83,4.41,4.59,2701100,4.59
2011-03-28,4.14,4.66,4.10,4.65,3171100,4.65
2011-03-21,4.20,4.25,4.04,4.14,1913400,4.14
2011-03-14,4.02,4.18,3.70,4.18,4672400,4.18
2011-03-07,4.26,4.80,4.11,4.36,4699900,4.36
2011-02-28,4.35,4.50,4.10,4.20,4158300,4.20
2011-02-22,4.12,4.34,3.81,4.29,4265700,4.29
2011-02-14,3.72,4.94,3.65,4.26,7810900,4.26
2011-02-07,3.61,3.84,3.61,3.67,2306100,3.67
2011-01-31,3.18,3.64,3.18,3.63,2792800,3.63
