Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,77.04,77.19,75.92,76.18,19700,76.18
2012-05-14,75.49,77.20,75.12,77.10,27200,77.10
2012-05-07,73.96,74.65,73.52,74.61,75200,74.61
2012-04-30,73.28,73.81,72.47,73.81,5300,73.81
2012-04-23,73.77,73.86,72.77,73.37,9400,73.18
2012-04-16,72.98,73.37,72.76,73.20,7000,73.01
2012-04-09,72.38,73.24,71.97,72.80,7800,72.61
2012-04-02,70.89,70.99,69.62,70.88,4700,70.70
2012-03-26,70.71,71.50,70.04,70.04,5500,69.86
2012-03-19,69.90,71.06,69.11,70.91,12900,70.55
2012-03-12,72.72,72.83,69.35,69.97,22200,69.61
2012-03-05,73.02,73.68,72.00,72.30,13000,71.93
2012-02-27,73.96,74.50,72.35,73.14,8100,72.77
2012-02-21,72.44,73.38,72.10,73.37,6400,72.81
2012-02-13,72.91,73.77,72.50,72.84,11000,72.28
2012-02-06,73.06,73.60,72.03,73.33,12600,72.77
2012-01-30,74.64,75.09,72.76,72.81,26800,72.25
2012-01-23,72.68,73.86,72.32,73.66,13700,72.93
2012-01-17,75.30,75.59,73.08,73.08,11000,72.35
2012-01-09,73.81,75.59,73.56,75.25,13400,74.50
2012-01-03,74.69,74.69,73.40,74.09,14800,73.35
2011-12-27,73.49,75.43,73.30,75.11,10500,74.36
2011-12-19,75.95,76.64,73.16,73.39,43000,72.66
2011-12-12,73.57,76.01,73.08,75.87,16200,74.92
2011-12-05,73.00,74.14,72.86,72.98,10400,72.07
2011-11-28,73.92,75.07,72.38,73.74,16600,72.82
2011-11-21,74.87,76.13,74.62,75.11,20800,73.99
2011-11-14,72.88,74.53,72.75,74.25,18000,73.14
2011-11-07,72.88,74.14,72.19,72.47,14000,71.39
2011-10-31,70.90,74.15,70.90,72.66,40100,71.58
2011-10-24,71.28,72.56,69.19,70.04,17000,68.81
2011-10-17,71.40,72.78,71.00,71.00,15800,69.75
2011-10-10,72.87,72.95,71.00,71.27,21800,70.02
2011-10-03,75.65,77.16,71.59,73.60,41900,72.30
2011-09-26,74.95,74.95,72.50,74.83,14800,73.51
2011-09-19,72.05,76.81,71.92,75.14,30300,73.63
2011-09-12,71.88,72.18,70.34,70.84,26900,69.41
2011-09-06,72.27,72.38,70.56,71.91,45000,70.46
2011-08-29,68.02,71.21,67.75,71.11,17900,69.68
2011-08-22,70.09,70.38,67.37,69.14,18500,67.55
2011-08-15,67.40,70.83,67.01,70.38,17800,68.76
2011-08-08,65.98,69.39,65.95,67.63,21000,66.07
2011-08-01,62.89,67.10,62.85,65.47,22100,63.96
2011-07-25,61.42,62.92,61.42,62.92,2000,61.47
2011-07-18,62.08,62.63,61.49,62.02,12300,60.40
2011-07-11,62.01,62.72,61.68,62.05,8400,60.43
2011-07-05,60.75,61.50,60.50,61.50,5500,59.89
2011-06-27,62.50,62.50,60.19,60.48,9600,58.90
2011-06-20,62.54,62.93,62.21,62.60,5600,60.77
2011-06-13,62.33,62.75,61.43,62.54,10500,60.71
2011-06-06,61.76,62.66,61.48,62.45,12500,60.62
2011-05-31,61.70,62.82,61.66,61.92,8500,60.11
2011-05-23,61.79,62.16,61.63,62.15,3100,60.14
2011-05-16,61.31,62.04,60.89,61.42,4800,59.44
2011-05-09,61.11,61.34,60.85,61.20,7200,59.22
2011-05-02,60.32,61.54,60.32,61.27,2600,59.29
2011-04-25,59.96,60.45,59.85,60.27,5800,58.32
2011-04-18,59.57,60.11,59.55,59.67,3500,57.56
2011-04-11,58.15,59.74,58.14,59.69,2400,57.58
2011-04-04,59.65,59.65,58.24,58.25,2500,56.19
2011-03-28,59.51,59.64,59.12,59.45,5600,57.35
2011-03-21,60.03,60.61,59.47,59.47,3100,57.18
2011-03-14,59.16,60.94,59.16,60.17,5300,57.85
2011-03-07,58.40,59.59,58.17,59.28,4700,56.99
2011-02-28,59.45,59.45,58.29,58.67,3200,56.41
2011-02-22,58.29,59.59,58.29,59.59,3700,57.10
2011-02-14,57.98,58.43,57.89,57.89,4200,55.48
2011-02-07,57.51,57.96,57.20,57.90,87800,55.48
2011-01-31,59.14,59.22,57.51,57.55,93100,55.15
2011-01-24,59.14,59.85,58.70,59.55,21500,56.88
2011-01-18,58.92,59.50,58.50,58.99,35400,56.35
2011-01-10,59.77,59.93,59.07,59.50,21900,56.83
2011-01-03,59.97,60.44,58.84,59.41,16700,56.75
2010-12-27,59.66,60.51,58.95,60.27,4300,57.57
2010-12-20,60.13,60.48,59.60,59.72,4000,57.04
2010-12-13,59.80,60.30,58.49,60.10,11500,57.41
2010-12-06,61.78,61.97,59.75,59.91,14300,57.22
2010-11-29,62.68,63.34,61.21,61.30,17300,58.55
2010-11-22,62.59,62.94,61.86,62.31,4900,59.34
2010-11-15,61.92,62.44,60.95,62.15,8200,59.18
2010-11-08,63.62,63.89,62.04,62.05,11800,59.09
2010-11-01,64.47,65.88,63.18,63.56,9900,60.53
2010-10-25,65.26,65.27,63.66,64.12,6700,61.06
2010-10-18,64.82,65.22,64.28,64.63,6300,61.36
2010-10-11,66.79,66.79,64.00,64.40,12200,61.14
2010-10-04,66.09,66.92,65.99,66.21,5400,62.86
2010-09-27,65.93,67.01,65.88,66.17,5900,62.82
2010-09-20,64.67,66.56,64.60,65.48,5500,62.00
2010-09-13,64.39,65.58,64.05,64.59,10000,61.15
2010-09-07,66.10,66.38,64.52,64.65,7000,61.21
2010-08-30,66.77,67.71,64.85,65.40,26400,61.92
2010-08-23,66.30,68.11,66.20,66.20,26100,62.53
2010-08-16,65.91,66.98,64.29,66.48,90900,62.79
2010-08-09,63.59,64.93,63.50,64.87,14700,61.27
2010-08-02,63.07,63.69,62.82,63.69,12600,60.16
2010-07-26,63.09,63.58,62.41,63.56,7100,60.04
2010-07-19,63.50,64.23,63.10,63.16,58300,59.56
2010-07-12,62.75,63.71,62.14,63.50,73100,59.88
2010-07-06,63.40,63.75,62.54,62.70,15900,59.12
2010-06-28,62.84,64.25,62.61,63.31,10800,59.70
2010-06-21,61.16,62.69,61.01,62.15,3800,58.42
2010-06-14,61.07,61.99,60.70,61.51,5100,57.82
2010-06-07,61.70,62.02,61.20,61.62,6200,57.93
2010-06-01,61.46,61.77,60.35,61.69,4200,57.99
2010-05-24,62.05,62.86,60.79,60.90,12600,57.25
2010-05-17,60.28,62.74,60.09,62.11,18600,58.19
2010-05-10,59.21,60.45,59.20,60.45,3100,56.64
2010-05-03,58.64,61.65,58.64,60.74,2200,56.91
2010-04-26,58.11,58.75,57.83,58.64,2100,54.94
2010-04-19,57.64,58.36,57.63,58.03,2500,54.18
2010-04-12,57.24,57.77,57.20,57.77,3100,53.94
2010-04-05,56.76,57.22,56.37,57.13,6000,53.34
2010-03-29,57.14,57.31,57.01,57.28,4300,53.48
2010-03-22,58.58,58.60,57.00,57.24,8000,53.45
2010-03-15,57.75,58.62,57.75,58.60,800,54.71
2010-03-08,57.59,57.98,57.33,57.92,6400,54.08
2010-03-01,58.47,58.49,57.69,57.85,5200,54.01
2010-02-22,57.37,58.56,57.32,58.42,4900,54.55
2010-02-16,57.66,58.03,57.08,57.44,8400,53.48
2010-02-08,58.74,58.86,57.60,57.84,5700,53.86
2010-02-01,58.55,58.89,57.90,58.77,23600,54.72
2010-01-25,58.54,58.84,58.21,58.71,8900,54.67
2010-01-19,58.19,58.91,58.17,58.84,3000,54.60
2010-01-11,57.27,58.39,57.12,58.29,1100,54.09
2010-01-04,57.36,57.84,57.15,57.15,400,53.04
