Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.31,6.54,5.96,6.07,62400,6.07
2012-05-14,6.37,6.65,6.12,6.26,62600,6.26
2012-05-07,6.57,6.73,6.41,6.49,51100,6.49
2012-04-30,7.26,7.37,6.49,6.61,81000,6.61
2012-04-23,7.44,7.67,7.06,7.29,55200,7.29
2012-04-16,7.66,8.06,7.52,7.62,54000,7.62
2012-04-09,7.76,7.91,7.58,7.60,74000,7.60
2012-04-02,7.94,8.39,7.76,7.83,64500,7.83
2012-03-26,8.28,8.43,7.92,8.00,39800,8.00
2012-03-19,7.94,8.48,7.94,8.16,42500,8.16
2012-03-12,7.98,8.17,7.77,7.89,73300,7.89
2012-03-05,8.05,8.16,7.61,8.01,55200,8.01
2012-02-27,8.55,8.70,8.03,8.06,81200,8.06
2012-02-21,9.33,9.40,8.11,8.67,91800,8.67
2012-02-13,9.33,9.57,8.98,9.27,62300,9.27
2012-02-06,10.25,10.42,9.14,9.19,47300,9.19
2012-01-30,8.17,10.42,7.94,10.32,138200,10.32
2012-01-23,7.90,8.37,7.81,8.27,86200,8.27
2012-01-17,8.03,8.10,7.60,7.90,86100,7.90
2012-01-09,7.76,8.15,7.50,7.91,103800,7.91
2012-01-03,8.20,8.28,7.70,7.70,74500,7.70
2011-12-27,8.20,8.22,7.78,7.96,61300,7.96
2011-12-19,7.84,8.49,7.60,8.21,87100,8.21
2011-12-12,8.06,8.33,7.40,7.74,120100,7.74
2011-12-05,8.04,8.53,7.64,8.23,88400,8.23
2011-11-28,7.26,8.05,7.09,7.85,83200,7.85
2011-11-21,8.28,8.40,7.00,7.00,66600,7.00
2011-11-14,9.01,9.19,8.40,8.50,72000,8.50
2011-11-07,8.78,9.11,8.35,9.06,89600,9.06
2011-10-31,8.72,9.47,8.54,8.79,123000,8.79
2011-10-24,10.11,10.66,8.77,8.95,217500,8.95
2011-10-17,10.20,10.69,9.43,10.03,97900,10.03
2011-10-10,9.54,10.45,9.34,10.39,98200,10.39
2011-10-03,8.63,10.16,8.00,9.34,131600,9.34
2011-09-26,8.82,9.78,8.47,8.75,140400,8.75
2011-09-19,10.04,10.20,8.15,8.72,143000,8.72
2011-09-12,9.47,10.85,9.21,10.25,113900,10.25
2011-09-06,9.61,10.30,9.50,9.55,99000,9.55
2011-08-29,10.58,11.48,9.90,9.98,79900,9.98
2011-08-22,10.37,10.55,9.55,10.47,77100,10.47
2011-08-15,10.72,11.22,9.83,10.08,130900,10.08
2011-08-08,11.48,11.89,9.88,10.61,194200,10.61
2011-08-01,14.34,14.74,11.35,11.88,113400,11.88
2011-07-25,14.93,15.26,13.83,14.07,111800,13.90
2011-07-18,15.22,15.70,14.97,15.16,60300,14.98
2011-07-11,16.19,16.19,15.23,15.26,72100,15.08
