Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,19.28,19.62,19.09,19.26,206200,19.26
2012-05-14,19.67,19.81,19.15,19.25,152000,19.25
2012-05-07,19.25,20.07,19.14,19.85,210900,19.85
2012-04-30,20.87,21.03,19.28,19.30,250100,19.30
2012-04-23,18.67,21.06,18.35,20.79,382700,20.60
2012-04-16,18.42,19.16,18.11,18.98,323700,18.80
2012-04-09,18.46,18.69,18.02,18.36,169000,18.19
2012-04-02,19.30,19.69,18.75,18.80,187700,18.62
2012-03-26,18.71,19.55,18.71,19.38,175800,19.20
2012-03-19,18.08,18.75,17.92,18.58,238800,18.41
2012-03-12,17.93,18.34,17.72,18.18,246900,18.01
2012-03-05,17.45,18.16,17.17,17.93,185000,17.76
2012-02-27,17.99,18.49,17.44,17.46,319600,17.30
2012-02-21,17.95,18.35,17.83,18.11,267300,17.94
2012-02-13,18.15,18.39,17.63,17.84,244400,17.67
2012-02-06,18.63,18.67,17.45,17.99,221200,17.82
2012-01-30,17.77,18.93,16.83,18.62,994200,18.45
2012-01-23,19.78,20.03,17.51,17.86,239200,17.50
2012-01-17,19.45,20.26,19.32,19.82,179600,19.42
2012-01-09,18.83,19.51,18.51,19.22,179900,18.83
2012-01-03,19.24,19.29,18.50,18.74,194400,18.36
2011-12-27,18.80,19.15,18.69,18.84,168900,18.46
2011-12-19,18.40,19.27,18.09,18.91,194800,18.53
2011-12-12,18.78,19.54,18.24,18.30,303000,17.93
2011-12-05,18.77,19.24,18.08,19.08,234900,18.70
2011-11-28,17.55,19.25,17.55,18.42,407900,18.05
2011-11-21,17.80,18.12,16.90,16.90,158500,16.56
2011-11-14,18.48,19.39,18.13,18.17,200500,17.80
2011-11-07,18.07,18.73,17.23,18.52,214600,17.96
2011-10-31,18.08,18.38,17.36,18.06,274100,17.52
2011-10-24,16.73,18.67,16.37,18.48,462700,17.93
2011-10-17,16.59,16.98,15.86,16.49,292200,16.00
2011-10-10,17.00,17.40,16.59,16.77,194400,16.27
2011-10-03,15.57,17.45,14.81,16.77,281700,16.27
2011-09-26,16.03,17.03,15.71,15.74,317100,15.27
2011-09-19,17.77,17.91,15.72,15.88,365700,15.40
2011-09-12,16.99,17.91,16.88,17.91,320800,17.37
2011-09-06,17.25,18.24,17.10,17.23,206000,16.71
2011-08-29,17.78,19.09,17.58,17.69,233200,17.16
2011-08-22,17.49,18.05,16.80,17.63,308000,17.10
2011-08-15,19.05,19.32,16.81,17.10,254700,16.59
2011-08-08,18.66,19.13,16.89,18.94,479000,18.37
2011-08-01,21.83,22.06,18.64,19.00,333700,18.43
2011-07-25,21.80,22.25,20.60,21.60,399700,20.95
2011-07-18,26.41,27.37,21.95,22.13,630100,21.27
2011-07-11,25.64,26.95,25.27,26.57,286100,25.54
2011-07-05,24.36,26.27,24.16,25.85,248000,24.85
2011-06-27,23.71,24.48,23.54,24.33,134000,23.39
2011-06-20,23.75,24.96,23.66,23.74,209100,22.82
2011-06-13,23.85,24.39,23.51,23.85,170800,22.93
2011-06-06,23.76,24.60,23.38,23.89,218000,22.97
2011-05-31,23.55,24.06,23.11,23.77,403100,22.85
2011-05-23,22.77,23.38,22.18,23.30,143600,22.40
2011-05-16,23.93,23.94,22.82,23.17,143100,22.27
2011-05-09,23.59,24.77,23.57,24.13,166200,23.20
2011-05-02,24.65,24.67,23.20,23.66,132600,22.74
2011-04-25,24.76,24.99,24.01,24.71,180600,23.75
2011-04-18,23.75,24.64,23.53,24.55,148500,23.42
2011-04-11,24.06,24.21,23.32,24.12,124400,23.01
2011-04-04,24.30,24.84,24.00,24.13,163200,23.02
2011-03-28,23.22,24.29,23.04,24.28,177900,23.16
2011-03-21,21.47,23.43,21.12,23.20,223100,22.13
2011-03-14,21.22,21.57,20.55,21.29,177000,20.31
2011-03-07,22.16,22.16,20.05,21.46,151400,20.47
2011-02-28,21.78,22.17,21.24,22.01,197400,20.99
2011-02-22,21.95,22.20,20.86,21.74,201600,20.74
2011-02-14,22.48,22.83,22.01,22.27,155700,21.24
2011-02-07,22.06,22.90,22.02,22.58,222000,21.54
2011-01-31,21.50,22.59,21.31,22.13,259100,21.11
2011-01-24,22.20,22.78,21.35,21.38,220900,20.39
2011-01-18,22.64,23.52,21.49,22.12,298600,20.92
2011-01-10,22.84,23.54,22.66,23.25,110500,21.99
2011-01-03,23.39,23.98,22.41,22.98,149500,21.73
2010-12-27,24.20,24.40,23.16,23.16,79200,21.90
2010-12-20,24.27,24.44,23.85,24.10,101600,22.79
2010-12-13,23.79,24.28,23.35,24.20,189000,22.89
2010-12-06,22.46,23.99,22.32,23.80,170100,22.51
2010-11-29,22.44,22.83,21.80,22.55,217700,21.33
2010-11-22,22.01,22.77,21.00,22.62,134700,21.39
2010-11-15,22.32,22.94,21.83,22.13,140200,20.93
2010-11-08,23.03,23.99,22.00,22.31,296800,20.92
2010-11-01,23.00,23.81,22.57,23.16,178500,21.71
2010-10-25,23.46,24.12,22.41,22.89,219500,21.46
2010-10-18,22.68,23.52,22.32,23.35,195900,21.89
2010-10-11,21.75,22.94,21.43,22.65,166000,21.24
2010-10-04,21.64,22.02,21.03,21.83,157800,20.47
2010-09-27,21.50,22.00,21.06,21.75,187600,20.39
2010-09-20,21.00,21.58,20.60,21.50,228500,20.16
2010-09-13,18.36,21.31,18.09,21.03,378900,19.72
2010-09-07,19.62,19.68,18.02,18.18,265500,17.05
2010-08-30,18.48,19.82,18.05,19.68,229800,18.45
2010-08-23,18.30,18.70,17.33,18.59,165200,17.43
2010-08-16,18.28,19.50,17.97,18.27,233200,17.13
2010-08-09,19.87,20.12,18.30,18.40,189800,17.25
2010-08-02,19.37,19.81,19.15,19.72,182500,18.49
2010-07-26,19.59,20.25,19.17,19.21,274100,18.01
2010-07-19,17.90,19.50,17.31,19.48,310400,18.09
2010-07-12,17.67,19.10,17.41,17.90,285500,16.62
2010-07-06,17.15,17.83,16.75,17.77,180400,16.50
2010-06-28,17.00,17.37,16.59,17.22,286200,15.99
2010-06-21,18.12,18.42,16.77,16.98,215900,15.77
2010-06-14,17.51,18.34,17.37,18.00,225900,16.72
2010-06-07,17.29,17.58,16.03,17.35,439500,16.11
2010-06-01,17.43,17.99,17.14,17.18,503400,15.95
2010-05-24,17.99,18.34,17.29,17.48,297800,16.23
2010-05-17,18.84,19.81,17.72,17.99,382800,16.71
2010-05-10,19.11,19.40,18.34,18.73,269200,17.39
2010-05-03,20.09,20.33,17.31,18.29,273200,16.98
2010-04-26,19.43,20.51,19.04,19.99,311900,18.56
2010-04-19,19.31,19.88,19.16,19.38,335900,17.82
2010-04-12,19.26,19.86,18.97,19.27,378300,17.72
2010-04-05,20.40,20.43,19.00,19.34,422200,17.78
2010-03-29,20.63,21.10,20.11,20.31,346700,18.67
2010-03-22,20.40,21.62,20.35,20.66,396700,19.00
2010-03-15,23.49,23.93,19.44,20.43,877900,18.79
2010-03-08,23.03,23.57,22.89,23.50,159200,21.61
2010-03-01,22.29,23.12,22.01,23.10,212600,21.24
2010-02-22,21.15,22.90,20.88,22.16,222000,20.38
2010-02-16,20.80,21.36,20.47,21.18,119300,19.47
2010-02-08,19.98,20.81,19.87,20.77,193800,19.10
2010-02-01,20.06,20.72,19.57,20.05,251500,18.44
2010-01-25,21.29,21.33,19.60,20.04,298500,18.43
2010-01-19,21.99,22.31,21.20,21.21,343600,19.32
2010-01-11,21.76,21.99,21.25,21.93,267400,19.97
2010-01-04,21.76,21.97,21.30,21.71,264600,19.77
2009-12-28,21.54,21.96,21.24,21.55,152800,19.63
2009-12-21,21.62,21.90,21.44,21.54,165000,19.62
2009-12-14,21.44,21.95,21.13,21.49,253700,19.57
2009-12-07,21.37,21.88,21.17,21.38,171000,19.47
2009-11-30,20.78,21.59,19.96,21.34,265100,19.44
2009-11-23,21.14,21.46,20.34,20.74,242300,18.89
2009-11-16,22.31,22.57,20.50,20.85,262200,18.99
2009-11-09,22.88,23.41,21.93,22.12,200600,19.99
2009-11-02,22.23,22.89,21.87,22.63,132900,20.45
2009-10-26,22.78,23.16,21.98,22.19,199000,20.05
2009-10-19,24.58,24.58,22.54,22.83,264400,20.63
2009-10-12,24.90,24.90,23.95,24.45,155000,22.10
2009-10-05,24.24,24.69,23.86,24.68,313600,22.31
2009-09-28,25.42,25.82,23.88,24.01,331700,21.70
2009-09-21,25.20,26.20,25.11,25.40,273800,22.96
2009-09-14,25.28,26.15,24.57,25.20,344000,22.78
2009-09-08,24.68,25.92,24.27,25.43,196700,22.98
2009-08-31,23.94,24.66,23.47,24.46,183000,22.11
2009-08-24,23.47,25.24,23.47,24.00,302600,21.69
2009-08-17,22.78,24.42,22.28,23.50,224700,21.24
2009-08-10,21.18,23.20,21.18,23.19,359100,20.96
2009-08-03,22.22,22.89,21.16,21.16,340300,19.12
2009-07-27,22.29,22.72,21.80,22.02,359300,19.90
2009-07-20,22.69,22.88,21.63,22.25,297200,20.11
2009-07-13,21.01,23.12,20.75,22.54,512700,20.21
2009-07-06,22.64,23.60,21.02,21.05,306200,18.88
2009-06-29,22.75,23.00,21.23,22.77,294100,20.42
2009-06-22,21.93,22.82,21.25,22.72,333200,20.38
2009-06-15,20.19,22.23,19.69,22.11,387600,19.83
2009-06-08,19.17,20.54,18.54,20.35,347200,18.25
2009-06-01,19.40,19.56,19.01,19.35,344000,17.35
2009-05-26,18.74,19.53,18.71,19.11,424800,17.14
2009-05-18,18.62,20.15,18.55,18.75,577200,16.82
2009-05-11,18.43,18.79,17.35,18.50,288400,16.59
2009-05-04,17.55,18.87,17.12,18.69,334400,16.76
2009-04-27,16.70,18.30,16.69,17.56,514800,15.75
2009-04-20,15.99,16.89,15.25,16.24,603400,14.56
2009-04-13,17.65,17.74,14.79,15.43,935600,13.70
2009-04-06,17.30,17.80,16.69,17.78,246500,15.78
2009-03-30,17.52,18.66,17.20,17.48,558100,15.52
2009-03-23,17.72,18.21,16.50,17.84,538600,15.84
2009-03-16,18.83,18.93,17.20,17.36,472400,15.41
2009-03-09,17.67,19.01,16.88,18.79,428500,16.68
2009-03-02,19.66,20.05,17.68,17.86,360100,15.85
2009-02-23,21.91,22.04,20.06,20.06,353900,17.81
2009-02-17,21.96,22.45,21.60,21.82,290600,19.37
2009-02-09,22.10,22.87,21.75,22.59,223300,20.05
2009-02-02,21.14,22.41,21.07,22.24,222600,19.74
2009-01-26,21.57,22.56,21.14,21.26,339900,18.87
2009-01-20,21.00,22.37,20.06,21.65,666100,19.07
2009-01-12,23.30,23.36,20.73,21.23,478600,18.70
2009-01-05,26.33,26.41,23.06,23.25,217400,20.48
2008-12-29,24.98,26.38,22.24,26.16,212900,23.04
2008-12-22,25.10,25.35,23.85,24.96,165400,21.98
2008-12-15,24.70,26.08,23.80,24.92,374600,21.95
2008-12-08,23.51,24.95,23.01,24.51,276700,21.59
2008-12-01,23.31,23.93,21.71,23.03,305200,20.28
2008-11-24,22.11,24.59,22.11,23.83,369200,20.99
2008-11-17,25.09,26.32,21.04,21.70,469200,19.11
2008-11-10,24.35,26.24,22.62,25.14,453800,22.02
2008-11-03,24.58,27.02,23.47,23.91,338300,20.94
2008-10-27,20.35,25.17,19.43,24.58,382500,21.53
2008-10-20,23.75,24.14,20.48,20.49,347200,17.95
2008-10-13,24.50,27.01,21.83,23.34,367900,20.44
2008-10-06,27.56,28.24,21.71,23.73,502800,20.79
2008-09-29,29.34,30.26,28.18,28.24,357700,24.74
2008-09-22,27.68,30.02,27.65,29.70,376400,26.01
2008-09-15,26.04,30.50,25.31,27.96,639500,24.49
2008-09-08,26.19,27.06,25.80,26.41,280600,23.13
2008-09-02,27.81,28.47,25.30,25.47,416200,22.31
2008-08-25,26.67,28.55,26.06,28.42,265900,24.89
2008-08-18,28.02,28.25,26.17,26.66,245400,23.35
2008-08-11,26.45,28.14,25.56,28.03,329600,24.55
2008-08-04,25.04,26.64,25.00,26.59,288900,23.29
2008-07-28,25.92,26.98,24.88,26.05,280300,22.82
2008-07-21,26.83,27.00,24.73,26.28,475500,22.90
2008-07-14,29.55,29.90,23.25,23.96,745000,20.87
2008-07-07,27.81,29.49,27.08,29.43,286300,25.64
2008-06-30,27.66,28.44,26.61,27.54,390800,23.99
2008-06-23,29.54,29.80,27.68,27.74,462500,24.17
2008-06-16,30.61,31.15,29.11,29.48,304000,25.68
