Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.11,11.35,11.04,11.24,752300,11.24
2012-05-14,11.51,11.60,11.04,11.05,931700,11.05
2012-05-07,12.04,12.30,11.50,11.60,1206500,11.60
2012-04-30,12.69,12.81,12.02,12.08,1327700,11.50
2012-04-23,12.58,13.07,12.53,12.72,1120700,12.11
2012-04-16,12.40,12.85,12.27,12.73,735800,12.12
2012-04-09,12.64,12.73,12.27,12.27,840600,11.69
2012-04-02,13.04,13.12,12.76,12.80,850700,12.19
2012-03-26,13.08,13.26,12.75,12.95,860400,12.33
2012-03-19,13.00,13.32,12.73,12.97,1103200,12.35
2012-03-12,12.44,13.10,12.35,13.08,1580400,12.46
2012-03-05,12.33,12.50,12.05,12.42,795600,11.67
2012-02-27,12.30,12.70,12.28,12.36,825000,11.61
2012-02-21,12.68,12.68,12.11,12.39,718700,11.64
2012-02-13,12.25,12.71,12.03,12.59,808300,11.82
2012-02-06,12.41,12.47,12.10,12.13,781500,11.39
2012-01-30,12.10,12.58,11.87,12.48,1102800,11.72
2012-01-23,13.04,13.09,12.08,12.22,1126100,11.48
2012-01-17,13.00,13.12,12.79,13.04,881700,12.25
2012-01-09,12.69,13.14,12.67,12.96,1133400,12.17
2012-01-03,12.58,12.88,12.36,12.78,1734600,12.00
2011-12-27,12.13,12.42,12.01,12.37,1622300,11.62
2011-12-19,11.70,12.34,11.40,12.14,1011800,11.40
2011-12-12,11.86,11.94,11.37,11.69,1880800,10.98
2011-12-05,12.06,12.19,11.54,11.99,1115900,11.10
2011-11-28,11.26,12.07,11.02,11.86,1084400,10.98
2011-11-21,11.59,11.59,10.79,10.90,1030500,10.09
2011-11-14,12.02,12.14,11.58,11.83,1044400,10.95
2011-11-07,11.92,12.38,11.55,12.00,1134700,11.11
2011-10-31,12.06,12.32,11.18,11.90,1729700,11.01
2011-10-24,12.24,12.83,12.05,12.31,1808200,11.39
2011-10-17,11.28,12.29,10.95,12.26,3157500,11.35
2011-10-10,10.88,11.61,10.88,11.40,958400,10.55
2011-10-03,10.55,11.30,10.00,10.67,1377600,9.88
2011-09-26,10.48,11.22,10.42,10.59,1366400,9.80
2011-09-19,10.86,10.91,9.57,10.32,1871700,9.55
2011-09-12,10.69,11.32,10.62,11.11,1089500,10.28
2011-09-06,10.63,11.42,10.61,10.77,1277300,9.81
2011-08-29,11.42,11.99,10.89,10.90,1276900,9.93
2011-08-22,10.91,11.86,10.53,11.29,1229900,10.28
2011-08-15,11.25,11.62,10.55,10.55,1249400,9.61
2011-08-08,11.80,12.08,10.51,11.12,2475600,10.13
2011-08-01,13.37,13.41,12.00,12.15,1401200,11.07
2011-07-25,13.56,13.77,12.90,13.15,843700,11.98
2011-07-18,13.45,13.85,13.21,13.72,495300,12.50
2011-07-11,13.82,13.98,13.43,13.48,644800,12.28
2011-07-05,13.84,14.13,13.73,13.92,864600,12.68
2011-06-27,13.21,13.86,13.15,13.84,951300,12.61
2011-06-20,13.30,13.51,12.94,13.24,942500,12.06
2011-06-13,13.27,13.41,12.90,13.32,1053900,12.13
2011-06-06,13.08,13.23,12.87,13.04,1208800,11.72
2011-05-31,13.49,13.59,13.00,13.10,1088000,11.78
2011-05-23,13.36,13.49,13.20,13.37,592800,12.02
2011-05-16,13.43,13.70,13.35,13.48,637600,12.12
2011-05-09,13.57,13.70,13.44,13.51,695700,12.14
2011-05-02,14.41,14.43,13.32,13.56,1454800,12.19
2011-04-25,13.50,14.66,13.46,14.32,1477400,12.26
2011-04-18,13.63,13.72,13.43,13.47,615500,11.53
2011-04-11,13.90,13.95,13.55,13.76,412700,11.78
2011-04-04,13.99,14.15,13.78,13.84,593800,11.85
2011-03-28,13.59,14.06,13.49,13.93,559900,11.92
2011-03-21,13.63,13.79,13.30,13.55,574800,11.60
2011-03-14,13.48,13.63,13.12,13.52,845000,11.57
2011-03-07,13.67,14.05,13.46,13.59,729900,11.63
2011-02-28,13.70,13.79,13.36,13.57,665400,11.46
2011-02-22,13.66,13.77,13.29,13.67,850300,11.55
2011-02-14,13.70,13.78,13.48,13.77,594200,11.63
2011-02-07,13.62,13.80,13.44,13.72,690200,11.59
2011-01-31,13.72,13.77,13.45,13.53,867900,11.43
2011-01-24,14.25,14.31,13.65,13.69,858200,11.57
2011-01-18,14.53,14.93,14.20,14.24,1050800,12.03
2011-01-10,13.95,14.57,13.78,14.57,713800,12.31
2011-01-03,14.45,14.66,13.99,14.00,769000,11.83
2010-12-27,14.24,14.47,14.22,14.30,455400,12.08
2010-12-20,13.96,14.55,13.92,14.25,872100,12.04
2010-12-13,13.80,14.09,13.57,13.86,1236400,11.71
2010-12-06,13.32,13.86,13.24,13.86,844900,11.56
2010-11-29,12.71,13.40,12.60,13.39,758200,11.17
2010-11-22,12.95,13.01,12.75,12.76,465000,10.64
2010-11-15,13.17,13.30,12.75,13.01,629000,10.85
2010-11-08,13.65,13.65,13.10,13.13,609600,10.95
2010-11-01,13.41,13.86,12.98,13.68,843700,11.41
2010-10-25,13.16,13.41,13.12,13.34,759800,11.12
2010-10-18,12.60,13.70,12.46,13.13,1169600,10.95
2010-10-11,12.87,13.03,12.60,12.61,630700,10.52
2010-10-04,12.88,13.08,12.72,12.83,551000,10.70
2010-09-27,12.73,13.24,12.60,12.84,861300,10.71
2010-09-20,13.12,13.35,12.33,12.70,1108000,10.59
2010-09-13,13.21,13.26,12.91,13.11,692500,10.93
2010-09-07,13.23,13.30,12.95,13.13,666700,10.80
2010-08-30,13.16,13.29,12.84,13.27,868400,10.91
2010-08-23,13.35,13.48,12.65,13.22,898600,10.87
2010-08-16,13.44,13.90,13.14,13.25,870900,10.90
2010-08-09,14.44,14.70,13.47,13.48,587700,11.09
2010-08-02,14.70,14.96,14.14,14.36,642300,11.81
