Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,27.49,27.94,27.49,27.91,42500,27.91
2012-05-14,27.71,27.93,27.43,27.66,41100,27.66
2012-05-07,27.74,28.40,26.53,27.82,29400,27.82
2012-04-30,27.77,27.95,27.61,27.79,22100,27.79
2012-04-23,27.71,27.90,27.44,27.90,43300,27.90
2012-04-16,27.79,28.14,27.65,27.70,42500,27.70
2012-04-09,27.71,27.99,27.54,27.86,19700,27.86
2012-04-02,27.69,27.96,27.42,27.85,36100,27.85
2012-03-26,27.63,28.00,27.47,27.52,42200,27.52
2012-03-19,27.25,27.74,27.13,27.46,49400,27.46
2012-03-12,27.83,27.83,27.04,27.19,29400,27.19
2012-03-05,28.03,28.10,27.74,27.74,39400,27.25
2012-02-27,28.26,28.39,27.76,28.00,72900,27.50
2012-02-21,28.04,28.39,27.82,28.28,80200,27.78
2012-02-13,28.09,28.19,27.91,27.97,49900,27.47
2012-02-06,28.24,28.24,27.65,28.02,50200,27.52
2012-01-30,27.88,28.30,27.79,28.11,24800,27.61
2012-01-23,28.04,28.06,27.73,27.88,25000,27.39
2012-01-17,27.63,28.04,27.17,27.96,23500,27.46
2012-01-09,27.47,27.75,27.25,27.44,68200,26.95
2012-01-03,27.72,27.85,27.09,27.63,13300,27.14
2011-12-27,27.40,27.50,27.03,27.48,12200,26.99
2011-12-19,27.02,28.02,26.76,27.58,20600,27.09
2011-12-12,27.56,27.70,26.70,27.18,14700,26.70
2011-12-05,27.80,27.90,27.27,27.71,9700,26.73
2011-11-28,27.98,28.04,27.07,27.51,21100,26.54
2011-11-21,27.30,27.96,27.27,27.94,15700,26.96
2011-11-14,27.39,27.47,27.05,27.30,19600,26.34
2011-11-07,27.42,27.46,26.50,27.41,22300,26.45
2011-10-31,27.18,27.48,26.76,27.40,22700,26.44
2011-10-24,27.40,27.73,26.86,27.18,46400,26.22
2011-10-17,26.59,27.27,26.52,27.27,17100,26.31
2011-10-10,26.27,26.84,26.07,26.52,17400,25.59
2011-10-03,26.90,26.90,25.93,26.24,22500,25.32
2011-09-26,26.50,27.04,26.26,26.80,31800,25.86
2011-09-19,27.18,27.29,26.33,26.57,19300,25.63
2011-09-12,27.71,27.75,26.94,27.30,17600,26.34
2011-09-06,26.66,27.98,26.66,27.63,26000,26.18
2011-08-29,27.25,27.82,27.12,27.57,11400,26.13
2011-08-22,26.80,27.25,26.56,27.20,84500,25.78
2011-08-15,26.61,27.35,25.90,26.90,23300,25.49
2011-08-08,25.11,27.07,24.73,26.75,55800,25.35
2011-08-01,26.75,27.52,25.75,26.30,29700,24.92
2011-07-25,27.70,27.88,22.15,26.68,41400,25.28
2011-07-18,27.83,27.96,27.19,27.80,105300,26.35
2011-07-11,27.99,28.00,27.61,27.77,20500,26.32
2011-07-05,27.64,27.95,27.60,27.95,9200,26.49
2011-06-27,27.26,27.68,27.16,27.49,14200,26.05
2011-06-20,27.28,27.82,27.20,27.37,18300,25.94
2011-06-13,27.53,27.58,27.04,27.28,13700,25.85
2011-06-06,28.25,28.43,27.82,27.91,25900,25.98
2011-05-31,27.62,28.57,27.35,28.16,41900,26.22
2011-05-23,27.40,27.66,27.22,27.49,24600,25.59
2011-05-16,27.20,27.43,27.20,27.34,69300,25.45
2011-05-09,27.17,27.40,27.07,27.24,19900,25.36
2011-05-02,27.18,27.32,27.00,27.16,19800,25.29
2011-04-25,26.94,27.20,26.80,27.04,34000,25.17
2011-04-18,26.72,26.94,26.54,26.87,32500,25.02
2011-04-11,26.87,26.96,26.61,26.81,29500,24.96
2011-04-04,26.91,27.07,26.62,26.81,35700,24.96
2011-03-28,27.11,27.38,26.62,26.85,41000,25.00
2011-03-21,26.99,27.10,26.91,27.02,18500,25.16
2011-03-14,27.06,27.35,26.53,27.02,35500,25.16
2011-03-07,27.49,27.52,26.87,27.12,26200,25.25
2011-02-28,27.22,27.71,27.22,27.44,34800,25.09
2011-02-22,27.11,27.59,27.11,27.31,27800,24.97
2011-02-14,26.99,27.39,26.85,27.24,28700,24.91
2011-02-07,26.76,26.96,26.71,26.94,46500,24.63
2011-01-31,26.85,26.98,26.77,26.77,22000,24.48
2011-01-24,27.01,27.06,26.64,26.89,41500,24.59
2011-01-18,26.78,27.11,26.78,26.90,117300,24.60
2011-01-10,26.54,26.98,26.53,26.79,26000,24.50
2011-01-03,26.80,26.94,26.47,26.55,23300,24.28
2010-12-27,26.49,26.79,26.25,26.67,23300,24.39
2010-12-20,26.10,26.44,25.83,26.44,23800,24.18
2010-12-13,26.74,27.03,25.91,26.24,34600,23.99
2010-12-06,26.72,27.22,26.70,27.12,34000,24.35
2010-11-29,26.70,26.99,26.65,26.81,18800,24.07
2010-11-22,26.87,26.99,26.40,26.77,32800,24.03
2010-11-15,27.19,27.31,26.49,26.82,33400,24.08
2010-11-08,26.86,27.49,26.72,27.07,35400,24.30
2010-11-01,26.95,27.24,26.73,26.88,21000,24.13
2010-10-25,26.95,27.08,26.49,26.88,23600,24.13
2010-10-18,26.61,27.14,26.32,26.83,20300,24.09
2010-10-11,27.24,27.33,26.45,26.45,30300,23.75
2010-10-04,27.00,27.40,26.37,27.15,39500,24.37
2010-09-27,26.40,27.00,26.12,26.81,106500,24.07
2010-09-20,27.02,27.41,26.28,26.40,157000,23.70
2010-09-13,27.27,27.44,26.55,27.03,75700,24.27
