Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.85,15.41,14.58,14.88,251800,14.88
2012-05-14,16.42,16.63,14.69,14.82,358000,14.82
2012-05-07,16.09,16.77,15.58,16.63,473200,16.63
2012-04-30,13.39,16.15,12.80,15.81,720200,15.81
2012-04-23,12.38,13.37,12.18,13.16,265600,13.16
2012-04-16,12.74,13.05,12.44,12.50,244700,12.50
2012-04-09,12.57,13.16,12.27,12.72,253000,12.72
2012-04-02,13.24,13.44,12.71,12.78,299200,12.78
2012-03-26,13.09,13.66,13.05,13.25,410000,13.25
2012-03-19,13.01,13.47,11.95,12.91,566800,12.91
2012-03-12,14.08,14.27,12.79,13.04,522300,13.04
2012-03-05,13.59,14.42,13.19,14.16,554400,14.16
2012-02-27,22.75,23.16,13.10,13.52,1857200,13.52
2012-02-21,23.76,23.95,22.27,22.70,162100,22.70
2012-02-13,23.58,24.60,23.13,23.71,222300,23.71
2012-02-06,23.71,23.77,21.80,23.28,270000,23.28
2012-01-30,22.45,24.53,22.43,23.79,163100,23.79
2012-01-23,19.87,22.73,19.75,22.64,113300,22.64
2012-01-17,20.47,20.75,19.25,19.85,158400,19.85
2012-01-09,21.50,21.84,19.78,20.33,129400,20.33
2012-01-03,22.67,23.17,21.27,21.49,93600,21.49
2011-12-27,22.23,22.89,22.02,22.09,65400,22.09
2011-12-19,21.54,22.69,21.34,22.24,107100,22.24
2011-12-12,21.75,23.05,20.48,21.46,106900,21.46
2011-12-05,21.77,22.67,20.30,22.10,193100,22.10
2011-11-28,20.75,21.46,19.93,21.01,179300,21.01
2011-11-21,20.26,20.51,19.67,20.01,107600,20.01
2011-11-14,19.84,20.94,19.20,20.67,95900,20.67
2011-11-07,20.79,20.86,19.39,19.87,112600,19.87
2011-10-31,20.43,22.08,19.54,20.90,136600,20.90
2011-10-24,19.07,20.57,16.66,20.27,144200,20.27
2011-10-17,19.70,19.95,17.83,19.02,118400,19.02
2011-10-10,17.67,19.90,17.65,19.90,89700,19.90
2011-10-03,16.54,18.51,15.61,17.29,152300,17.29
2011-09-26,17.22,18.42,16.36,16.76,204000,16.76
2011-09-19,18.91,19.42,16.11,17.13,175000,17.13
2011-09-12,18.20,19.97,18.13,19.22,173600,19.22
2011-09-06,19.09,20.34,18.22,18.47,162600,18.47
2011-08-29,19.16,22.14,18.99,19.74,268700,19.74
2011-08-22,18.66,19.35,17.94,18.86,235900,18.86
2011-08-15,22.46,23.18,18.02,18.19,306300,18.19
2011-08-08,24.67,24.97,21.31,22.33,271200,22.33
2011-08-01,28.90,29.06,25.00,25.32,163600,25.32
2011-07-25,29.90,30.24,27.46,28.57,168500,28.57
2011-07-18,30.95,32.14,30.09,30.25,108000,30.25
2011-07-11,32.00,32.47,30.84,31.03,140800,31.03
2011-07-05,31.26,33.70,30.79,32.44,172000,32.44
2011-06-27,29.43,31.51,29.31,31.23,149700,31.23
2011-06-20,26.76,29.96,26.47,29.44,216900,29.44
2011-06-13,26.98,28.20,26.23,26.90,219600,26.90
2011-06-06,27.04,27.59,26.03,26.95,130800,26.95
2011-05-31,26.90,28.21,26.35,27.06,192300,27.06
2011-05-23,26.20,26.99,25.24,26.55,176700,26.55
2011-05-16,26.78,27.35,24.85,26.74,122000,26.74
2011-05-09,27.32,28.61,26.87,26.92,88900,26.92
2011-05-02,29.97,30.19,26.37,27.37,149100,27.37
2011-04-25,24.96,30.70,24.62,29.63,297100,29.63
2011-04-18,25.38,25.62,24.74,25.07,87300,25.07
2011-04-11,25.45,25.87,24.51,25.80,76500,25.80
2011-04-04,26.56,26.96,25.14,25.52,73100,25.52
2011-03-28,24.22,26.61,24.00,26.45,76500,26.45
2011-03-21,23.53,24.38,23.42,24.16,74600,24.16
2011-03-14,23.78,24.06,22.51,23.28,113000,23.28
2011-03-07,24.98,25.92,24.04,24.07,132000,24.07
2011-02-28,24.80,25.41,23.21,24.88,118400,24.88
2011-02-22,24.06,24.82,23.63,24.60,132800,24.60
2011-02-14,26.45,27.00,23.42,24.40,186500,24.40
2011-02-07,27.25,28.25,25.35,26.48,136700,26.48
2011-01-31,26.70,27.67,25.84,27.22,69300,27.22
2011-01-24,26.87,27.35,25.22,26.58,75800,26.58
2011-01-18,28.14,28.39,26.80,26.91,108500,26.91
2011-01-10,26.03,28.35,25.57,28.33,71900,28.33
2011-01-03,27.87,28.46,25.25,26.20,186100,26.20
2010-12-27,26.79,28.09,26.67,27.66,81900,27.66
2010-12-20,26.46,27.77,26.46,26.94,86800,26.94
2010-12-13,27.72,27.75,26.74,26.97,154000,26.97
2010-12-06,25.83,27.84,25.75,27.67,133900,27.67
2010-11-29,25.07,26.08,23.81,26.00,101100,26.00
2010-11-22,25.85,27.30,24.94,25.22,181300,25.22
2010-11-15,24.23,25.89,24.23,25.81,150400,25.81
2010-11-08,24.35,25.11,22.83,24.71,138800,24.71
2010-11-01,21.97,24.95,21.69,24.54,231000,24.54
2010-10-25,18.96,22.59,18.29,22.15,283800,22.15
2010-10-18,18.39,18.91,17.68,18.86,128500,18.86
2010-10-11,18.38,18.74,17.91,18.37,73900,18.37
2010-10-04,18.54,18.93,18.19,18.44,99800,18.44
2010-09-27,17.60,18.74,17.18,18.65,117200,18.65
2010-09-20,17.45,17.92,16.73,17.65,111400,17.65
2010-09-13,16.43,17.68,16.22,17.38,114500,17.38
2010-09-07,15.95,16.59,15.78,16.23,71400,16.23
2010-08-30,14.73,16.46,14.45,16.06,115100,16.06
2010-08-23,14.15,14.84,13.21,14.81,84700,14.81
2010-08-16,13.77,14.82,13.67,14.03,83900,14.03
2010-08-09,15.46,15.46,13.65,13.88,112100,13.88
2010-08-02,16.61,16.86,14.94,15.32,113800,15.32
2010-07-26,15.20,17.18,15.09,16.29,139200,16.29
2010-07-19,14.65,15.17,13.97,15.11,125000,15.11
2010-07-12,15.13,16.10,14.53,14.56,52900,14.56
2010-07-06,15.36,15.87,14.80,15.22,59100,15.22
2010-06-28,16.14,16.18,14.65,15.05,148800,15.05
2010-06-21,16.21,16.25,15.29,16.11,82800,16.11
2010-06-14,15.33,16.25,15.25,15.97,75500,15.97
2010-06-07,15.29,15.37,14.26,15.26,56200,15.26
2010-06-01,15.56,16.52,15.13,15.26,100300,15.26
2010-05-24,14.57,15.75,14.36,15.66,91300,15.66
2010-05-17,16.30,17.06,14.39,14.62,99000,14.62
2010-05-10,15.38,16.89,15.25,16.16,124000,16.16
2010-05-03,17.10,17.48,14.69,14.94,208100,14.94
2010-04-26,18.41,18.65,17.04,17.05,96200,17.05
2010-04-19,17.50,18.92,17.40,18.39,170400,18.39
2010-04-12,17.93,18.48,17.19,17.57,128300,17.57
2010-04-05,17.10,18.00,16.82,17.93,93000,17.93
2010-03-29,16.69,17.65,16.36,17.03,108800,17.03
2010-03-22,16.25,17.55,16.25,16.59,105600,16.59
2010-03-15,16.69,16.93,15.96,16.53,155100,16.53
2010-03-08,14.75,17.03,14.71,16.79,269200,16.79
2010-03-01,14.27,14.90,14.18,14.78,233200,14.78
2010-02-22,14.66,15.11,13.95,14.23,215700,14.23
2010-02-16,15.09,15.13,14.47,14.57,164600,14.57
2010-02-08,14.42,15.55,14.25,15.00,204700,15.00
2010-02-01,16.17,16.55,13.83,14.42,361500,14.42
2010-01-25,17.17,17.17,15.76,16.12,175200,16.12
2010-01-19,18.67,18.97,17.01,17.06,144100,17.06
2010-01-11,18.27,18.87,18.11,18.58,73200,18.58
2010-01-04,18.09,19.17,17.93,18.22,122000,18.22
2009-12-28,18.50,18.81,17.82,18.00,84400,18.00
2009-12-21,17.40,18.58,17.12,18.58,74400,18.58
2009-12-14,18.06,18.12,16.04,17.37,237100,17.37
2009-12-07,17.74,18.43,17.17,17.89,188200,17.89
2009-11-30,16.31,17.94,15.86,17.84,135900,17.84
2009-11-23,17.51,18.02,16.26,16.36,65400,16.36
2009-11-16,17.79,18.85,17.26,17.31,92600,17.31
2009-11-09,18.69,18.81,17.55,17.78,90700,17.78
2009-11-02,18.16,19.46,17.51,18.55,211200,18.55
2009-10-26,19.15,19.57,17.55,18.10,118800,18.10
