Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,34.86,37.47,34.81,36.65,622900,36.65
2012-05-14,37.51,38.48,34.57,35.15,424400,35.15
2012-05-07,37.55,38.99,35.65,37.64,252800,37.64
2012-04-30,38.91,39.47,36.72,37.70,463800,37.70
2012-04-23,37.44,43.42,37.10,39.00,789200,39.00
2012-04-16,37.38,38.76,37.00,37.83,210000,37.83
2012-04-09,37.00,38.31,35.88,37.32,261500,37.32
2012-04-02,38.60,40.53,37.28,37.46,406500,37.46
2012-03-26,39.87,40.50,38.26,38.65,244500,38.65
2012-03-19,39.98,40.69,38.90,39.64,151900,39.64
2012-03-12,38.26,40.39,37.33,40.07,489900,40.07
2012-03-05,40.08,40.22,37.11,38.32,317000,38.32
2012-02-27,41.00,41.36,40.01,40.24,275400,40.24
2012-02-21,39.44,41.40,39.22,41.10,388000,41.10
2012-02-13,39.41,40.66,38.85,39.40,382900,39.40
2012-02-06,39.30,41.92,38.50,39.23,465100,39.23
2012-01-30,34.62,40.99,34.33,39.83,1019700,39.83
2012-01-23,30.50,35.21,29.66,34.79,1024700,34.79
2012-01-17,30.19,30.96,28.03,30.01,958800,30.01
2012-01-09,31.26,31.33,29.07,29.72,739400,29.72
2012-01-03,31.35,32.37,30.30,31.35,418200,31.35
2011-12-27,31.50,32.05,30.40,30.60,530400,30.60
2011-12-19,32.50,32.82,29.32,31.60,621600,31.60
2011-12-12,33.61,34.53,31.33,32.74,407900,32.74
2011-12-05,33.23,34.41,32.56,33.88,430200,33.88
2011-11-28,31.82,33.72,30.82,32.91,510700,32.91
2011-11-21,33.01,33.16,30.87,31.00,459500,31.00
2011-11-14,33.79,34.98,33.27,33.50,393500,33.50
2011-11-07,35.99,36.13,32.64,33.94,441900,33.94
2011-10-31,36.99,37.12,33.55,35.92,727300,35.92
2011-10-24,30.23,36.00,29.84,35.25,1291700,35.25
2011-10-17,28.67,30.53,27.30,30.07,689700,30.07
2011-10-10,29.50,32.05,28.30,28.71,1085600,28.71
2011-10-03,26.81,30.37,23.89,29.15,1050300,29.15
2011-09-26,26.49,28.14,25.85,27.03,607300,27.03
2011-09-19,26.72,27.49,25.54,26.12,587700,26.12
2011-09-12,27.91,28.90,26.81,27.01,606500,27.01
2011-09-06,26.31,28.88,26.25,28.25,726900,28.25
2011-08-29,28.55,29.72,26.65,26.82,846700,26.82
2011-08-22,26.32,28.50,25.78,28.11,673400,28.11
2011-08-15,28.40,28.65,25.70,26.00,960500,26.00
2011-08-08,27.21,28.99,26.25,28.16,1617100,28.16
2011-08-01,27.90,30.08,26.59,28.06,2493700,28.06
2011-07-25,45.31,45.43,26.26,26.70,3248500,26.70
2011-07-18,45.18,46.31,44.37,45.47,436300,45.47
2011-07-11,48.15,48.35,45.07,45.32,324300,45.32
2011-07-05,48.57,49.97,48.11,48.65,489200,48.65
2011-06-27,46.72,48.88,46.16,48.77,395900,48.77
2011-06-20,46.57,47.27,46.17,46.84,422400,46.84
2011-06-13,45.72,47.81,45.42,46.83,642000,46.83
2011-06-06,48.09,48.43,45.18,45.48,497700,45.48
2011-05-31,49.14,49.43,47.92,48.19,473000,48.19
2011-05-23,48.10,49.32,47.23,48.71,333800,48.71
2011-05-16,52.25,52.59,48.45,49.35,488500,49.35
2011-05-09,53.51,54.27,52.04,52.50,222300,52.50
2011-05-02,54.80,56.25,53.35,53.64,348200,53.64
2011-04-25,54.43,55.50,51.75,54.40,816000,54.40
2011-04-18,53.81,54.51,51.68,54.39,328100,54.39
2011-04-11,52.48,54.24,51.08,54.12,282700,54.12
2011-04-04,50.79,54.61,50.57,52.48,287900,52.48
2011-03-28,48.29,52.51,47.83,50.67,392400,50.67
2011-03-21,49.25,49.83,47.65,48.15,353000,48.15
2011-03-14,49.81,50.62,47.89,48.69,323100,48.69
2011-03-07,49.36,50.59,48.44,50.12,317900,50.12
2011-02-28,51.60,52.02,47.38,49.25,417000,49.25
2011-02-22,51.84,52.02,48.77,51.55,469200,51.55
2011-02-14,53.42,54.56,52.15,52.55,251600,52.55
2011-02-07,53.01,53.96,52.48,53.70,319200,53.70
2011-01-31,50.06,53.92,49.68,53.37,883700,53.37
2011-01-24,44.88,51.01,44.76,49.45,834700,49.45
2011-01-18,46.65,47.20,44.53,45.04,457500,45.04
2011-01-10,47.10,48.79,46.37,46.65,280600,46.65
2011-01-03,46.14,47.58,45.59,47.13,286700,47.13
2010-12-27,45.20,46.80,44.50,46.00,287200,46.00
2010-12-20,44.60,45.61,43.75,45.23,339200,45.23
2010-12-13,44.65,44.99,41.93,44.50,635900,44.50
2010-12-06,43.16,45.65,42.82,44.48,521600,44.48
2010-11-29,41.27,43.20,40.08,43.20,353500,43.20
2010-11-22,40.07,41.86,39.77,41.50,357600,41.50
2010-11-15,41.42,42.13,39.22,40.28,629300,40.28
2010-11-08,38.50,42.36,38.35,40.99,506000,40.99
2010-11-01,42.25,42.25,38.60,38.70,648200,38.70
