Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,42.06,42.77,41.58,42.27,232500,42.27
2012-05-14,45.63,45.91,41.05,42.19,354300,42.19
2012-05-07,46.37,46.95,44.67,46.23,212200,46.23
2012-04-30,47.86,48.66,46.17,46.67,190300,46.67
2012-04-23,45.53,48.69,44.78,48.08,216200,48.08
2012-04-16,46.68,48.43,46.28,46.33,171500,46.33
2012-04-09,47.03,48.88,46.20,47.41,247700,47.41
2012-04-02,47.80,48.74,47.08,48.04,205400,48.04
2012-03-26,45.27,48.35,45.18,48.21,264600,48.21
2012-03-19,46.27,47.90,45.39,47.39,172800,47.39
2012-03-12,45.30,46.36,44.63,46.30,228600,46.30
2012-03-05,45.38,45.98,43.50,45.16,267000,45.16
2012-02-27,45.57,46.78,44.62,45.63,213800,45.63
2012-02-21,46.09,46.93,43.99,46.14,188900,46.14
2012-02-13,45.69,46.14,45.00,45.98,170500,45.98
2012-02-06,49.28,49.58,43.98,45.22,472000,45.22
2012-01-30,46.83,49.80,46.14,49.67,260400,49.67
2012-01-23,47.67,48.00,46.31,47.15,183300,47.15
2012-01-17,47.82,48.23,46.60,47.76,148800,47.76
2012-01-09,45.08,48.07,44.59,47.50,207200,47.50
2012-01-03,47.14,47.82,44.44,44.99,377100,44.99
2011-12-27,47.56,47.70,46.10,46.12,187700,46.12
2011-12-19,47.28,48.18,45.71,47.95,220400,47.95
2011-12-12,47.00,49.16,45.76,47.07,255700,47.07
2011-12-05,48.22,48.28,45.45,47.85,184000,47.85
2011-11-28,44.36,48.58,44.07,47.48,345600,47.48
2011-11-21,44.43,44.94,42.17,42.83,232300,42.83
2011-11-14,45.78,47.90,44.73,45.47,289700,45.47
2011-11-07,43.80,46.00,42.24,45.95,300200,45.95
2011-10-31,42.76,44.28,40.47,43.91,153800,43.91
2011-10-24,40.58,44.73,39.71,43.64,209100,43.64
2011-10-17,37.90,40.54,36.62,40.49,299700,40.49
2011-10-10,35.34,38.34,35.34,38.26,174600,38.26
2011-10-03,33.11,36.08,31.57,34.60,193600,34.60
2011-09-26,34.18,37.57,33.28,33.31,176900,33.31
2011-09-19,35.43,35.98,32.63,33.97,180400,33.97
2011-09-12,33.24,36.88,33.06,36.04,184700,36.04
2011-09-06,32.81,35.83,32.37,33.67,233300,33.67
2011-08-29,34.19,36.55,33.33,33.82,239800,33.82
2011-08-22,32.41,34.12,31.18,33.90,241000,33.90
2011-08-15,34.49,35.40,31.54,31.54,481500,31.54
2011-08-08,36.31,36.46,31.85,34.26,580600,34.26
2011-08-01,45.53,45.69,37.19,37.67,432100,37.67
2011-07-25,45.31,46.17,43.53,44.93,215900,44.93
2011-07-18,42.00,46.08,40.50,45.73,463800,45.73
2011-07-11,43.50,43.94,41.74,42.26,129600,42.26
2011-07-05,43.52,44.58,43.50,43.95,131300,43.95
2011-06-27,41.78,44.00,41.41,43.52,146300,43.52
2011-06-20,40.39,42.89,40.30,41.80,198600,41.80
2011-06-13,39.75,41.02,39.72,40.58,157900,40.58
2011-06-06,42.21,42.40,39.69,39.88,200100,39.88
2011-05-31,44.21,44.31,42.01,42.21,215700,42.21
2011-05-23,42.15,44.47,41.40,43.90,222300,43.90
2011-05-16,41.21,44.20,40.59,43.35,331300,43.35
2011-05-09,40.12,42.82,39.90,41.10,150600,41.10
2011-05-02,39.97,40.50,39.00,40.30,279800,40.30
2011-04-25,38.66,40.42,38.55,39.92,176600,39.92
2011-04-18,37.46,38.79,37.12,38.69,170900,38.69
2011-04-11,39.36,39.46,37.54,37.91,150700,37.91
2011-04-04,39.40,39.89,38.81,39.36,164000,39.36
2011-03-28,39.53,40.00,39.03,39.15,190900,39.15
2011-03-21,38.58,40.10,38.23,39.46,168100,39.46
2011-03-14,39.54,40.03,37.50,38.32,378800,38.32
2011-03-07,40.84,41.00,38.99,40.06,231600,40.06
2011-02-28,41.55,42.05,40.11,41.00,228900,41.00
