Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,21.15,21.40,20.75,20.76,8100,20.76
2012-05-14,22.74,23.15,21.01,21.06,10100,21.06
2012-05-07,24.00,24.23,22.85,22.99,11400,22.99
2012-04-30,22.34,24.68,22.00,24.01,13500,24.01
2012-04-23,24.25,24.54,21.80,22.36,8700,22.29
2012-04-16,21.38,24.62,21.38,24.32,9100,24.24
2012-04-09,23.00,23.04,21.22,21.22,9600,21.15
2012-04-02,24.71,24.93,23.13,23.13,7900,23.06
2012-03-26,24.36,25.27,24.09,24.81,12400,24.73
2012-03-19,24.48,25.01,23.51,24.15,6800,24.07
2012-03-12,23.24,25.00,23.00,24.34,9000,24.26
2012-03-05,22.85,23.68,22.80,23.31,7400,23.24
2012-02-27,25.76,26.08,22.63,22.85,12900,22.78
2012-02-21,26.66,26.90,25.65,25.79,4400,25.71
2012-02-13,26.70,27.20,25.12,26.54,9400,26.46
2012-02-06,26.49,27.15,26.49,26.57,4100,26.49
2012-01-30,26.12,27.07,25.71,26.74,13300,26.59
2012-01-23,24.42,25.99,23.81,25.76,7300,25.61
2012-01-17,24.15,25.16,23.97,24.41,8400,24.27
2012-01-09,24.49,24.98,23.51,23.83,8100,23.69
2012-01-03,24.64,25.36,23.86,24.26,34600,24.12
2011-12-27,23.15,24.40,23.15,24.28,17800,24.14
2011-12-19,23.15,23.84,22.32,23.20,15700,23.07
2011-12-12,25.02,25.18,22.04,22.92,14700,22.79
2011-12-05,25.79,25.79,24.07,25.32,15500,25.18
2011-11-28,24.57,26.09,24.23,25.50,13100,25.35
2011-11-21,24.59,25.24,23.65,23.75,6900,23.61
2011-11-14,25.01,25.87,23.86,25.02,22300,24.88
2011-11-07,25.94,26.14,24.22,25.21,10000,25.07
2011-10-31,26.01,26.43,23.93,25.83,27500,25.68
2011-10-24,29.51,30.74,25.51,25.88,24100,25.66
2011-10-17,30.04,30.94,28.25,29.88,37300,29.63
2011-10-10,28.33,30.67,27.46,30.33,26600,30.08
2011-10-03,27.00,28.76,25.10,27.64,28800,27.41
2011-09-26,24.69,26.31,24.65,25.88,21100,25.66
2011-09-19,24.93,25.80,23.71,24.54,14500,24.33
2011-09-12,22.98,25.87,22.38,25.55,19000,25.34
2011-09-06,23.60,24.60,22.95,23.19,29200,23.00
2011-08-29,23.56,25.77,23.06,23.90,36200,23.70
2011-08-22,23.47,24.00,22.75,23.54,20200,23.34
2011-08-15,22.00,25.00,21.08,22.92,35100,22.73
2011-08-08,23.62,24.91,21.00,21.73,37500,21.55
2011-08-01,21.18,27.58,21.18,23.86,32600,23.66
2011-07-25,22.06,22.39,20.99,21.05,12500,20.87
2011-07-18,23.00,23.00,21.31,22.44,19400,22.18
2011-07-11,23.75,24.51,23.00,23.05,13100,22.79
2011-07-05,24.29,24.70,23.74,23.92,20000,23.65
2011-06-27,25.60,26.20,24.15,24.29,41000,24.01
2011-06-20,26.26,27.69,25.40,25.47,48600,25.18
2011-06-13,25.19,26.53,25.12,26.32,15100,26.02
2011-06-06,25.91,27.10,25.19,25.19,22800,24.90
2011-05-31,25.31,27.00,25.23,25.79,17100,25.49
2011-05-23,26.01,26.40,24.12,25.04,15200,24.75
2011-05-16,27.20,27.40,26.00,26.30,18100,26.00
2011-05-09,27.05,27.61,27.00,27.06,11400,26.75
2011-05-02,28.11,29.09,26.75,27.02,19100,26.71
2011-04-25,30.90,31.17,28.12,28.19,22800,27.81
2011-04-18,29.74,31.25,29.65,30.92,14000,30.50
2011-04-11,29.13,30.69,28.66,29.84,17700,29.43
2011-04-04,30.86,31.05,28.32,28.98,10500,28.59
2011-03-28,28.91,30.99,28.07,30.95,10700,30.53
2011-03-21,29.52,30.30,28.54,28.71,13900,28.32
2011-03-14,28.29,29.60,27.59,29.31,22200,28.91
2011-03-07,28.70,29.20,27.50,28.49,13300,28.10
2011-02-28,27.75,28.98,26.65,28.61,16400,28.22
2011-02-22,31.67,31.81,26.71,27.75,22400,27.37
2011-02-14,30.97,32.00,30.97,31.94,7300,31.51
2011-02-07,30.65,31.84,30.58,31.51,14700,31.08
2011-01-31,30.25,31.30,29.88,30.61,11100,30.19
2011-01-24,30.01,31.06,29.79,29.93,13200,29.46
2011-01-18,30.50,31.66,29.90,29.90,23900,29.43
2011-01-10,32.63,32.63,31.50,31.56,21400,31.07
2011-01-03,33.23,33.71,31.76,32.77,10900,32.26
2010-12-27,33.59,34.17,33.00,33.02,10200,32.51
2010-12-20,33.78,34.30,33.74,33.83,7600,33.30
2010-12-13,33.55,34.49,32.54,33.73,31400,33.20
2010-12-06,32.61,33.74,32.15,33.49,8400,32.97
2010-11-29,30.00,33.03,29.81,32.83,22600,32.32
2010-11-22,31.29,31.38,29.56,29.98,16800,29.51
2010-11-15,32.31,32.68,30.85,31.52,11100,31.03
2010-11-08,33.61,33.61,32.10,32.20,21400,31.70
2010-11-01,35.41,36.10,33.81,33.89,14300,33.36
2010-10-25,38.41,38.56,34.47,35.25,9800,34.64
2010-10-18,39.25,39.93,37.23,38.31,9800,37.65
2010-10-11,37.18,39.06,36.35,38.95,10900,38.28
2010-10-04,33.34,37.22,32.40,37.18,12100,36.54
2010-09-27,33.42,35.68,32.96,35.46,9200,34.85
2010-09-20,32.37,33.71,31.11,33.25,15500,32.68
2010-09-13,29.43,32.75,29.23,32.38,12000,31.82
2010-09-07,28.61,29.60,28.33,29.12,9200,28.62
2010-08-30,28.37,28.95,27.76,28.68,26500,28.19
2010-08-23,27.42,27.70,26.28,27.46,20800,26.99
2010-08-16,29.17,30.16,27.11,27.11,27600,26.64
2010-08-09,33.48,34.24,28.60,28.76,24400,28.26
2010-08-02,35.98,37.01,32.10,33.09,15400,32.52
2010-07-26,36.00,38.10,34.72,35.51,14600,34.90
2010-07-19,31.21,35.90,30.50,35.73,17000,35.05
2010-07-12,33.35,34.80,31.20,31.20,9300,30.61
2010-07-06,31.64,33.64,30.01,33.44,20800,32.81
2010-06-28,36.50,36.50,30.54,31.02,24200,30.43
2010-06-21,35.81,37.94,34.01,37.43,30200,36.72
2010-06-14,35.58,37.20,34.98,36.05,18800,35.37
2010-06-07,37.17,37.49,34.27,35.56,19500,34.89
2010-06-01,37.30,39.29,36.20,37.10,22500,36.40
2010-05-24,36.79,38.83,35.87,38.31,12800,37.59
2010-05-17,39.32,39.86,35.80,36.64,31800,35.95
2010-05-10,39.46,41.35,38.70,39.02,24000,38.28
2010-05-03,39.56,41.92,37.65,38.50,31600,37.77
2010-04-26,39.56,41.40,39.25,40.19,29000,39.38
2010-04-19,38.91,40.07,38.50,39.63,27000,38.83
2010-04-12,38.56,39.10,37.05,39.01,25000,38.23
2010-04-05,41.47,41.87,38.17,38.33,23800,37.56
2010-03-29,44.13,44.34,41.00,41.58,24100,40.74
2010-03-22,45.48,47.46,44.34,44.34,29600,43.45
2010-03-15,45.28,45.79,44.53,45.60,28200,44.68
2010-03-08,45.92,46.20,44.80,45.30,23000,44.39
2010-03-01,42.54,46.48,42.53,45.94,47800,45.02
2010-02-22,49.99,52.69,42.53,42.53,48400,41.67
2010-02-16,47.01,49.39,47.00,49.38,18600,48.39
2010-02-08,46.47,47.67,45.34,47.06,16100,46.11
2010-02-01,50.72,50.75,46.02,47.10,29700,46.15
2010-01-25,52.56,53.64,47.42,50.54,36300,49.47
2010-01-19,51.00,54.00,50.99,51.83,55400,50.74
2010-01-11,48.52,51.38,47.09,50.99,32100,49.91
2010-01-04,45.53,48.50,45.53,48.43,22700,47.41
2009-12-28,45.76,46.06,44.86,45.08,17900,44.13
2009-12-21,43.41,45.96,43.41,45.39,20100,44.43
2009-12-14,41.54,44.20,41.38,43.54,36000,42.62
2009-12-07,44.69,44.85,41.01,41.52,37100,40.64
