Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.53,15.75,15.53,15.75,300,15.75
2012-05-14,16.21,16.21,15.73,15.75,2200,15.75
2012-05-07,15.75,16.20,15.75,16.18,800,16.18
2012-04-30,15.82,15.99,15.75,15.98,1900,15.98
2012-04-23,15.66,15.95,15.66,15.75,300,15.75
2012-04-16,15.73,15.95,15.21,15.74,600,15.74
2012-04-09,15.50,15.99,15.47,15.95,5000,15.95
2012-04-02,15.50,15.75,15.50,15.75,1600,15.75
2012-03-26,15.26,15.70,15.20,15.50,1200,15.50
2012-03-19,15.40,15.50,15.25,15.26,400,15.26
2012-03-12,15.30,15.30,15.25,15.26,4500,15.26
2012-03-05,15.23,15.30,15.13,15.30,1800,15.30
2012-02-27,15.30,15.33,15.05,15.25,5100,15.25
2012-02-21,15.40,15.40,15.20,15.30,3600,15.30
2012-02-13,14.99,15.48,14.99,15.48,9200,15.48
2012-02-06,14.69,16.29,14.61,15.00,3000,15.00
2012-01-30,14.60,15.05,14.11,14.65,6400,14.65
2012-01-23,14.25,14.75,14.11,14.55,7200,14.55
2012-01-17,14.20,14.25,14.09,14.25,1500,14.25
2012-01-09,13.98,14.17,13.94,14.04,200,14.04
2012-01-03,14.16,14.25,13.88,14.00,1400,14.00
2011-12-27,14.05,14.17,13.94,14.10,8300,14.10
2011-12-19,14.15,14.18,13.75,14.05,3100,14.05
2011-12-12,14.45,14.45,13.92,14.15,5600,14.15
2011-12-05,14.25,14.45,14.25,14.45,300,14.45
2011-11-28,14.24,14.25,14.24,14.25,100,14.25
2011-11-21,14.40,14.40,14.40,14.40,000,14.40
2011-11-14,14.30,14.50,13.94,14.40,400,14.40
2011-11-07,14.50,14.67,14.30,14.30,100,14.30
2011-10-31,13.85,14.73,13.85,14.73,100,14.73
2011-10-24,13.90,14.23,13.85,13.85,800,13.85
2011-10-17,13.85,14.01,13.85,13.90,700,13.90
2011-10-10,14.05,14.05,13.78,13.85,1200,13.85
2011-10-03,14.00,14.00,13.76,13.76,400,13.76
2011-09-26,13.98,14.00,13.90,14.00,1000,14.00
2011-09-19,13.90,13.98,13.75,13.98,2000,13.98
2011-09-12,14.03,14.10,13.85,14.09,5000,14.09
2011-09-06,14.00,14.10,13.85,13.85,7200,13.85
2011-08-29,13.77,14.10,13.75,14.00,300,14.00
2011-08-22,14.25,14.25,14.00,14.10,100,14.10
2011-08-15,14.04,14.04,13.47,14.00,4400,14.00
2011-08-08,14.00,14.04,13.42,14.04,12000,14.04
2011-08-01,14.55,14.65,12.11,14.25,13200,14.25
2011-07-25,14.83,14.83,14.55,14.55,700,14.55
2011-07-18,14.86,14.90,14.55,14.55,400,14.55
2011-07-11,14.66,14.86,14.50,14.86,500,14.86
2011-07-05,14.80,14.80,14.66,14.75,2000,14.75
2011-06-27,14.65,14.80,14.60,14.80,500,14.80
2011-06-20,14.80,14.85,14.51,14.60,1100,14.60
2011-06-13,14.75,14.80,14.51,14.80,6400,14.80
2011-06-06,14.90,15.18,14.60,14.75,5500,14.75
2011-05-31,14.90,15.00,14.75,14.85,3000,14.85
2011-05-23,14.75,14.98,14.50,14.93,2700,14.93
2011-05-16,15.00,15.05,14.74,14.74,2200,14.74
2011-05-09,14.50,14.99,14.46,14.90,100,14.90
2011-05-02,14.72,14.73,14.42,14.50,2700,14.50
2011-04-25,14.45,14.74,14.45,14.50,600,14.50
2011-04-18,14.40,14.48,14.40,14.45,1000,14.45
2011-04-11,14.36,14.49,14.36,14.40,4200,14.40
2011-04-04,14.26,14.48,14.25,14.35,3300,14.35
2011-03-28,14.20,14.49,14.00,14.35,4900,14.35
2011-03-21,13.59,14.11,13.49,14.11,5000,14.11
2011-03-14,13.55,13.66,13.40,13.51,4500,13.51
2011-03-07,13.60,13.65,13.47,13.55,4500,13.55
2011-02-28,13.63,13.70,13.50,13.60,1500,13.60
2011-02-22,13.59,13.59,13.40,13.56,4000,13.56
2011-02-14,13.58,13.70,13.45,13.50,9300,13.50
2011-02-07,13.00,13.55,13.00,13.52,26000,13.52
2011-01-31,12.23,13.10,12.23,13.00,28300,13.00
2011-01-24,12.45,12.45,11.95,12.14,18600,12.14
2011-01-20,11.00,12.68,11.00,12.31,188200,12.31
