Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,27.28,28.44,27.05,27.79,984100,27.79
2012-05-14,30.37,30.37,27.21,27.28,1187400,27.28
2012-05-07,31.34,31.68,30.14,30.88,1013700,30.88
2012-04-30,33.00,33.15,31.06,31.53,864000,31.53
2012-04-23,29.99,32.25,29.62,32.10,863300,32.10
2012-04-16,30.59,31.37,30.06,30.69,807400,30.69
2012-04-09,31.31,31.62,30.08,30.19,1011800,30.19
2012-04-02,32.41,33.53,31.75,31.89,1143200,31.89
2012-03-26,33.01,33.58,31.90,32.41,755900,32.16
2012-03-19,32.55,33.00,31.54,32.49,896900,32.24
2012-03-12,31.95,32.97,31.47,32.62,920200,32.37
2012-03-05,31.62,32.06,29.71,31.87,1129400,31.62
2012-02-27,31.21,32.25,30.85,31.64,922500,31.40
2012-02-21,31.57,32.09,30.99,31.52,922400,31.28
2012-02-13,30.42,31.71,30.16,31.46,1001700,31.22
2012-02-06,29.53,30.74,29.26,29.93,1122700,29.70
2012-01-30,29.48,29.81,26.58,29.61,2223300,29.38
2012-01-23,28.61,30.02,28.40,29.98,1177000,29.75
2012-01-17,26.10,28.74,25.69,28.50,1448800,28.28
2012-01-09,26.39,26.93,25.48,25.74,1259900,25.54
2012-01-03,25.46,26.43,24.40,26.24,1703400,26.04
2011-12-27,25.82,26.20,24.47,24.77,578300,24.58
2011-12-19,24.60,25.83,23.41,25.82,835000,25.36
2011-12-12,25.92,26.09,23.97,24.42,1571300,23.99
2011-12-05,27.75,28.29,25.63,26.43,785000,25.96
2011-11-28,24.95,27.65,24.27,27.14,1023000,26.66
2011-11-21,25.95,26.01,23.86,23.94,586000,23.51
2011-11-14,28.10,28.29,26.17,26.45,877200,25.98
2011-11-07,29.68,29.78,27.09,28.30,1064500,27.80
2011-10-31,28.27,29.78,25.90,29.64,1677600,29.11
2011-10-24,26.46,29.55,24.91,29.08,1752000,28.56
2011-10-17,25.23,26.32,24.10,26.32,1162400,25.85
2011-10-10,24.93,25.73,23.90,25.46,1349700,25.01
2011-10-03,24.76,25.54,22.85,24.26,1874700,23.83
2011-09-26,26.30,28.66,24.78,25.01,1338800,24.57
2011-09-19,30.37,31.17,25.72,25.92,1200500,25.26
2011-09-12,28.03,31.80,27.88,31.22,783300,30.43
2011-09-06,27.78,30.48,27.78,28.62,764800,27.89
2011-08-29,30.13,32.26,28.79,29.15,784600,28.41
2011-08-22,27.88,30.46,26.81,29.68,923600,28.93
2011-08-15,31.48,32.33,27.07,27.13,1250500,26.44
2011-08-08,31.16,31.86,28.30,31.06,1581000,30.27
2011-08-01,37.40,37.80,31.29,31.71,1756900,30.91
2011-07-25,37.65,38.73,35.63,36.70,799100,35.77
2011-07-18,37.25,38.42,36.52,38.15,730600,37.18
2011-07-11,38.79,38.96,36.79,37.46,1065300,36.51
2011-07-05,37.32,40.04,36.94,39.51,1335200,38.51
2011-06-27,34.97,37.47,34.77,37.33,960400,36.19
2011-06-20,36.07,36.76,34.45,34.93,1217800,33.86
2011-06-13,35.55,36.89,35.17,36.19,855600,35.08
2011-06-06,36.09,36.16,34.70,35.99,1274600,34.89
2011-05-31,38.79,39.02,35.98,36.16,1035600,35.06
2011-05-23,37.62,38.37,36.95,38.31,658900,37.14
2011-05-16,38.57,39.06,37.47,38.31,676300,37.14
2011-05-09,39.43,40.50,38.70,38.89,681800,37.70
2011-05-02,41.26,41.55,38.75,39.37,859800,38.17
2011-04-25,40.78,41.15,38.40,41.01,987500,39.76
2011-04-18,39.22,41.17,38.49,40.90,828400,39.65
2011-04-11,41.57,42.08,39.31,40.09,760900,38.87
2011-04-04,41.28,42.49,40.13,41.55,854000,40.28
2011-03-28,39.66,41.66,39.06,41.28,544100,40.02
2011-03-21,38.58,39.75,37.70,39.53,792000,38.13
2011-03-14,39.24,39.66,36.85,37.92,792300,36.58
2011-03-07,41.19,41.53,38.92,39.68,530300,38.28
2011-02-28,41.37,41.70,39.03,41.11,775100,39.66
2011-02-22,41.43,41.99,39.20,41.18,1079900,39.73
2011-02-14,40.23,42.20,39.85,42.06,852400,40.58
2011-02-07,37.14,40.34,36.61,40.08,882900,38.67
2011-01-31,36.68,37.89,36.02,37.12,859600,35.81
2011-01-24,36.59,37.16,35.62,36.26,954400,34.98
2011-01-18,37.13,37.48,35.38,35.89,986900,34.62
2011-01-10,35.05,37.31,34.80,37.25,820800,35.94
2011-01-03,35.63,36.58,34.54,35.25,798400,34.01
2010-12-27,35.70,36.47,35.01,35.29,426900,34.04
2010-12-20,34.50,36.28,34.11,35.78,507200,34.32
2010-12-13,34.72,34.76,33.65,34.41,637700,33.01
2010-12-06,32.77,34.82,32.68,34.54,898600,33.14
2010-11-29,31.20,33.08,30.43,32.92,717100,31.58
2010-11-22,31.03,31.93,30.41,31.45,559400,30.17
2010-11-15,31.21,31.51,29.99,31.27,553900,30.00
2010-11-08,32.28,32.38,30.48,30.94,884100,29.68
2010-11-01,29.23,32.88,29.00,32.31,1219900,31.00
2010-10-25,27.86,29.54,27.04,29.07,1151100,27.89
2010-10-18,27.89,28.24,27.30,27.53,723700,26.41
2010-10-11,28.27,28.57,27.52,27.92,1140600,26.78
2010-10-04,27.31,28.49,26.89,28.32,665400,27.17
2010-09-27,27.57,28.55,27.21,27.55,870700,26.43
2010-09-20,27.21,27.96,26.30,27.56,667100,26.26
2010-09-13,26.36,27.64,26.32,27.05,829600,25.77
2010-09-07,25.92,26.18,25.23,25.95,885000,24.73
2010-08-30,23.15,26.20,22.62,26.14,983400,24.91
2010-08-23,22.99,23.27,21.76,23.27,1067600,22.17
2010-08-16,22.97,23.91,22.60,22.89,668200,21.81
2010-08-09,24.64,25.64,22.98,23.16,801800,22.07
2010-08-02,24.14,24.99,23.68,24.52,1045400,23.36
2010-07-26,24.49,25.22,23.46,23.83,928500,22.71
2010-07-19,22.94,24.60,22.37,24.40,1027500,23.25
2010-07-12,24.25,25.27,22.86,22.87,1113000,21.79
2010-07-06,22.34,24.47,21.86,24.43,1677100,23.28
2010-06-28,23.95,24.19,21.52,21.83,1035900,20.62
2010-06-21,24.90,25.31,23.57,24.00,968700,22.67
2010-06-14,25.50,25.68,24.34,24.63,1207100,23.27
2010-06-07,25.13,25.55,23.65,25.22,1226800,23.83
2010-06-01,26.67,26.77,24.81,25.22,2224000,23.83
2010-05-24,29.18,29.36,26.81,26.81,1528100,25.33
2010-05-17,32.22,32.72,28.54,29.36,1498500,27.74
2010-05-10,34.43,34.79,31.32,32.25,1621100,30.47
2010-05-03,37.36,37.78,32.02,32.27,1038400,30.49
2010-04-26,38.64,39.24,35.49,37.12,1255000,35.07
2010-04-19,37.82,38.92,36.80,38.81,424400,36.66
2010-04-12,37.66,38.82,37.13,37.90,489400,35.81
2010-04-05,37.16,37.72,36.61,37.71,676900,35.63
2010-03-29,36.11,37.47,35.51,36.89,580500,34.85
2010-03-22,35.12,36.80,34.59,36.02,923200,33.85
