Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,38.29,38.81,38.01,38.56,232500,38.56
2012-05-14,39.03,39.06,38.06,38.15,300500,38.15
2012-05-07,38.82,39.68,38.52,39.35,315000,39.35
2012-04-30,39.56,40.69,38.73,38.84,427400,38.84
2012-04-23,38.96,39.78,38.65,39.62,307800,39.62
2012-04-16,38.89,39.80,38.56,39.31,267400,39.31
2012-04-09,39.57,39.82,38.69,38.71,333400,38.71
2012-04-02,40.60,41.30,39.60,40.07,446100,40.07
2012-03-26,40.63,41.03,40.11,40.70,235000,40.30
2012-03-19,40.46,40.78,39.85,40.33,190900,39.93
2012-03-12,41.27,41.80,40.38,40.43,279100,40.03
2012-03-05,40.02,41.32,39.95,41.16,512200,40.76
2012-02-27,41.46,41.89,40.01,40.25,489500,39.85
2012-02-21,41.96,42.21,41.43,41.70,220500,41.29
2012-02-13,41.91,42.37,40.90,41.94,289300,41.53
2012-02-06,42.59,43.15,41.46,41.56,295000,41.15
2012-01-30,42.72,43.80,42.51,43.35,303200,42.92
2012-01-23,43.19,43.62,42.51,43.07,208300,42.65
2012-01-17,43.71,44.09,42.91,43.27,213200,42.84
2012-01-09,43.34,44.13,42.70,43.43,287700,43.00
2012-01-03,44.89,44.97,43.23,43.32,209400,42.89
2011-12-27,43.69,44.99,43.69,44.22,175700,43.40
2011-12-19,42.80,44.00,41.77,43.96,227300,43.15
2011-12-12,42.18,43.04,41.44,42.57,427200,41.78
2011-12-05,42.74,43.18,41.43,42.55,424000,41.76
2011-11-28,41.45,43.55,40.69,42.26,393900,41.48
2011-11-21,41.41,42.92,40.11,40.30,493500,39.55
2011-11-14,43.12,43.27,41.63,42.02,317000,41.24
2011-11-07,42.91,43.58,41.80,43.31,244000,42.51
2011-10-31,43.00,43.68,40.99,42.94,272100,42.14
2011-10-24,41.76,43.88,41.24,43.45,304200,42.64
2011-10-17,41.21,42.00,40.24,41.68,307500,40.91
2011-10-10,39.99,41.33,39.84,41.15,244300,40.39
2011-10-03,38.95,40.32,36.84,39.37,447300,38.64
2011-09-26,38.42,40.18,38.00,39.07,441800,37.96
2011-09-19,40.67,41.99,37.61,38.19,420600,37.11
2011-09-12,39.72,41.43,39.31,41.07,363400,39.91
2011-09-06,39.65,41.58,39.50,40.14,705900,39.00
2011-08-29,40.28,41.89,40.16,40.57,480000,39.42
2011-08-22,38.10,40.35,37.22,39.96,368800,38.83
2011-08-15,38.09,39.14,36.84,37.25,360700,36.19
2011-08-08,36.92,38.75,34.71,37.81,692500,36.74
2011-08-01,39.15,39.36,36.97,37.53,377600,36.47
2011-07-25,39.89,40.44,38.50,38.81,241200,37.71
2011-07-18,39.55,40.30,38.82,40.17,204100,39.03
2011-07-11,39.00,40.41,38.92,39.97,395400,38.46
2011-07-05,38.92,39.51,38.49,39.29,312700,37.81
2011-06-27,37.62,38.92,37.57,38.88,324000,37.04
2011-06-20,37.49,38.06,37.00,37.65,232600,35.87
2011-06-13,37.43,38.00,37.04,37.61,295100,35.83
2011-06-06,37.53,38.04,37.33,37.43,479800,35.66
2011-05-31,39.35,39.43,37.06,37.61,437000,35.83
2011-05-23,39.04,39.38,38.41,39.01,334700,37.16
2011-05-16,38.79,39.74,38.60,39.52,178300,37.65
2011-05-09,38.26,39.68,38.12,38.98,187400,37.13
2011-05-02,39.74,39.74,37.10,38.19,196400,36.38
2011-04-25,37.97,39.58,37.74,39.52,128600,37.65
2011-04-18,37.54,38.12,36.93,37.99,168100,36.19
2011-04-11,38.44,38.55,37.03,37.88,148500,36.09
2011-04-04,39.16,39.68,38.25,38.48,208600,36.66
2011-03-28,38.25,39.44,37.91,39.25,147500,37.02
2011-03-21,37.95,38.69,37.84,38.13,188200,35.97
2011-03-14,37.54,38.08,36.89,37.75,286800,35.61
2011-03-07,38.85,38.85,37.51,37.86,304900,35.71
2011-02-28,37.97,38.77,37.49,38.65,255500,36.46
2011-02-22,37.61,38.12,36.92,37.84,231700,35.69
2011-02-14,37.63,37.98,37.48,37.97,164900,35.82
2011-02-07,37.67,38.17,37.25,37.66,240500,35.52
2011-01-31,36.24,37.50,35.93,37.36,285200,35.24
2011-01-24,36.36,37.12,36.04,36.05,165000,34.00
2011-01-18,36.81,37.39,36.33,36.36,234900,34.30
2011-01-10,35.88,36.90,35.64,36.87,179900,34.78
2011-01-03,36.08,36.52,35.68,36.06,238800,34.01
2010-12-27,36.06,36.61,35.76,35.77,158600,33.39
2010-12-20,36.00,36.29,35.76,36.06,184400,33.66
2010-12-13,35.94,36.40,35.67,35.87,301500,33.48
2010-12-06,35.97,37.32,34.69,35.87,862200,33.48
2010-11-29,37.35,37.38,35.07,35.98,781500,33.58
2010-11-22,37.04,38.04,36.88,37.55,329100,35.05
2010-11-15,39.41,39.84,36.88,37.12,463000,34.65
2010-11-08,39.50,39.66,38.86,39.31,164200,36.69
2010-11-01,38.80,40.00,37.88,39.64,208200,37.00
2010-10-25,38.72,39.10,37.82,38.55,214000,35.98
2010-10-18,38.45,39.00,38.04,38.59,204200,36.02
2010-10-11,38.21,38.59,37.67,38.43,267100,35.87
2010-10-04,38.00,38.87,37.76,38.12,333400,35.58
2010-09-27,37.36,38.25,37.04,38.11,305700,35.23
2010-09-20,36.10,37.37,35.86,37.37,289500,34.54
2010-09-13,36.66,36.87,35.75,36.08,285700,33.35
2010-09-07,36.71,36.73,35.83,36.32,276600,33.57
2010-08-30,35.99,36.75,34.88,36.73,331400,33.95
2010-08-23,35.49,36.11,34.85,36.02,326500,33.29
2010-08-16,35.40,36.73,34.86,35.41,255500,32.73
2010-08-09,36.62,36.80,35.25,35.60,279800,32.91
2010-08-02,36.65,37.22,35.95,36.45,281100,33.69
2010-07-26,36.23,37.28,35.93,36.08,252700,33.35
2010-07-19,34.86,36.30,34.74,36.25,248400,33.51
2010-07-12,35.00,35.97,34.83,34.85,236200,32.21
2010-07-06,34.06,35.20,33.82,35.12,320200,32.46
2010-06-28,34.14,34.73,33.32,33.66,442000,30.77
2010-06-21,35.44,35.58,33.76,34.15,438400,31.22
2010-06-14,34.16,35.30,34.00,35.24,269500,32.21
2010-06-07,33.19,33.90,32.75,33.84,313500,30.93
2010-06-01,33.77,34.38,33.01,33.06,394000,30.22
2010-05-24,33.94,34.70,33.00,33.85,416100,30.94
2010-05-17,36.14,36.49,33.63,34.02,402200,31.10
2010-05-10,35.57,36.39,34.89,36.04,394000,32.94
2010-05-03,35.91,36.57,33.36,34.44,508600,31.48
2010-04-26,36.00,36.12,35.28,35.74,202800,32.67
2010-04-19,34.93,36.00,34.72,36.00,154300,32.91
2010-04-12,35.23,35.29,34.63,34.93,186000,31.93
2010-04-05,34.85,35.67,34.33,35.19,230800,32.17
2010-03-29,34.66,35.02,34.55,34.86,223300,31.53
2010-03-22,34.34,34.54,34.10,34.50,192500,31.20
2010-03-15,33.75,34.50,33.56,34.44,178800,31.15
2010-03-08,33.55,33.74,33.12,33.67,182300,30.45
2010-03-01,33.02,33.68,32.88,33.68,303000,30.46
2010-02-22,33.25,33.34,32.49,32.85,186400,29.71
2010-02-16,31.84,33.25,31.82,33.14,230900,29.97
2010-02-08,31.73,31.82,31.00,31.75,215600,28.71
2010-02-01,31.87,32.94,31.23,31.63,295100,28.61
2010-01-25,32.24,32.53,31.63,31.73,266200,28.70
2010-01-19,32.58,32.99,31.86,32.13,330200,29.06
2010-01-11,32.65,32.95,32.13,32.48,179900,29.37
2010-01-04,33.78,34.07,32.17,32.48,246900,29.37
