Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,70.09,72.27,69.80,71.00,2623500,71.00
2012-05-14,72.27,72.81,69.70,69.91,2605500,69.91
2012-05-07,73.42,75.03,71.23,72.73,2478400,72.73
2012-04-30,76.95,77.73,73.61,73.65,2575300,73.65
2012-04-23,69.10,76.47,66.99,76.16,4899500,76.16
2012-04-16,67.62,69.95,66.34,69.36,1525300,69.36
2012-04-09,66.91,67.69,65.70,67.26,1724400,67.26
2012-04-02,66.83,67.61,66.37,67.56,1248800,67.56
2012-03-26,65.50,67.40,65.08,67.06,1834200,67.06
2012-03-19,58.37,67.50,57.45,65.23,4689700,65.23
2012-03-12,59.68,60.29,58.68,58.81,1066400,58.81
2012-03-05,59.63,60.00,57.89,59.61,1099700,59.61
2012-02-27,57.49,59.98,57.16,59.68,1507600,59.68
2012-02-21,60.06,60.44,58.05,58.17,1299300,58.17
2012-02-13,58.53,61.65,57.32,60.18,2034400,60.18
2012-02-06,57.89,58.55,57.35,57.99,1505800,57.99
2012-01-30,59.05,60.21,57.78,58.01,1926300,58.01
2012-01-23,57.76,61.31,55.00,59.74,5157800,59.74
2012-01-17,62.79,63.06,56.45,58.14,5885900,58.14
2012-01-09,63.35,64.76,61.55,62.21,1223300,62.21
2012-01-03,61.16,64.62,60.05,63.21,1709800,63.21
2011-12-27,62.00,62.02,59.93,60.34,660500,60.34
2011-12-19,60.28,62.34,59.50,62.08,1047600,62.08
2011-12-12,61.62,62.54,59.73,60.12,1242700,60.12
2011-12-05,63.34,63.81,60.93,61.52,1302300,61.52
2011-11-28,64.99,69.82,61.88,62.86,2825500,62.86
2011-11-21,64.93,65.77,62.98,63.42,871100,63.42
2011-11-14,65.47,66.60,63.79,65.79,1184900,65.79
2011-11-07,64.90,66.59,63.87,65.73,1263200,65.73
2011-10-31,68.49,68.49,64.34,64.72,1517700,64.72
2011-10-24,69.16,72.06,68.22,69.35,1366700,69.35
