Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.99,4.10,3.76,3.90,10000,3.90
2012-05-14,3.49,4.56,3.38,3.97,23700,3.97
2012-05-07,3.18,3.49,3.02,3.47,11600,3.47
2012-04-30,3.01,3.18,3.01,3.01,3400,3.01
2012-04-23,3.01,3.20,3.01,3.01,1800,3.01
2012-04-16,3.02,3.19,3.01,3.03,7200,3.03
2012-04-09,3.16,3.27,2.99,3.01,11900,3.01
2012-04-02,3.15,3.32,3.04,3.19,26600,3.19
2012-03-26,3.05,3.18,3.02,3.15,5300,3.15
2012-03-19,2.63,3.12,2.55,3.10,14400,3.10
2012-03-12,2.45,2.67,2.40,2.64,7900,2.64
2012-03-05,2.54,2.54,2.33,2.41,5600,2.41
2012-02-27,2.28,2.67,2.14,2.32,19900,2.32
2012-02-21,2.19,2.40,2.17,2.34,9200,2.34
2012-02-13,2.24,2.40,2.11,2.19,6100,2.19
2012-02-06,2.49,2.49,2.00,2.20,10400,2.20
2012-01-30,2.19,2.55,2.00,2.26,7500,2.26
2012-01-23,1.86,2.17,1.78,2.16,16800,2.16
2012-01-17,1.76,1.86,1.75,1.84,81400,1.84
2012-01-09,1.86,1.97,1.72,1.80,24200,1.80
2012-01-03,1.92,1.95,1.85,1.85,1800,1.85
2011-12-27,1.95,2.00,1.80,1.89,26700,1.89
2011-12-19,1.86,2.10,1.75,1.99,22100,1.99
2011-12-12,2.34,2.34,1.82,1.82,17900,1.82
2011-12-05,2.23,2.50,2.00,2.38,17700,2.38
2011-11-28,2.36,2.41,2.16,2.20,4500,2.20
2011-11-21,2.21,2.40,2.20,2.32,4600,2.32
2011-11-14,2.48,2.48,2.34,2.37,3700,2.37
2011-11-07,2.50,2.69,2.45,2.53,4200,2.53
2011-10-31,2.57,2.69,2.46,2.50,3400,2.50
2011-10-24,2.60,2.63,2.57,2.63,2200,2.63
2011-10-17,2.56,2.72,2.48,2.62,6500,2.62
2011-10-10,2.50,2.74,2.46,2.52,9200,2.52
2011-10-03,2.56,2.70,2.46,2.63,1300,2.63
2011-09-26,2.55,2.65,2.55,2.60,3800,2.60
2011-09-19,2.60,2.65,2.50,2.63,2200,2.63
2011-09-12,2.60,2.75,2.56,2.64,4800,2.64
2011-09-06,2.65,2.73,2.55,2.60,4600,2.60
2011-08-29,2.70,2.75,2.60,2.60,2900,2.60
2011-08-22,2.60,2.80,2.60,2.61,8900,2.61
2011-08-15,2.60,2.76,2.48,2.62,8200,2.62
2011-08-08,2.62,2.78,2.48,2.61,10300,2.61
2011-08-01,2.72,2.78,2.50,2.63,8100,2.63
2011-07-25,2.51,2.77,2.50,2.52,8400,2.52
2011-07-18,2.64,2.97,2.50,2.54,11300,2.54
2011-07-11,2.51,2.71,2.51,2.55,10100,2.55
2011-07-05,2.68,2.97,2.55,2.64,15800,2.64
2011-06-27,2.57,2.95,2.20,2.70,29500,2.70
2011-06-20,2.34,2.71,2.31,2.53,235200,2.53
2011-06-13,2.49,2.54,2.19,2.34,28300,2.34
2011-06-06,2.59,2.72,2.25,2.32,24400,2.32
2011-05-31,2.80,2.80,2.55,2.58,19400,2.58
2011-05-23,2.80,2.86,2.75,2.77,8000,2.77
2011-05-16,3.03,3.09,2.77,2.81,19400,2.81
2011-05-09,2.92,3.18,2.92,3.03,5900,3.03
2011-05-02,3.17,3.20,2.85,2.94,15000,2.94
2011-04-25,3.11,3.25,3.11,3.20,9200,3.20
2011-04-18,3.10,3.15,3.04,3.11,7500,3.11
2011-04-11,3.05,3.17,3.05,3.14,12500,3.14
2011-04-04,3.05,3.15,2.86,2.97,9900,2.97
2011-03-28,2.75,3.13,2.66,2.99,10300,2.99
2011-03-21,2.79,3.01,2.66,2.73,6100,2.73
2011-03-14,2.78,3.19,2.60,2.74,14600,2.74
2011-03-07,3.04,3.50,2.80,2.83,7800,2.83
2011-02-28,2.93,3.53,2.80,3.01,10100,3.01
2011-02-22,2.69,2.88,2.63,2.82,13300,2.82
2011-02-14,2.43,2.91,2.39,2.72,7200,2.72
2011-02-07,2.63,2.68,2.37,2.44,9200,2.44
2011-01-31,2.68,2.96,2.60,2.62,12400,2.62
2011-01-24,2.95,2.95,2.63,2.64,11700,2.64
2011-01-18,2.87,2.97,2.61,2.64,10800,2.64
2011-01-10,2.86,3.00,2.80,2.88,11200,2.88
2011-01-03,3.27,3.46,2.90,2.90,14500,2.90
2010-12-27,3.37,3.59,3.20,3.25,11000,3.25
2010-12-20,3.67,3.67,3.39,3.39,14000,3.39
2010-12-13,3.76,3.80,3.55,3.69,15900,3.69
2010-12-06,3.69,3.77,3.50,3.77,12600,3.77
2010-11-29,3.61,3.90,3.61,3.71,14900,3.71
2010-11-22,3.70,3.71,3.51,3.71,6300,3.71
2010-11-15,3.73,3.80,3.70,3.72,6600,3.72
2010-11-08,3.98,3.99,3.75,3.75,6500,3.75
2010-11-01,3.75,4.00,3.71,4.00,6200,4.00
2010-10-25,3.91,3.91,3.73,3.74,5700,3.74
2010-10-18,3.97,4.05,3.75,3.82,9100,3.82
2010-10-11,3.97,4.07,3.86,3.98,9100,3.98
2010-10-04,4.03,4.03,3.76,3.92,9300,3.92
2010-09-27,3.92,4.04,3.80,3.98,11800,3.98
2010-09-20,3.77,4.09,3.70,3.92,25900,3.92
2010-09-13,4.00,4.02,3.70,3.75,16700,3.75
2010-09-07,3.90,4.10,3.62,3.92,26700,3.92
2010-08-30,3.82,3.99,3.58,3.92,16700,3.92
2010-08-23,3.86,4.02,3.51,3.86,54400,3.86
2010-08-16,3.54,4.41,3.39,3.93,23800,3.93
2010-08-09,4.24,4.24,3.54,3.56,23800,3.56
2010-08-02,4.08,4.43,4.05,4.19,66500,4.19
2010-07-26,4.33,4.39,3.87,3.99,14700,3.99
2010-07-19,3.89,4.52,3.60,4.25,27200,4.25
2010-07-12,3.68,4.34,3.46,3.86,38400,3.86
2010-07-06,3.40,3.75,3.00,3.69,36900,3.69
2010-06-28,3.80,3.84,3.29,3.33,11400,3.33
2010-06-21,3.67,3.80,3.41,3.80,22500,3.80
