Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.76,3.84,3.68,3.79,8100,3.79
2012-05-14,3.80,3.85,3.66,3.79,18800,3.79
2012-05-07,3.81,3.97,3.75,3.81,16100,3.81
2012-04-30,3.81,3.92,3.80,3.83,5200,3.83
2012-04-23,3.87,4.00,3.80,3.84,7000,3.84
2012-04-16,3.82,3.98,3.71,3.87,17000,3.87
2012-04-09,3.79,3.95,3.65,3.86,22500,3.86
2012-04-02,3.92,4.10,3.63,3.79,55400,3.79
2012-03-26,3.27,3.45,3.10,3.40,8600,3.40
2012-03-19,3.05,3.45,3.05,3.30,11900,3.30
2012-03-12,3.36,3.36,3.00,3.00,10600,3.00
2012-03-05,3.70,3.75,3.19,3.41,19200,3.41
2012-02-27,3.70,3.86,3.70,3.70,6800,3.70
2012-02-21,3.01,3.88,3.00,3.72,71600,3.72
2012-02-13,2.92,3.21,2.85,3.00,22700,3.00
2012-02-06,3.00,3.09,2.85,2.88,22200,2.88
2012-01-30,2.87,3.01,2.70,2.97,16200,2.97
2012-01-23,2.97,3.00,2.81,2.99,7200,2.99
2012-01-17,2.97,3.23,2.75,2.92,8800,2.92
2012-01-09,2.56,3.09,2.55,2.97,15300,2.97
2012-01-03,2.61,2.61,2.56,2.60,24500,2.60
2011-12-27,2.63,2.70,2.55,2.58,25000,2.58
2011-12-19,2.61,2.62,2.53,2.62,25500,2.62
2011-12-12,2.75,2.80,2.56,2.61,9300,2.61
2011-12-05,3.09,3.11,2.72,2.80,14300,2.80
2011-11-28,3.43,3.43,2.90,3.09,11500,3.09
2011-11-21,3.01,3.42,3.00,3.42,7000,3.42
2011-11-14,3.07,3.13,3.00,3.10,7900,3.10
2011-11-07,2.99,3.21,2.99,3.12,6600,3.12
2011-10-31,3.10,3.16,3.00,3.04,6600,3.04
2011-10-24,3.19,3.19,3.00,3.10,6400,3.10
2011-10-17,3.12,3.15,2.99,3.04,4700,3.04
2011-10-10,3.12,3.14,2.76,3.09,6100,3.09
2011-10-03,3.05,3.17,3.00,3.12,6500,3.12
2011-09-26,3.17,3.42,3.15,3.17,6200,3.17
2011-09-19,3.34,3.47,3.15,3.17,10100,3.17
2011-09-12,3.28,3.50,3.20,3.50,5900,3.50
2011-09-06,3.82,3.83,3.31,3.37,10000,3.37
2011-08-29,3.40,3.82,3.37,3.82,9500,3.82
2011-08-22,3.52,3.96,3.12,3.38,13600,3.38
2011-08-15,3.99,3.99,3.25,3.50,21100,3.50
2011-08-08,4.44,4.55,3.75,4.04,21700,4.04
2011-08-01,4.68,4.68,4.15,4.50,14500,4.50
2011-07-25,4.33,4.70,4.33,4.68,13900,4.68
2011-07-18,4.82,4.95,4.00,4.48,48600,4.48
2011-07-11,4.72,4.95,4.64,4.77,13800,4.77
2011-07-05,4.70,4.75,4.64,4.67,13500,4.67
2011-06-27,4.68,4.70,4.50,4.69,14400,4.69
2011-06-20,4.48,4.65,4.40,4.51,13000,4.51
2011-06-13,4.57,4.61,4.48,4.50,43600,4.50
2011-06-06,4.49,4.62,4.48,4.57,30600,4.57
2011-05-31,4.57,4.57,4.50,4.50,12500,4.50
2011-05-23,4.60,4.70,4.52,4.57,18900,4.57
2011-05-16,5.02,5.18,4.58,4.60,47000,4.60
2011-05-09,4.79,5.02,4.67,5.02,28000,5.02
2011-05-02,5.06,5.06,4.70,4.78,24800,4.78
2011-04-25,5.25,5.30,4.87,4.98,57800,4.98
2011-04-18,4.66,5.28,4.62,5.22,50100,5.22
2011-04-11,4.41,4.75,4.37,4.70,33200,4.70
2011-04-04,4.61,4.78,4.33,4.45,42600,4.45
2011-03-28,4.53,4.65,4.46,4.63,25800,4.63
2011-03-21,4.72,4.81,4.40,4.49,40000,4.49
2011-03-14,4.86,4.91,4.65,4.71,18900,4.71
2011-03-07,5.02,5.10,4.82,4.82,26100,4.82
2011-02-28,5.21,5.22,5.00,5.00,27400,5.00
2011-02-22,4.76,5.25,4.68,5.22,82400,5.22
2011-02-14,5.71,5.71,4.76,4.83,74200,4.83
2011-02-07,5.72,5.82,5.58,5.75,28800,5.75
2011-01-31,5.79,5.84,5.58,5.72,17800,5.72
2011-01-24,5.93,5.95,5.60,5.84,25600,5.84
2011-01-18,6.05,6.05,5.87,5.95,35400,5.95
2011-01-10,5.58,6.10,5.58,6.05,73400,6.05
2011-01-03,5.50,5.94,5.28,5.58,59100,5.58
2010-12-27,5.65,5.66,5.15,5.50,30500,5.50
2010-12-20,5.60,5.65,5.56,5.65,50400,5.65
2010-12-13,5.52,5.80,5.49,5.62,51100,5.62
2010-12-06,5.39,5.93,5.38,5.60,59300,5.60
2010-11-29,5.68,5.85,5.39,5.40,91400,5.40
2010-11-22,5.00,5.90,5.00,5.77,121600,5.77
2010-11-15,4.99,5.00,4.45,4.91,135600,4.91
2010-11-08,6.19,6.19,4.90,4.92,152700,4.92
2010-11-01,5.83,6.19,5.73,6.19,67200,6.19
2010-10-25,5.98,6.20,5.67,5.83,37700,5.83
2010-10-18,6.00,6.32,5.51,5.73,31800,5.73
2010-10-11,5.50,6.10,5.50,5.99,50300,5.99
2010-10-04,5.63,5.70,5.21,5.42,55000,5.42
2010-09-27,4.89,5.58,4.41,5.58,78300,5.58
2010-09-20,4.91,5.05,4.74,4.90,40200,4.90
2010-09-13,5.29,5.30,4.80,4.85,79800,4.85
2010-09-07,5.09,5.44,4.58,5.15,165800,5.15
2010-08-30,5.20,5.50,4.88,5.00,13800,5.00
2010-08-23,5.79,5.88,5.02,5.13,22500,5.13
2010-08-16,5.78,6.09,5.70,5.76,20500,5.76
2010-08-09,6.42,6.57,5.80,5.83,22900,5.83
2010-08-02,6.15,6.57,6.08,6.25,37300,6.25
2010-07-26,5.67,6.50,5.67,6.08,38200,6.08
2010-07-19,4.80,5.69,4.70,5.67,19300,5.67
2010-07-12,4.87,5.00,4.71,4.78,16200,4.78
2010-07-06,4.73,4.87,4.40,4.75,30300,4.75
2010-06-28,5.40,5.90,4.40,4.78,20300,4.78
2010-06-21,5.77,5.99,5.25,5.25,7000,5.25
2010-06-14,5.63,5.72,5.51,5.52,12500,5.52
2010-06-07,5.95,6.06,5.39,5.49,25300,5.49
2010-06-01,6.05,6.19,5.92,5.99,7400,5.99
2010-05-24,6.11,6.36,6.00,6.05,10900,6.05
2010-05-17,6.65,6.65,5.90,6.05,37300,6.05
2010-05-10,5.76,6.62,5.76,6.50,50800,6.50
2010-05-03,6.29,6.30,5.53,5.62,62700,5.62
2010-04-26,6.01,6.70,5.36,6.24,147700,6.24
2010-04-19,6.10,6.30,5.78,6.12,57700,6.12
2010-04-12,6.98,7.18,6.52,6.63,22900,6.63
2010-04-05,7.14,7.28,6.92,6.98,27400,6.98
2010-03-29,7.25,7.47,6.97,6.97,38000,6.97
2010-03-22,6.49,7.27,6.09,7.21,31300,7.21
2010-03-15,7.22,9.00,6.25,6.46,31900,6.46
2010-03-08,7.29,7.29,6.62,6.96,34700,6.96
2010-03-01,6.42,7.47,6.41,7.02,78300,7.02
2010-02-22,6.94,6.95,5.52,5.96,21600,5.96
2010-02-16,7.13,7.13,6.56,6.95,19100,6.95
2010-02-08,5.75,8.00,5.64,7.08,62600,7.08
2010-02-01,6.20,6.51,5.75,5.87,4100,5.87
2010-01-25,7.12,7.16,6.20,6.20,9300,6.20
2010-01-19,6.85,7.20,6.80,7.05,7200,7.05
2010-01-11,7.65,7.68,6.80,7.20,14000,7.20
2010-01-04,7.40,7.60,6.89,7.60,35500,7.60
2009-12-28,6.25,7.60,4.51,7.38,46400,7.38
2009-12-21,6.17,6.35,6.00,6.25,7100,6.25
2009-12-14,6.60,6.60,6.16,6.17,26200,6.17
2009-12-07,5.57,6.75,5.55,6.54,43400,6.54
2009-11-30,5.05,5.65,5.00,5.65,31000,5.65
2009-11-23,5.05,5.16,4.95,5.05,23000,5.05
2009-11-16,5.10,5.15,4.50,5.00,5700,5.00
2009-11-09,5.15,5.15,4.71,5.00,25400,5.00
2009-11-02,5.12,5.27,5.01,5.17,4300,5.17
2009-10-26,6.48,6.50,4.86,5.00,25000,5.00
2009-10-19,6.11,7.03,6.09,6.40,13000,6.40
2009-10-12,5.65,6.24,5.64,6.08,18300,6.08
2009-10-05,2.10,5.77,1.90,5.62,39300,5.62
2009-09-28,2.00,2.15,2.00,2.10,500,4.20
2009-09-21,2.15,2.15,2.00,2.05,1700,4.10
2009-09-14,2.15,2.15,1.95,2.15,1300,4.30
2009-09-08,2.20,2.20,1.26,2.15,7300,4.30
2009-08-31,2.16,2.30,2.09,2.20,1400,4.40
2009-08-24,2.38,2.45,2.16,2.34,500,4.68
2009-08-17,2.13,2.50,2.13,2.39,3600,4.78
2009-08-10,2.25,2.50,2.00,2.25,3600,4.50
2009-08-03,1.50,2.25,1.25,2.25,3600,4.50
2009-07-27,1.20,1.50,1.20,1.50,10300,3.00
2009-07-20,1.25,1.35,1.25,1.35,900,2.70
2009-07-13,1.22,1.35,1.20,1.30,10000,2.60
2009-07-06,1.27,1.27,1.22,1.22,100,2.44
2009-06-29,1.30,1.30,1.20,1.27,1000,2.54
2009-06-22,1.15,1.39,1.15,1.30,5700,2.60
2009-06-15,1.15,1.39,1.15,1.39,1100,2.78
2009-06-08,0.90,1.15,0.90,1.15,200,2.30
