Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.05,11.05,11.02,11.02,100,11.02
2012-05-14,11.02,11.05,11.00,11.05,100,11.05
2012-05-07,10.68,11.20,10.68,11.00,400,11.00
2012-04-30,10.96,10.96,10.74,10.76,1000,10.76
2012-04-23,10.99,11.10,10.95,10.96,400,10.96
2012-04-16,10.95,11.05,10.95,11.05,200,11.05
2012-04-09,11.04,11.20,10.95,10.95,400,10.95
2012-04-02,10.95,11.04,10.95,11.04,200,11.04
2012-03-26,11.10,11.18,10.95,10.95,300,10.95
2012-03-19,11.00,11.10,10.91,11.10,4100,11.10
2012-03-12,10.87,11.00,10.87,11.00,500,11.00
2012-03-05,10.80,10.87,10.80,10.87,600,10.87
2012-02-27,11.16,11.17,10.60,10.60,400,10.60
2012-02-21,10.98,10.98,10.98,10.98,000,10.98
2012-02-13,10.76,10.99,10.42,10.98,1500,10.98
2012-02-06,10.71,10.85,10.71,10.85,800,10.85
2012-01-30,10.75,10.75,10.70,10.72,700,10.72
2012-01-23,11.02,11.03,10.70,10.75,3400,10.75
2012-01-17,10.80,11.07,10.65,10.65,700,10.65
2012-01-09,10.60,10.84,10.56,10.84,42200,10.84
2012-01-03,11.00,11.00,10.66,10.66,1000,10.66
2011-12-27,11.20,11.20,10.71,10.71,300,10.71
2011-12-19,11.00,11.18,11.00,11.18,700,10.79
2011-12-12,11.20,11.20,10.98,11.00,200,10.62
2011-12-05,11.23,11.23,11.00,11.01,700,10.63
2011-11-28,10.65,11.24,10.65,11.23,800,10.84
2011-11-21,10.60,10.82,10.55,10.65,1500,10.28
2011-11-14,10.65,10.66,10.54,10.54,1000,10.17
2011-11-07,10.88,10.88,10.75,10.77,400,10.40
2011-10-31,11.00,11.00,10.87,10.88,500,10.50
2011-10-24,10.56,11.00,10.54,10.95,900,10.57
2011-10-17,10.80,11.00,10.52,10.52,200,10.16
2011-10-10,10.70,10.85,10.58,10.80,900,10.43
2011-10-03,10.43,11.00,10.42,10.50,1200,10.14
2011-09-26,10.40,10.46,10.01,10.43,4000,10.07
2011-09-19,10.97,11.00,10.40,10.40,1200,10.04
2011-09-12,10.90,10.90,10.84,10.84,000,10.46
2011-09-06,11.00,11.00,10.70,10.90,300,10.52
2011-08-29,11.04,11.04,10.99,11.00,300,10.62
2011-08-22,10.74,11.25,10.74,11.04,600,10.66
2011-08-15,11.25,11.25,10.58,10.74,200,10.37
2011-08-08,10.50,11.80,10.45,10.52,1000,10.16
2011-08-01,10.70,11.00,10.45,10.60,5600,10.23
2011-07-25,10.99,11.11,10.92,10.92,900,10.54
2011-07-18,10.67,10.99,10.65,10.99,2800,10.61
2011-07-11,10.74,10.74,10.47,10.67,1400,10.30
2011-07-05,10.44,10.75,10.44,10.74,1000,10.37
2011-06-27,10.80,10.80,10.38,10.70,300,10.33
2011-06-20,10.60,11.00,10.60,10.95,200,10.19
2011-06-13,10.87,10.87,10.52,10.60,400,9.87
2011-06-06,10.87,10.87,10.86,10.87,200,10.12
2011-05-31,10.80,10.99,10.58,10.87,700,10.12
2011-05-23,11.01,11.30,10.80,10.80,1900,10.05
2011-05-16,10.95,11.34,10.90,11.01,2200,10.25
2011-05-09,10.75,11.50,10.68,10.81,4400,10.06
2011-05-02,10.71,10.72,10.50,10.51,600,9.78
2011-04-25,10.55,10.64,10.55,10.63,100,9.89
2011-04-18,10.52,10.55,10.52,10.55,000,9.82
2011-04-11,10.46,10.52,10.42,10.52,200,9.79
2011-04-04,10.59,10.60,10.46,10.46,000,9.73
2011-03-28,10.60,10.60,10.55,10.55,300,9.82
2011-03-21,10.45,10.47,10.45,10.45,300,9.73
2011-03-14,10.45,10.50,10.41,10.45,800,9.73
2011-03-07,10.55,10.60,10.41,10.41,1000,9.69
2011-02-28,10.41,10.52,10.35,10.42,1100,9.70
2011-02-22,10.52,10.52,10.33,10.35,500,9.63
2011-02-14,10.46,10.58,10.40,10.52,700,9.79
2011-02-07,10.42,10.72,10.42,10.46,700,9.73
2011-01-31,10.40,10.63,10.40,10.58,300,9.85
2011-01-24,10.63,10.63,10.63,10.63,000,9.89
2011-01-18,10.70,10.70,10.32,10.63,700,9.89
2011-01-10,10.40,11.00,10.29,10.67,1900,9.93
2011-01-03,10.56,10.56,10.40,10.40,200,9.68
2010-12-27,10.75,10.75,10.41,10.56,300,9.83
2010-12-20,10.79,10.83,10.55,10.75,500,9.64
2010-12-13,11.00,11.00,10.86,10.99,300,9.85
2010-12-06,10.65,11.17,10.57,11.00,2200,9.86
2010-11-29,10.89,10.89,10.65,10.65,300,9.55
2010-11-22,10.57,10.89,10.55,10.89,1000,9.76
2010-11-15,10.73,10.73,10.50,10.59,800,9.50
2010-11-08,10.54,10.90,10.31,10.73,800,9.62
2010-11-01,10.50,10.54,10.35,10.54,800,9.45
2010-10-25,10.50,10.76,10.26,10.50,800,9.41
2010-10-18,10.49,10.65,10.47,10.50,1300,9.41
2010-10-11,10.42,10.66,10.36,10.53,4300,9.44
2010-10-04,10.33,10.66,10.33,10.50,5200,9.41
2010-09-27,10.48,10.64,10.30,10.50,1900,9.41
2010-09-20,10.51,10.51,10.21,10.50,3000,9.41
2010-09-13,10.60,10.60,10.54,10.60,3100,9.50
2010-09-07,10.66,10.70,10.60,10.60,600,9.50
2010-08-30,10.55,10.66,10.53,10.53,3100,9.44
2010-08-23,10.80,10.80,10.55,10.55,2400,9.46
2010-08-16,10.85,10.90,10.75,10.75,900,9.64
2010-08-09,10.61,10.76,10.60,10.75,400,9.64
2010-08-02,10.93,10.99,10.64,10.70,1100,9.59
2010-07-26,10.61,11.00,10.61,10.93,1400,9.80
2010-07-19,10.70,10.75,10.62,10.75,1100,9.64
2010-07-12,10.69,10.70,10.60,10.70,600,9.59
2010-07-06,10.70,10.72,10.44,10.59,1300,9.50
2010-06-28,10.97,11.17,10.60,10.70,2200,9.59
2010-06-21,10.95,11.10,10.61,11.10,3900,9.60
2010-06-14,10.56,11.25,10.45,10.69,5400,9.25
2010-06-07,10.45,10.70,10.44,10.69,2600,9.25
2010-06-01,10.40,10.56,10.40,10.45,1100,9.04
2010-05-24,10.40,10.72,10.40,10.40,900,9.00
2010-05-17,10.42,10.42,10.39,10.40,700,9.00
2010-05-10,10.50,10.61,10.36,10.36,1100,8.96
2010-05-03,10.62,10.62,10.46,10.50,1900,9.09
2010-04-26,10.52,10.70,10.50,10.52,1600,9.10
2010-04-19,10.64,10.79,10.52,10.54,500,9.12
2010-04-12,10.66,10.81,10.50,10.62,3100,9.19
2010-04-05,10.60,10.60,10.28,10.55,600,9.13
2010-03-29,10.50,10.69,10.34,10.55,1200,9.13
2010-03-22,10.81,10.89,10.47,10.47,900,9.06
2010-03-15,10.63,10.63,10.33,10.58,1400,9.15
2010-03-08,10.35,10.87,10.20,10.52,2400,9.10
2010-03-01,10.40,10.60,10.32,10.35,1800,8.96
2010-02-22,10.41,10.42,10.41,10.42,200,9.02
2010-02-16,10.30,10.41,10.22,10.41,1300,9.01
2010-02-08,10.38,10.44,10.21,10.30,600,8.91
2010-02-01,10.23,10.44,10.21,10.38,700,8.98
2010-01-25,10.37,10.45,10.00,10.45,900,9.04
2010-01-19,10.44,10.44,10.37,10.37,000,8.97
2010-01-11,10.50,10.85,10.32,10.44,2600,9.03
2010-01-04,10.68,10.68,10.31,10.48,600,9.07
2009-12-28,10.53,10.53,10.22,10.45,800,9.04
2009-12-21,10.51,10.75,10.51,10.73,400,8.94
2009-12-14,10.75,10.75,10.51,10.51,200,8.76
2009-12-07,10.45,10.75,10.32,10.75,1700,8.96
2009-11-30,10.26,10.45,10.23,10.45,200,8.71
2009-11-23,10.21,10.26,10.21,10.26,000,8.55
2009-11-16,10.23,10.41,10.16,10.21,1100,8.51
2009-11-09,10.45,10.45,10.15,10.39,700,8.66
2009-11-02,10.46,10.48,10.10,10.32,1000,8.60
2009-10-26,10.35,10.40,10.35,10.40,700,8.67
2009-10-19,10.50,10.52,10.13,10.35,1900,8.63
2009-10-12,10.49,10.49,10.49,10.49,000,8.74
2009-10-05,10.20,10.49,10.15,10.49,300,8.74
2009-09-28,10.50,10.75,10.20,10.20,1600,8.50
2009-09-21,10.25,10.75,10.25,10.75,2000,8.96
2009-09-14,10.22,10.22,10.20,10.21,700,8.51
2009-09-08,10.50,10.75,10.20,10.20,400,8.50
2009-08-31,10.25,10.75,10.25,10.40,300,8.67
2009-08-24,10.00,10.34,10.00,10.30,900,8.58
2009-08-17,10.29,10.29,10.00,10.00,200,8.33
2009-08-10,10.02,10.07,10.00,10.00,800,8.33
2009-08-03,10.05,10.05,10.00,10.00,300,8.33
2009-07-27,9.99,10.03,9.97,10.00,200,8.33
2009-07-20,9.96,10.03,9.82,9.99,1200,8.33
