Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,31.24,32.12,31.24,31.82,3537100,31.82
2012-05-14,32.81,33.12,31.24,31.31,4305600,31.31
2012-05-07,33.84,34.24,33.02,33.24,3210100,33.02
2012-04-30,36.45,36.58,34.03,34.06,3628600,33.83
2012-04-23,34.07,37.04,33.47,36.50,4351000,36.26
2012-04-16,35.36,35.82,34.35,34.40,3910400,34.17
2012-04-09,35.00,36.17,34.76,35.20,3477200,34.97
2012-04-02,36.50,36.83,35.18,35.52,3292700,35.28
2012-03-26,36.43,36.79,35.86,36.48,2844500,36.24
2012-03-19,37.08,37.21,35.31,36.07,3971900,35.83
2012-03-12,36.47,37.30,36.09,37.27,3098300,37.02
2012-03-05,36.37,36.69,35.38,36.44,3547600,36.20
2012-02-27,36.83,37.74,36.27,36.48,3085600,36.24
2012-02-21,37.24,37.44,36.55,37.23,2351800,36.98
2012-02-13,36.44,37.48,35.66,37.28,3155500,37.03
2012-02-06,36.49,36.93,35.90,36.33,2262900,36.09
2012-01-30,35.64,36.93,35.24,36.92,3066400,36.49
2012-01-23,35.71,36.15,35.01,35.99,3982000,35.57
2012-01-17,33.15,36.78,33.01,35.77,7783300,35.35
2012-01-09,32.33,33.58,32.29,32.99,2700300,32.60
2012-01-03,32.55,32.85,31.81,32.17,2524600,31.79
2011-12-27,32.24,32.52,31.90,32.06,1486600,31.68
2011-12-19,30.80,32.61,30.56,32.35,3702000,31.97
2011-12-12,32.39,32.83,30.79,31.21,4383800,30.84
2011-12-05,33.45,33.75,31.55,32.64,4392700,32.26
2011-11-28,30.52,33.66,30.44,33.11,4550900,32.72
2011-11-21,31.14,31.40,30.00,30.07,2682200,29.72
2011-11-14,32.85,33.51,31.45,31.47,3809500,31.10
2011-11-07,32.65,33.64,31.62,32.85,4204100,32.46
2011-10-31,33.07,33.93,31.62,32.85,7636800,32.28
2011-10-24,30.93,33.60,30.77,33.19,5077600,32.61
2011-10-17,30.56,30.97,29.22,30.22,5789000,29.69
2011-10-10,29.05,30.59,28.97,30.59,3975200,30.06
2011-10-03,27.22,29.16,26.55,28.78,5256900,28.28
2011-09-26,29.10,29.78,27.44,27.44,4471100,26.96
2011-09-19,31.27,31.68,27.64,28.92,6505100,28.42
2011-09-12,29.76,32.22,29.74,31.74,4631700,31.19
2011-09-06,29.17,31.15,29.12,30.01,4886600,29.49
2011-08-29,30.58,31.59,29.57,29.80,4904700,29.28
2011-08-22,28.90,30.25,28.62,30.24,4485300,29.71
2011-08-15,30.22,30.77,28.26,28.36,4451500,27.87
2011-08-08,28.73,30.47,28.14,30.11,8224200,29.58
2011-08-01,32.36,32.52,29.30,29.93,6548400,29.22
2011-07-25,33.19,34.05,31.61,32.10,4626500,31.34
2011-07-18,33.45,34.04,31.81,33.66,5730700,32.86
2011-07-11,35.76,36.40,33.06,33.48,5116600,32.69
2011-07-05,37.07,37.37,35.77,36.24,3708700,35.38
2011-06-27,34.61,37.23,34.38,37.06,3640100,36.18
2011-06-20,32.93,35.28,32.90,34.64,4318000,33.82
2011-06-13,33.34,34.14,32.92,32.95,4863500,32.17
2011-06-06,33.73,34.52,33.17,33.56,4377700,32.77
2011-05-31,35.32,35.98,33.67,33.73,4265500,32.93
2011-05-23,35.34,35.40,34.25,34.92,3654400,34.09
2011-05-16,35.58,36.37,34.81,35.77,3438500,34.92
2011-05-09,35.80,36.49,35.20,35.95,3573400,34.91
2011-05-02,35.01,36.18,34.54,35.73,4983400,34.70
2011-04-25,31.68,35.38,31.53,34.86,7240000,33.85
2011-04-18,31.10,31.96,30.46,31.77,3874500,30.85
2011-04-11,31.73,31.73,30.55,31.46,3819900,30.55
2011-04-04,32.29,32.40,31.44,31.65,3744800,30.74
2011-03-28,33.19,33.25,32.12,32.15,3188200,31.22
2011-03-21,32.11,33.50,31.81,32.97,4066700,32.02
2011-03-14,32.31,32.91,30.07,31.77,7910600,30.85
2011-03-07,35.15,35.15,31.22,32.33,6853800,31.40
2011-02-28,33.80,35.42,32.68,34.96,5437700,33.95
2011-02-22,33.47,33.83,32.45,33.79,3759400,32.82
2011-02-14,33.78,34.12,33.30,33.92,3186800,32.94
2011-02-07,33.51,33.91,32.75,33.78,3159900,32.81
2011-01-31,32.23,33.68,32.01,33.62,4617500,32.49
2011-01-24,31.26,33.24,31.21,32.19,5998400,31.11
2011-01-18,31.70,32.00,30.61,31.28,8641500,30.23
2011-01-10,29.99,31.72,29.72,31.69,4370000,30.63
2011-01-03,29.28,30.41,29.06,29.97,4807600,28.97
2010-12-27,28.81,29.28,28.43,28.98,2548300,28.01
2010-12-20,28.21,29.06,26.60,28.83,9763800,27.87
2010-12-13,28.70,28.78,27.90,28.21,5122400,27.27
2010-12-06,28.93,29.13,28.45,28.65,4239000,27.69
2010-11-29,27.36,29.00,26.91,28.87,5538400,27.90
2010-11-22,27.06,27.98,26.89,27.52,5269600,26.60
2010-11-15,26.72,27.38,26.06,27.18,6864800,26.27
2010-11-08,27.51,27.90,25.64,26.64,7459000,25.75
2010-11-01,27.00,27.95,26.73,27.73,7778100,26.65
2010-10-25,25.40,26.92,25.13,26.80,7527200,25.75
2010-10-18,26.24,26.70,24.77,25.20,10138500,24.22
2010-10-11,26.03,27.00,25.92,26.48,6953400,25.45
2010-10-04,26.39,26.44,25.30,26.08,8193900,25.06
2010-09-27,26.54,27.35,25.89,26.35,7612000,25.32
2010-09-20,26.15,26.59,24.96,26.54,8570300,25.50
2010-09-13,24.81,26.74,24.81,26.45,7209200,25.42
2010-09-07,25.24,25.43,24.27,24.67,6436800,23.71
2010-08-30,24.75,25.76,24.00,25.39,6850500,24.40
2010-08-23,25.58,25.60,23.96,24.93,7447200,23.96
2010-08-16,24.80,25.83,24.48,25.45,6086300,24.46
2010-08-09,27.91,27.94,24.28,25.04,8773200,24.06
2010-08-02,28.11,28.31,27.45,27.91,4423000,26.67
2010-07-26,29.10,29.40,27.04,27.92,8004100,26.68
2010-07-19,27.74,29.35,27.40,29.20,10222800,27.90
2010-07-12,27.57,29.12,27.52,27.59,8786300,26.36
2010-07-06,25.61,27.68,25.17,27.62,11044600,26.39
2010-06-28,26.03,26.29,24.82,25.33,7335700,24.20
2010-06-21,26.98,27.13,25.48,25.90,5434100,24.75
2010-06-14,25.23,27.01,24.78,26.80,7869500,25.61
2010-06-07,25.04,25.30,23.47,25.07,10013600,23.95
2010-06-01,24.23,25.63,23.78,24.96,10452800,23.85
2010-05-24,24.09,24.89,22.75,24.45,8325600,23.36
2010-05-17,23.73,25.01,23.25,24.34,11107000,23.26
2010-05-10,25.42,25.75,23.52,24.05,7928500,22.83
2010-05-03,25.90,26.49,23.24,24.44,9638300,23.20
2010-04-26,27.24,27.54,25.75,25.79,9083700,24.48
2010-04-19,27.41,28.00,26.39,27.30,6478100,25.91
2010-04-12,26.51,27.87,26.42,27.49,4697900,26.09
2010-04-05,25.63,26.83,25.63,26.38,4729300,25.04
2010-03-29,25.57,26.12,25.39,25.68,6479200,24.37
2010-03-22,26.54,27.41,25.19,25.40,8402800,24.11
2010-03-15,26.55,27.50,26.20,26.60,6292100,25.25
2010-03-08,26.80,26.99,26.35,26.61,5556500,25.26
2010-03-01,26.07,26.89,25.78,26.71,5259900,25.35
2010-02-22,25.79,26.27,24.90,25.83,7458500,24.52
2010-02-16,24.75,25.85,24.66,25.71,5840500,24.40
2010-02-08,23.55,24.93,23.17,24.56,7452400,23.31
2010-02-01,23.51,24.63,23.06,23.62,7878600,22.27
2010-01-25,24.00,24.72,23.46,23.58,9587800,22.23
2010-01-19,23.90,25.41,23.36,23.84,12719300,22.47
2010-01-11,25.01,25.14,23.29,23.52,6145800,22.17
2010-01-04,25.34,25.62,24.35,25.00,5376400,23.57
2009-12-28,25.43,25.45,24.90,25.06,2281000,23.62
2009-12-21,24.75,25.36,24.75,25.36,2534900,23.91
2009-12-14,23.84,24.88,23.50,24.65,6049000,23.24
2009-12-07,23.39,24.28,22.96,23.70,6385200,22.34
2009-11-30,22.55,23.72,22.43,23.37,6006900,22.03
2009-11-23,22.55,23.02,22.21,22.63,3230600,21.33
2009-11-16,23.05,23.50,22.10,22.28,3751100,21.00
2009-11-09,22.10,23.30,22.01,22.94,3753300,21.62
2009-11-02,21.64,22.40,21.01,21.89,5605700,20.63
2009-10-26,22.91,23.47,21.49,21.75,6506600,20.35
2009-10-19,23.33,23.83,22.77,22.91,5123000,21.44
2009-10-12,23.35,24.49,22.96,23.30,9986000,21.80
2009-10-05,22.70,23.31,22.32,23.20,5751400,21.71
