Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.90,9.09,8.85,9.08,94800,9.08
2012-05-14,9.11,9.27,8.88,8.90,99500,8.90
2012-05-07,9.26,9.42,9.13,9.25,89900,9.25
2012-04-30,9.40,9.46,9.18,9.26,67800,9.26
2012-04-23,9.16,9.50,9.15,9.43,87500,9.43
2012-04-16,9.44,9.46,9.05,9.34,90600,9.34
2012-04-09,9.26,10.04,9.17,9.35,90800,9.35
2012-04-02,9.33,9.52,9.16,9.40,145000,9.40
2012-03-26,9.56,9.76,9.30,9.39,215600,9.39
2012-03-19,9.13,9.50,9.03,9.48,134000,9.48
2012-03-12,9.36,9.50,9.13,9.16,161700,9.16
2012-03-05,9.05,9.44,8.92,9.37,119700,9.37
2012-02-27,9.08,9.27,8.47,9.09,643000,9.09
2012-02-21,9.73,9.73,9.15,9.30,165200,9.30
2012-02-13,8.88,9.76,8.74,9.69,178300,9.69
2012-02-06,8.86,8.97,8.46,8.77,111400,8.77
2012-01-30,8.05,9.02,8.00,8.92,155300,8.92
2012-01-23,8.11,8.22,7.77,8.14,111600,8.14
2012-01-17,8.00,8.23,7.93,8.11,109600,8.11
2012-01-09,8.12,8.23,7.86,7.92,153700,7.92
2012-01-03,8.57,8.58,7.99,8.07,158400,8.07
2011-12-27,8.57,8.71,8.34,8.34,102400,8.34
2011-12-19,8.15,8.71,7.90,8.58,148800,8.58
2011-12-12,7.98,8.28,7.79,8.15,238500,8.15
2011-12-05,7.75,8.18,7.50,8.09,228200,8.09
2011-11-28,7.10,7.77,7.05,7.62,446100,7.62
2011-11-21,7.25,7.30,6.67,6.67,143700,6.67
2011-11-14,7.92,8.02,7.31,7.40,152900,7.40
2011-11-07,8.41,8.44,7.75,7.97,144200,7.97
2011-10-31,9.32,9.42,8.32,8.40,128800,8.40
2011-10-24,9.15,9.55,8.70,9.46,128200,9.46
2011-10-17,9.29,9.40,8.76,9.16,95100,9.16
2011-10-10,8.59,9.47,8.59,9.34,109000,9.34
2011-10-03,8.08,8.80,7.50,8.43,174000,8.43
2011-09-26,8.31,9.01,8.03,8.17,166600,8.17
2011-09-19,9.07,9.07,7.92,8.24,148900,8.24
2011-09-12,8.60,9.21,8.56,9.21,149500,9.21
2011-09-06,8.38,9.19,8.37,8.73,157200,8.73
2011-08-29,8.78,9.26,8.58,8.60,255900,8.60
2011-08-22,8.45,8.95,8.29,8.70,226400,8.70
2011-08-15,8.82,9.00,8.16,8.24,160000,8.24
2011-08-08,9.20,9.51,8.15,8.74,368500,8.74
2011-08-01,9.43,9.91,8.37,9.43,306500,9.43
2011-07-25,9.39,9.64,9.10,9.35,138700,9.35
2011-07-18,10.07,10.15,9.38,9.52,100500,9.52
2011-07-11,10.39,10.58,9.87,10.11,94100,10.11
2011-07-05,10.26,10.97,10.16,10.55,120600,10.55
2011-06-27,9.54,11.10,9.49,10.18,158700,10.18
2011-06-20,9.62,9.86,9.34,9.49,263400,9.49
2011-06-13,9.82,10.05,9.56,9.67,153700,9.67
2011-06-06,9.75,10.11,9.44,9.84,142100,9.84
2011-05-31,10.10,10.30,9.69,9.73,156800,9.73
2011-05-23,10.09,10.38,9.84,10.01,140500,10.01
2011-05-16,10.12,10.49,9.88,10.23,82200,10.23
2011-05-09,10.41,10.50,10.07,10.20,124900,10.20
2011-05-02,10.28,10.64,9.55,10.48,181300,10.48
2011-04-25,10.03,10.38,9.85,10.21,110100,10.21
2011-04-18,10.39,10.51,9.77,10.08,242000,10.08
2011-04-11,11.09,11.14,10.18,10.51,89800,10.51
2011-04-04,11.93,12.18,10.98,11.09,155200,11.09
2011-03-28,10.90,12.12,10.78,11.88,202400,11.88
2011-03-21,10.10,10.97,9.58,10.85,171200,10.85
2011-03-14,9.14,10.00,8.87,9.99,113300,9.99
2011-03-07,10.18,10.40,9.01,9.26,117400,9.26
2011-02-28,10.26,10.72,9.81,10.16,95300,10.16
2011-02-22,10.40,10.46,9.75,10.26,89500,10.26
2011-02-14,11.36,11.39,10.40,10.51,101400,10.51
2011-02-07,10.70,11.95,10.24,11.35,161700,11.35
2011-01-31,11.24,11.61,10.57,10.71,102400,10.71
2011-01-24,11.04,11.61,10.73,11.23,126600,11.23
2011-01-18,10.96,11.37,10.67,11.00,177500,11.00
2011-01-10,10.00,11.07,9.83,11.04,102700,11.04
2011-01-03,9.95,10.42,9.70,10.06,90600,10.06
2010-12-27,9.73,10.00,9.65,9.88,45000,9.88
2010-12-20,9.78,9.99,9.55,9.68,81100,9.68
2010-12-13,10.22,10.30,9.67,9.72,193300,9.72
2010-12-06,9.82,10.37,9.67,10.21,99700,10.21
2010-11-29,9.24,9.89,9.11,9.85,129600,9.85
2010-11-22,8.95,9.43,8.87,9.31,73700,9.31
2010-11-15,8.93,9.31,8.58,9.00,130000,9.00
2010-11-08,9.02,9.08,8.85,8.92,178500,8.92
2010-11-01,9.11,9.66,8.95,9.08,236100,9.08
2010-10-25,9.14,9.29,8.74,9.04,202900,9.04
2010-10-18,9.16,9.35,8.82,9.09,126000,9.09
2010-10-11,9.04,9.76,8.90,9.13,219300,9.13
2010-10-04,9.39,9.45,8.70,9.02,141300,9.02
2010-09-27,8.65,9.46,8.62,9.40,186900,9.40
2010-09-20,8.38,8.78,8.20,8.67,148100,8.67
2010-09-13,7.57,8.42,7.40,8.39,263000,8.39
2010-09-07,7.32,7.53,7.16,7.48,74300,7.48
2010-08-30,7.29,7.41,7.00,7.33,100700,7.33
2010-08-23,7.19,7.32,6.99,7.29,122300,7.29
2010-08-16,6.91,7.33,6.90,7.16,99500,7.16
2010-08-09,7.66,7.82,6.93,6.96,87500,6.96
2010-08-02,8.35,8.35,7.52,7.59,151100,7.59
2010-07-26,8.17,8.25,7.80,8.23,109400,8.23
2010-07-19,7.55,8.10,7.32,8.10,127200,8.10
