Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.17,7.28,7.13,7.19,13163200,7.19
2012-05-14,7.57,7.73,7.11,7.15,16734700,7.15
2012-05-07,7.60,7.77,7.55,7.63,12359800,7.63
2012-04-30,7.80,8.01,7.51,7.62,11172900,7.62
2012-04-23,7.97,8.15,7.75,7.83,17932900,7.83
2012-04-16,7.88,8.01,7.84,7.87,9739000,7.87
2012-04-09,7.75,7.99,7.71,7.84,10891100,7.84
2012-04-02,8.09,8.20,7.83,7.87,9564000,7.87
2012-03-26,8.29,8.43,8.00,8.08,9678200,8.08
2012-03-19,8.26,8.43,8.14,8.22,7607300,8.18
2012-03-12,8.26,8.55,8.20,8.32,12005900,8.28
2012-03-05,8.26,8.35,8.03,8.25,7437700,8.21
2012-02-27,8.30,8.44,8.21,8.27,7909400,8.23
2012-02-21,8.34,8.42,8.11,8.36,9055000,8.32
2012-02-13,7.98,8.50,7.90,8.30,15350500,8.26
2012-02-06,7.93,8.07,7.85,7.92,12120100,7.88
2012-01-30,7.80,8.00,7.53,7.96,18459500,7.92
2012-01-23,8.76,8.84,7.58,7.88,24857400,7.84
2012-01-17,8.14,8.84,8.06,8.76,12592000,8.71
2012-01-09,8.14,8.25,8.00,8.08,8510700,8.04
2012-01-03,8.16,8.30,7.99,8.10,8230800,8.06
2011-12-27,8.25,8.27,7.87,7.96,8124500,7.92
2011-12-19,7.97,8.29,7.68,8.29,10914000,8.20
2011-12-12,8.02,8.16,7.74,7.97,9637300,7.89
2011-12-05,8.35,8.40,8.01,8.16,8875400,8.08
2011-11-28,7.81,8.41,7.59,8.22,12457400,8.13
2011-11-21,7.79,7.86,7.53,7.57,9503900,7.49
2011-11-14,8.16,8.22,7.85,7.88,10311900,7.80
2011-11-07,8.45,8.55,8.00,8.21,12211500,8.12
2011-10-31,8.44,8.46,7.90,8.46,14053200,8.37
2011-10-24,7.83,8.65,7.79,8.53,19036400,8.44
2011-10-17,7.65,7.84,7.32,7.83,12913200,7.75
2011-10-10,7.31,7.74,7.27,7.73,14954000,7.65
2011-10-03,6.80,7.30,6.55,7.17,20005300,7.10
2011-09-26,7.19,7.81,6.96,6.97,12778900,6.90
2011-09-19,7.83,7.97,7.00,7.10,14217600,6.99
2011-09-12,7.34,8.06,7.25,8.02,14713600,7.89
2011-09-06,7.61,8.06,7.36,7.41,19441800,7.29
2011-08-29,7.86,8.47,7.85,7.91,12123700,7.78
2011-08-22,7.48,7.91,7.33,7.72,12108300,7.60
2011-08-15,8.11,8.41,7.30,7.32,16362700,7.20
2011-08-08,8.17,8.36,7.61,8.01,30817600,7.88
2011-08-01,9.49,9.53,8.14,8.53,29265000,8.39
2011-07-25,10.00,10.04,9.21,9.33,16961400,9.18
2011-07-18,10.00,10.41,9.80,10.08,14426600,9.92
2011-07-11,10.51,10.52,9.96,10.01,12260600,9.85
2011-07-05,10.70,10.83,10.39,10.66,9555000,10.49
2011-06-27,9.93,10.77,9.86,10.71,10009300,10.54
2011-06-20,9.83,10.17,9.80,9.89,11108600,9.69
2011-06-13,9.65,9.96,9.45,9.85,12767600,9.65
2011-06-06,9.98,10.01,9.33,9.40,10241000,9.21
2011-05-31,10.11,10.27,9.88,10.00,13728500,9.80
2011-05-23,10.00,10.16,9.69,10.00,11179200,9.80
2011-05-16,10.19,10.34,10.00,10.11,9450600,9.91
2011-05-09,10.27,10.55,10.14,10.21,15221300,10.00
2011-05-02,10.17,10.37,10.02,10.25,13385500,10.04
2011-04-25,10.31,10.31,9.90,10.09,18146200,9.89
2011-04-18,10.59,10.91,10.21,10.22,19394700,10.01
2011-04-11,10.71,10.99,10.62,10.73,8428100,10.51
2011-04-04,10.88,10.99,10.65,10.70,9107900,10.48
2011-03-28,10.64,11.03,10.51,10.88,13722700,10.66
2011-03-21,10.26,10.70,10.03,10.67,12986300,10.41
2011-03-14,10.29,10.47,9.78,10.12,14597200,9.87
2011-03-07,10.55,10.67,10.26,10.40,7948100,10.15
2011-02-28,10.77,10.86,10.40,10.49,10272100,10.24
2011-02-22,11.19,11.24,10.53,10.72,13266700,10.46
2011-02-14,10.94,11.50,10.83,11.32,11026100,11.05
2011-02-07,10.91,11.00,10.69,10.97,13233300,10.70
2011-01-31,10.57,10.93,10.48,10.85,12130900,10.59
2011-01-24,11.18,11.43,10.30,10.55,28639900,10.29
2011-01-18,11.64,11.73,10.97,11.14,9541000,10.87
2011-01-10,11.25,11.65,11.22,11.62,8441800,11.34
2011-01-03,11.62,11.79,11.30,11.30,9180400,11.03
2010-12-27,11.63,11.74,11.44,11.52,5877200,11.24
2010-12-20,11.75,11.92,11.63,11.69,6833700,11.36
2010-12-13,12.05,12.08,11.58,11.75,8747600,11.42
2010-12-06,11.80,12.06,11.72,12.00,7812200,11.67
2010-11-29,11.65,11.90,11.39,11.83,10889000,11.50
2010-11-22,11.59,11.80,11.33,11.76,6056700,11.43
2010-11-15,11.30,11.74,10.95,11.68,11894400,11.35
2010-11-08,11.80,11.95,11.10,11.29,14213300,10.98
2010-11-01,11.74,11.96,11.52,11.90,8657900,11.57
2010-10-25,11.44,11.73,11.28,11.70,13107700,11.37
2010-10-18,11.05,11.44,10.81,11.42,15974200,11.10
2010-10-11,10.98,11.28,10.90,11.06,12101200,10.75
2010-10-04,10.45,11.06,10.32,10.95,11606200,10.65
2010-09-27,10.50,10.64,10.22,10.50,12109700,10.21
2010-09-20,10.22,10.63,10.07,10.52,12229000,10.19
2010-09-13,9.80,10.23,9.58,10.10,20312000,9.78
2010-09-07,9.05,9.30,8.88,9.11,8490600,8.82
2010-08-30,8.60,9.20,8.32,9.09,10245000,8.80
2010-08-23,9.03,9.03,8.32,8.64,13841800,8.36
2010-08-16,8.95,9.34,8.85,8.97,8538400,8.68
2010-08-09,9.63,9.81,8.94,9.01,12667000,8.72
2010-08-02,9.74,9.99,9.34,9.59,13004200,9.28
2010-07-26,9.33,9.86,9.15,9.74,20970100,9.43
2010-07-19,8.33,9.34,8.08,9.25,20615900,8.96
2010-07-12,8.24,8.72,8.22,8.30,14171600,8.04
2010-07-06,8.09,8.28,7.83,8.22,18274100,7.96
2010-06-28,8.71,8.81,7.67,7.99,22430400,7.74
2010-06-21,9.61,9.76,8.60,8.74,12849200,8.42
2010-06-14,9.11,9.59,9.06,9.43,11884700,9.08
2010-06-07,8.89,9.12,8.31,9.02,24402600,8.69
2010-06-01,9.45,9.75,8.85,8.88,18663700,8.56
2010-05-24,8.93,9.50,8.46,9.31,21666400,8.97
2010-05-17,10.00,10.29,8.81,9.22,21396100,8.88
2010-05-10,10.35,10.57,9.90,10.02,18435000,9.65
2010-05-03,10.99,11.14,9.11,9.73,22548300,9.37
2010-04-26,11.12,11.49,10.75,10.90,22821400,10.50
2010-04-19,10.28,11.72,10.18,11.32,30266100,10.91
2010-04-12,10.51,10.62,10.27,10.32,13583400,9.94
2010-04-05,10.00,10.50,9.90,10.44,14261300,10.06
2010-03-29,9.65,10.00,9.60,9.99,8784400,9.62
2010-03-22,9.51,10.12,9.45,9.70,11611200,9.30
2010-03-15,9.85,10.17,9.52,9.57,15044400,9.18
2010-03-08,9.90,10.07,9.67,9.89,12463000,9.49
2010-03-01,9.38,9.90,9.38,9.87,12759900,9.47
2010-02-22,9.30,9.40,9.04,9.37,10761300,8.99
2010-02-16,8.70,9.27,8.69,9.20,13997500,8.82
2010-02-08,8.39,8.88,8.20,8.77,17502200,8.41
2010-02-01,8.75,9.17,8.35,8.47,22687600,8.12
2010-01-25,9.03,9.11,8.71,8.72,16844700,8.36
2010-01-19,8.83,9.48,8.73,8.97,26189100,8.60
2010-01-11,8.62,9.00,8.57,8.84,12900100,8.48
