Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,20.47,22.72,19.47,21.90,1416600,21.90
2012-05-14,23.88,24.22,20.12,20.27,1180200,20.27
2012-05-07,23.75,24.06,22.54,23.57,895900,23.57
2012-04-30,22.73,24.84,22.41,24.02,1199200,24.02
2012-04-23,22.60,23.44,21.70,23.06,949000,23.06
2012-04-16,25.09,25.35,22.95,23.00,1432100,23.00
2012-04-09,21.59,25.05,21.45,24.78,2669100,24.78
2012-04-02,21.78,23.50,21.58,22.20,2406400,22.20
2012-03-26,25.06,25.50,21.60,21.99,3097600,21.99
2012-03-19,27.28,28.40,24.61,24.70,3311200,24.70
2012-03-12,29.80,32.75,27.01,27.06,9752800,27.06
2012-03-05,25.81,26.80,23.44,25.01,1955900,25.01
2012-02-27,22.17,26.95,22.00,26.02,2724700,26.02
2012-02-21,21.67,22.99,20.81,22.37,2329700,22.37
2012-02-13,22.17,22.40,19.90,21.47,2240600,21.47
2012-02-06,22.49,24.90,21.14,21.31,2392200,21.31
2012-01-30,22.71,25.30,21.28,24.18,3634000,24.18
2012-01-23,20.90,23.25,20.13,23.11,2313800,23.11
2012-01-17,19.21,21.75,18.65,20.97,3301300,20.97
2012-01-09,15.77,19.60,15.39,18.62,3126000,18.62
2012-01-03,16.27,16.92,15.55,15.67,2099100,15.67
2011-12-27,16.51,16.65,15.60,15.67,1080400,15.67
2011-12-19,17.85,18.32,16.25,16.63,1369300,16.63
2011-12-12,19.70,19.70,16.90,18.05,1674300,18.05
2011-12-05,20.20,20.50,18.08,19.93,1671200,19.93
2011-11-28,16.98,20.33,16.34,19.91,3223400,19.91
2011-11-21,16.06,16.07,13.83,15.72,3148000,15.72
2011-11-14,19.05,21.48,16.03,16.63,3749700,16.63
2011-11-07,20.33,22.12,18.53,19.20,1907500,19.20
2011-10-31,22.16,22.27,19.50,20.37,2335100,20.37
2011-10-24,20.45,23.48,18.58,22.85,2962700,22.85
2011-10-17,19.95,21.29,18.50,20.29,1891100,20.29
2011-10-10,18.68,23.25,18.38,20.28,3503100,20.28
2011-10-03,16.15,19.72,14.75,18.05,3270500,18.05
2011-09-26,17.54,21.20,14.78,16.36,5134900,16.36
2011-09-19,19.63,19.64,13.76,17.41,5075600,17.41
2011-09-12,20.66,22.50,19.86,20.08,2714000,20.08
2011-09-06,22.02,22.75,20.92,21.32,3799600,21.32
2011-08-29,25.01,27.25,22.76,23.12,2909100,23.12
2011-08-22,24.70,24.85,21.83,23.31,2703900,23.31
2011-08-15,27.03,30.75,22.80,23.26,5852200,23.26
2011-08-08,26.21,28.80,19.78,26.02,7352700,26.02
2011-08-01,38.03,38.18,26.50,28.37,3846700,28.37
2011-07-25,33.51,38.33,33.06,36.91,3315000,36.91
2011-07-18,33.78,35.25,32.50,34.10,2227500,34.10
2011-07-11,37.72,40.65,33.23,34.56,4243200,34.56
2011-07-05,37.13,39.39,35.00,38.59,5130700,38.59
2011-06-27,28.29,37.64,27.06,36.47,9288900,36.47
2011-06-20,28.01,30.49,27.05,27.94,5083800,27.94
2011-06-13,31.80,31.87,26.00,28.04,7370100,28.04
2011-06-06,41.28,42.37,30.50,31.31,5582000,31.31
2011-05-31,43.90,46.20,40.51,41.00,2564000,41.00
2011-05-23,45.90,47.48,41.50,42.56,1955900,42.56
2011-05-16,47.59,51.75,42.60,47.75,4156200,47.75
2011-05-09,59.80,61.08,43.51,48.54,3126400,48.54
2011-05-02,59.52,61.65,52.66,58.84,2702100,58.84
2011-04-25,64.04,68.88,58.26,59.12,2493400,59.12
2011-04-18,59.21,69.95,59.00,62.85,3053600,62.85
2011-04-11,55.36,65.60,50.13,60.13,2691000,60.13
2011-04-04,49.82,55.30,48.00,54.26,1473800,54.26
2011-03-28,50.13,52.80,47.35,49.35,2120300,49.35
2011-03-21,47.77,51.18,45.07,49.99,1764300,49.99
2011-03-14,44.74,48.53,42.50,47.92,1688800,47.92
2011-03-07,43.25,46.65,39.55,45.24,1967800,45.24
2011-02-28,40.23,43.70,37.03,42.93,3572900,42.93
2011-02-22,33.70,40.19,31.75,39.60,3160900,39.60
2011-02-14,29.79,36.28,29.66,34.50,2192000,34.50
2011-02-07,30.81,31.16,29.35,29.55,747100,29.55
2011-01-31,30.15,32.80,29.59,30.52,960900,30.52
2011-01-24,32.59,32.59,29.50,29.58,1080000,29.58
2011-01-18,36.50,36.96,30.76,32.48,2005000,32.48
2011-01-10,38.85,40.34,37.00,37.48,2268700,37.48
2011-01-03,36.41,42.00,35.13,38.90,3397200,38.90
2010-12-27,35.39,38.93,34.25,35.01,2454400,35.01
2010-12-20,30.80,35.15,30.51,34.67,2821000,34.67
2010-12-13,36.13,36.79,28.75,30.48,6077600,30.48
2010-12-08,27.00,50.00,25.57,37.50,12219300,37.50
