Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,0.77,0.85,0.73,0.81,946000,0.81
2012-05-14,0.89,0.91,0.72,0.77,1064700,0.77
2012-05-07,1.00,1.03,0.86,0.89,1109400,0.89
2012-04-30,1.06,1.08,1.00,1.01,804100,1.01
2012-04-23,1.05,1.09,1.03,1.06,524100,1.06
2012-04-16,1.04,1.14,1.03,1.05,876000,1.05
2012-04-09,1.13,1.14,1.02,1.03,1222500,1.03
2012-04-02,1.20,1.20,1.08,1.13,1672300,1.13
2012-03-26,1.04,1.34,1.03,1.20,5985000,1.20
2012-03-19,1.01,1.14,0.98,1.04,2654100,1.04
2012-03-12,1.12,1.13,1.00,1.01,1082100,1.01
2012-03-05,1.02,1.16,0.99,1.12,1084100,1.12
2012-02-27,1.01,1.04,0.97,0.98,537400,0.98
2012-02-21,1.04,1.06,0.97,1.02,670000,1.02
2012-02-13,1.13,1.15,1.02,1.03,1055400,1.03
2012-02-06,1.10,1.25,1.10,1.12,1199000,1.12
2012-01-30,1.09,1.12,1.02,1.10,1253300,1.10
2012-01-23,1.14,1.17,1.08,1.10,492300,1.10
2012-01-17,1.18,1.20,1.04,1.14,966300,1.14
2012-01-09,1.19,1.30,1.17,1.17,942800,1.17
2012-01-03,1.23,1.24,1.16,1.16,479400,1.16
2011-12-27,1.31,1.33,1.14,1.21,935100,1.21
2011-12-19,1.17,1.36,1.16,1.33,1349400,1.33
2011-12-12,1.13,1.25,1.02,1.16,807600,1.16
2011-12-05,0.97,1.25,0.97,1.15,1232900,1.15
2011-11-28,1.00,1.03,0.90,0.95,580400,0.95
2011-11-21,1.01,1.02,0.90,0.97,469100,0.97
2011-11-14,1.15,1.15,0.96,1.02,846500,1.02
2011-11-07,1.22,1.22,1.01,1.12,772200,1.12
2011-10-31,1.28,1.54,1.18,1.21,1932300,1.21
2011-10-24,1.02,1.34,1.00,1.27,1477600,1.27
2011-10-17,1.02,1.07,0.95,1.01,699900,1.01
2011-10-10,1.09,1.09,0.98,1.02,699800,1.02
2011-10-03,0.98,1.06,0.82,1.02,940800,1.02
2011-09-26,1.16,1.16,0.92,0.98,1307700,0.98
2011-09-19,1.26,1.30,1.05,1.15,963900,1.15
2011-09-12,1.29,1.44,1.17,1.28,1748700,1.28
2011-09-06,1.36,1.54,1.30,1.32,1061400,1.32
2011-08-29,1.54,1.70,1.43,1.44,771300,1.44
2011-08-22,1.57,1.58,1.36,1.52,1057000,1.52
2011-08-15,1.70,1.80,1.51,1.52,1280600,1.52
2011-08-08,1.36,1.79,1.25,1.64,1844200,1.64
2011-08-01,2.37,2.42,1.59,1.61,2358800,1.61
2011-07-25,2.52,2.52,2.21,2.30,1113500,2.30
2011-07-18,2.60,2.65,2.49,2.56,764800,2.56
2011-07-11,2.73,2.87,2.52,2.61,2036600,2.61
2011-07-05,2.52,2.90,2.45,2.76,3780600,2.76
2011-06-27,2.52,2.55,2.23,2.33,1634800,2.33
2011-06-20,2.17,2.42,2.04,2.42,1865300,2.42
2011-06-13,2.38,2.41,2.17,2.18,1193500,2.18
