Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.38,1.38,1.12,1.12,290700,1.12
2012-05-14,1.20,1.23,1.05,1.11,129900,1.11
2012-05-07,1.17,1.28,1.15,1.17,67400,1.17
2012-04-30,1.26,1.32,1.12,1.18,120800,1.18
2012-04-23,1.29,1.49,1.25,1.27,333900,1.27
2012-04-16,1.43,1.49,1.10,1.30,489500,1.30
2012-04-09,1.10,1.94,1.03,1.40,1416700,1.40
2012-04-02,1.12,1.18,1.03,1.09,104700,1.09
2012-03-26,1.23,1.23,1.11,1.13,87900,1.13
2012-03-19,1.22,1.27,1.16,1.21,71100,1.21
2012-03-12,1.22,1.26,1.15,1.21,73700,1.21
2012-03-05,1.16,1.30,1.15,1.22,107800,1.22
2012-02-27,1.33,1.34,1.14,1.16,165800,1.16
2012-02-21,1.36,1.39,1.30,1.33,143400,1.33
2012-02-13,1.40,1.42,1.30,1.32,144300,1.32
2012-02-06,1.42,1.50,1.28,1.36,338400,1.36
2012-01-30,1.21,1.64,1.21,1.40,441100,1.40
2012-01-23,1.15,1.29,1.15,1.22,69500,1.22
2012-01-17,1.30,1.33,1.12,1.14,127900,1.14
2012-01-09,1.22,1.34,1.19,1.29,145100,1.29
2012-01-03,1.05,1.28,1.05,1.22,160600,1.22
2011-12-27,1.05,1.14,1.01,1.03,222100,1.03
2011-12-19,1.11,1.11,1.00,1.03,103600,1.03
2011-12-12,1.18,1.35,1.03,1.10,277500,1.10
2011-12-05,1.24,1.69,1.18,1.19,1195400,1.19
2011-11-28,0.95,1.33,0.74,1.23,1074200,1.23
2011-11-21,1.16,1.16,0.86,0.89,198600,0.89
2011-11-14,1.65,1.83,1.19,1.20,352200,1.20
2011-11-07,1.99,2.14,1.59,1.64,129200,1.64
2011-10-31,2.07,2.09,1.93,1.96,26400,1.96
2011-10-24,1.95,2.44,1.85,2.09,103100,2.09
2011-10-17,2.35,2.39,1.87,1.94,68700,1.94
2011-10-10,1.97,2.50,1.55,2.30,284300,2.30
2011-10-03,1.52,1.98,1.10,1.95,117900,1.95
2011-09-26,1.73,1.80,1.51,1.54,23200,1.54
2011-09-19,2.00,2.01,1.50,1.72,38600,1.72
2011-09-12,1.98,2.06,1.97,2.00,17200,2.00
2011-09-06,1.93,2.10,1.93,2.00,18000,2.00
2011-08-29,2.06,2.14,1.95,1.99,38700,1.99
2011-08-22,2.12,2.23,1.97,2.01,22100,2.01
2011-08-15,2.15,2.50,2.02,2.11,78500,2.11
2011-08-08,1.94,2.20,1.80,2.12,93300,2.12
2011-08-01,2.40,2.49,1.97,2.14,57300,2.14
2011-07-25,2.40,2.56,2.33,2.37,35500,2.37
2011-07-18,2.54,2.64,2.34,2.44,69100,2.44
2011-07-11,2.65,2.73,2.55,2.59,43900,2.59
2011-07-05,2.43,2.72,2.40,2.69,47600,2.69
2011-06-27,2.31,2.74,2.29,2.50,81700,2.50
2011-06-20,2.13,2.47,2.03,2.33,58300,2.33
2011-06-13,2.11,2.33,2.01,2.12,85900,2.12
2011-06-06,2.59,2.59,2.16,2.21,112900,2.21
2011-05-31,2.96,2.96,2.57,2.57,96700,2.57
2011-05-23,3.32,3.33,2.26,2.87,394500,2.87
2011-05-16,3.46,3.62,3.29,3.38,193300,3.38
2011-05-09,3.56,3.65,3.33,3.48,148500,3.48
2011-05-02,3.68,3.86,3.50,3.54,171300,3.54
2011-04-25,3.79,3.93,3.63,3.68,174000,3.68
2011-04-18,3.64,4.03,3.55,3.80,379500,3.80
2011-04-11,3.27,5.08,3.05,3.64,2570300,3.64
2011-04-04,3.29,3.37,3.20,3.24,95100,3.24
2011-03-28,3.42,3.79,3.05,3.26,339400,3.26
2011-03-21,3.45,3.62,3.34,3.40,122800,3.40
2011-03-14,3.61,3.69,3.39,3.44,55900,3.44
2011-03-07,4.09,4.11,3.63,3.65,69700,3.65
2011-02-28,3.70,4.09,3.70,4.03,63600,4.03
2011-02-22,3.85,3.88,3.46,3.69,85300,3.69
2011-02-14,3.92,4.10,3.77,3.90,106100,3.90
2011-02-07,4.16,4.16,3.90,3.94,82100,3.94
2011-01-31,4.12,4.14,4.00,4.10,66100,4.10
2011-01-24,4.16,4.29,4.08,4.12,95200,4.12
2011-01-18,4.19,4.55,4.11,4.15,222200,4.15
2011-01-10,4.30,4.43,4.19,4.23,207900,4.23
2011-01-03,4.56,4.69,4.25,4.36,198400,4.36
2010-12-27,4.75,4.75,4.33,4.47,239300,4.47
2010-12-20,3.75,5.67,3.67,4.56,1983200,4.56
2010-12-13,3.75,3.88,3.51,3.70,76400,3.70
2010-12-06,3.43,3.94,3.38,3.74,98300,3.74
2010-11-29,3.58,3.59,3.36,3.39,72000,3.39
2010-11-22,3.55,3.67,3.46,3.54,73500,3.54
2010-11-15,4.09,4.23,3.58,3.58,207200,3.58
2010-11-08,4.49,4.50,3.78,3.84,144700,3.84
2010-11-01,4.39,4.62,4.25,4.48,78500,4.48
2010-10-25,4.30,4.65,4.30,4.36,97900,4.36
2010-10-18,4.65,4.80,4.16,4.30,333200,4.30
2010-10-11,3.79,4.15,3.75,4.08,91200,4.08
2010-10-04,3.95,3.96,3.73,3.79,81200,3.79
2010-09-27,3.99,4.20,3.84,3.90,130300,3.90
2010-09-20,3.50,4.98,3.48,3.95,597300,3.95
2010-09-13,3.35,3.72,3.34,3.52,70300,3.52
2010-09-07,3.70,3.79,3.40,3.40,31200,3.40
2010-08-30,3.82,3.89,3.39,3.70,24000,3.70
2010-08-23,5.09,5.09,3.79,3.83,31700,3.83
2010-08-16,5.19,5.74,4.83,5.03,35300,5.03
2010-08-09,5.70,5.70,5.11,5.17,15600,5.17
2010-08-02,5.27,5.75,5.17,5.63,39200,5.63
2010-07-26,5.14,5.34,5.14,5.26,13200,5.26
2010-07-19,4.61,5.25,4.55,5.15,52400,5.15
2010-07-12,4.84,4.99,4.51,4.62,31400,4.62
2010-07-06,4.90,5.15,4.70,4.71,32900,4.71
2010-06-28,5.17,5.37,4.75,4.85,28100,4.85
2010-06-21,6.15,6.15,4.99,5.15,25500,5.15
2010-06-14,6.00,6.19,5.80,5.99,8600,5.99
2010-06-07,5.42,5.99,5.31,5.96,14800,5.96
2010-06-01,5.55,5.79,5.43,5.48,30200,5.48
2010-05-24,5.69,5.89,5.33,5.52,18200,5.52
2010-05-17,6.28,6.32,5.41,5.75,53600,5.75
2010-05-10,6.01,7.50,5.81,6.30,173500,6.30
2010-05-03,7.07,7.22,5.69,5.71,69400,5.71
2010-04-26,7.24,7.39,6.99,7.06,37800,7.06
2010-04-19,7.15,7.20,7.03,7.11,18800,7.11
2010-04-12,7.25,7.46,7.11,7.12,50800,7.12
2010-04-05,7.30,7.50,7.20,7.25,72500,7.25
2010-03-29,7.67,8.27,7.00,7.30,325000,7.30
2010-03-22,7.12,8.95,7.03,7.59,436400,7.59
2010-03-15,7.70,8.55,6.70,7.20,174800,7.20
2010-03-08,6.09,8.29,6.09,7.59,605800,7.59
2010-03-01,5.95,6.15,5.95,6.10,27700,6.10
2010-02-22,6.03,6.05,5.85,5.98,34700,5.98
2010-02-16,6.15,6.16,5.90,6.02,49500,6.02
2010-02-08,5.81,6.14,5.41,6.14,37300,6.14
2010-02-01,5.98,6.10,5.79,5.80,25800,5.80
2010-01-25,6.50,6.60,5.96,5.98,47500,5.98
2010-01-19,6.71,6.75,6.39,6.50,47100,6.50
2010-01-11,6.90,7.26,6.46,6.72,53800,6.72
2010-01-04,6.25,7.08,6.24,6.78,108600,6.78
2009-12-28,6.16,6.38,5.90,6.18,64200,6.18
2009-12-21,5.86,6.40,5.70,6.20,62400,6.20
2009-12-14,6.11,6.20,5.80,5.81,63900,5.81
2009-12-07,6.06,6.58,5.95,6.11,110100,6.11
2009-11-30,7.04,7.40,5.80,6.06,261700,6.06
2009-11-23,7.80,7.95,6.73,7.05,140900,7.05
2009-11-16,8.10,11.29,7.45,7.79,558100,7.79
2009-11-09,5.34,7.75,5.16,7.60,61800,7.60
2009-11-02,5.13,5.72,4.90,5.35,25100,5.35
2009-10-26,6.24,6.26,4.95,5.15,41100,5.15
2009-10-19,6.98,7.13,6.09,6.27,50200,6.27
2009-10-12,7.25,8.23,6.40,6.87,93700,6.87
2009-10-05,7.45,8.31,6.46,7.25,77800,7.25
2009-09-28,7.50,8.75,7.05,7.62,49600,7.62
2009-09-21,11.21,12.19,6.51,7.69,311400,7.69
2009-09-14,4.70,14.20,4.65,11.56,2486100,11.56
2009-09-08,4.09,4.59,3.95,4.04,29100,4.04
2009-08-31,3.46,4.21,3.40,4.05,15600,4.05
2009-08-24,3.53,3.82,2.83,3.35,8000,3.35
2009-08-17,3.95,3.97,3.10,3.66,18700,3.66
2009-08-10,1.95,4.89,1.95,4.01,105300,4.01
2009-08-03,1.66,1.98,1.44,1.85,6400,1.85
2009-07-27,1.38,1.66,1.38,1.62,8400,1.62
2009-07-20,1.34,1.57,1.32,1.35,200,1.35
2009-07-13,1.58,1.60,1.26,1.35,2600,1.35
2009-07-06,1.26,1.58,1.25,1.58,3900,1.58
2009-06-29,1.30,1.45,1.25,1.31,1900,1.31
2009-06-22,1.45,1.46,1.30,1.38,1100,1.38
2009-06-15,1.50,1.60,1.30,1.41,2800,1.41
2009-06-08,1.43,1.66,1.33,1.63,7300,1.63
2009-06-01,1.19,1.49,1.19,1.30,6500,1.30
2009-05-26,1.41,1.45,1.16,1.45,11700,1.45
2009-05-18,1.72,1.72,1.40,1.40,3800,1.40
2009-05-11,1.85,2.68,1.38,1.67,35900,1.67
2009-05-04,1.34,1.80,1.07,1.25,15600,1.25
2009-04-27,1.23,1.48,1.01,1.20,6200,1.20
2009-04-20,1.54,1.55,1.20,1.41,2900,1.41
2009-04-13,1.62,1.62,1.20,1.34,7400,1.34
2009-04-06,1.69,1.70,1.25,1.30,2300,1.30
2009-03-30,1.70,1.84,1.16,1.50,1300,1.50
2009-03-23,1.67,1.90,1.24,1.70,4000,1.70
